ref,text,translated,source_zip_file
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Ka Naawuni daa boli foliŋga maa “Zuɣusaa.” Ka di daa niŋ zaawuni, di nyaaŋa ka biɛɣu neei; ka di niŋ dabisili din pah’ ayi.","And God called the light ""Day."" And there was evening, and there was morning—the second day.",output_proprietary-1
So God created humans to be like himself; he made men and women.,"Naawuni daa nam ninsala ŋ-ŋmahindila omaŋa, ka o be kaman Naawuni ni be shɛm. O daa nam ba la doo mini paɣa.","God created human beings in His own image, and they are like God. He created them as a man and a woman.",output_proprietary-1
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",ka zaŋ bimbilli kam din maha n-ti mɔɣu ni biŋkɔbiri balibu kam mini binnɛma balibu kam bɛn mali nyɛvili zaŋ tabili noonsi balibu kam ni binnɛma balibu kam bɛn gbamdi tiŋgban’ ni ni bɛ dira.” Ka di daa shiri niŋ lala.,"And every plant yielding seed that produces food, and every tree that bears fruit with seed in it, and every plant that has seeds, I give you every green plant and every plant that grows on the",output_proprietary-1
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Naawuni ni daa nam zuɣusaa mini dunia ŋɔ binshɛɣukam zaa shɛm m-bala. Idɛn puu Yawɛ ŋun nyɛ Naawuni ŋɔ ni daa nam dunia ŋɔ mini zuɣusaa dahin’ shɛli,","God created the heavens and this world and everything in it. It was Yahweh, who is God, who created this world and the heavens in the beginning.",output_proprietary-1
But streams came up from the ground and watered the earth.,amaa kom daa puhiri yirila tiŋ’ na m-mahigiri tiŋgbani zaa.,"And long ago, he created a good land and established the whole world.",output_proprietary-1
"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Dimbɔŋɔ nyaaŋa ka Yawɛ ŋun nyɛ Naawuni ŋɔ daa yɛli, “Di bi simdi ni doo be o ko, n ni nam sɔŋda ŋun simd’ o ti o.”","After this, the Lord God said, “It is not good for man to be alone; I will make a helper suitable for him.",output_proprietary-1
"the Lord made a woman out of the rib. The Lord God brought her to the man,",ka zaŋ o ni daa yihi sapir’ kɔb’ shɛli maa nam paɣa n-zaŋ o ti doo maa.,"And gave her, who had previously brought out that piece of paper, as a wife to that man.",output_proprietary-1
"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Ka Yawɛ ŋun nyɛ Naawuni ŋɔ daa yɛli, “Nyama, pumpɔŋɔ ninsal’ bemi kaman ti ni be shɛm, ka mi zaɣ’ suŋ ni zaɣ’ biɛɣu, ka di pa shɛli ka o ti pɔhigi nyɛvili tia la walli di m-be hal ni saha din ka bahigu.”","And Yawɛ, who was God, said, “Look, the man has become like one of us, knowing good and evil. And now, lest he reach out his hand and take also",output_proprietary-1
"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","A yi di niŋ din simdi, n naan ku deei li? Ka a yi bi niŋ din simdi, alahichi do a dunol’ ni m-bɔri ni di nyaŋ a, amaa di niŋ kamaata ni a nyaŋ li.”","If you had done what was right, would I not have accepted it? But if you did not do what was right, your opponent is in your presence and wants to defeat you, but it is necessary that you defeat it.",output_proprietary-1
"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Dahin shɛli ka Keen daa ti yɛl’ o tizo Ɛbɛl, “Ti cham’ mɔɣu ni.” Bɛ ni daa ti be mɔɣu maa ni saha shɛli, ka Keen yiɣisi lu o tizo Ɛbɛl maa zuɣu n-ku o.","One day Cain said to his brother Abel, ""Let's go to the field."" While they were in the field, Cain rose up against his brother Abel and killed him.",output_proprietary-1
