ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","Herod was the king when Jesus was born in Bethlehem town in Judea. During that time, some wise men from the east came to Jerusalem and asked, ""Where is the one who has been born to be the king of the Jews?""",Dec 08 output,,2.215443967446686,24.766406003481837,13.490924985464261
You cannot be the slave of two masters! You will like one more than the other or be more loyal to one than the other. You cannot serve both God and money. Worry (Luke,"“Anɔnyanɔ atɛ ba na axwɛ dɛ kɔ baka tɛabha. Aba ɖɔ teli adɛ teli, klɛ aba mɔ ɔhwɛ kɔ teli adɛ teli. Ɔtɛ bɔɔ na axwɛ dɛ kɔ Kpaya anɛ Ehoeyi. Tɛ Ganɛ Awɔ̃","The man and his wife went to the farm. He said he was going to hunt, but he went to spy on his wife. He followed her and she went to Kpaya at Ehoeyi. To Ganɛ Awɔ̃",Dec 08 output,,1.3389812472744242,15.363124110412377,8.3510526788434
"Jesus knew what they were thinking, so he said to them: Any kingdom where people fight each other will end up ruined. And a town or family that fights will soon destroy itself.","Yesu enyi balɛ atɔkpu nɛ mɛ so etsre alɛ asɛ, “Bukusiɔŋakɔ kanyaka gɛ bu ma kpɛ bupɛ tubha mɛ bu ba yɛɛ, klɛ ɔmagbla nɛ bupa kanyaka gɛ bu pɔɛhle nɛ aglɔ shu bu tɛ ba naa za.","When Jesus had finished saying all this to the people, he said to his disciples, ""Let's go to the other side of the lake."" So they got into a boat and left. Meanwhile, Jesus fell asleep.",Dec 08 output,,4.286566854494811,26.42532328122839,15.355945067861601
"You will be arrested, punished, and even killed. Because of me, you will be hated by people of all nations.","“Ɔkɛlɛ la ba yɛkɔ wɔnɔ akpɛ ahwɛ kɔ sɛ ba kpatɔnɔ klɛ be be yi nɔ, klɛ amadi nɛ petee atɛ ba pɛɛ wɔnɔɛ bui akpɛ mɛ so.","When the man went to his farm to see how his yam was doing, he found that a monkey had come and destroyed all his yams.",Dec 08 output,,1.8884748972625875,16.697282244354536,9.292878570808561
"A little while later some people standing there walked over to Peter and said, “We know you are one of them. We can tell it because you talk like someone from Galilee.”","Nɛ kɛlɛe de bɔɛ, banɔ nɛ gɛ be li kititi nɛ ɔkɛlɛ nɛ ba tɔnɔ Petro avɛ klɛ ba ɖɔ asɛ, “Tutuutu wɔ tsyɛ balɛ ɔmayɛ teli onu, alasɛ wɔ kaɖɔ ɖuɖɔ nɛ kebu wɔ akasɛ.”","The next day, when the people and the elders had gathered together, they took Peter and brought him before them, saying, ""Tell us plainly, by what power or in what name have you done this?""",Dec 08 output,,2.2432357486338774,25.65613296435171,13.949684356492794
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","Herod was the king when Jesus was born in Bethlehem town in Judea. During that time, some wise men from the east came to Jerusalem and asked, ""Where is the one who has been born to be the king of the Jews?""",onesimus_31223989_Dec 12 output,,2.215443967446686,24.766406003481837,13.490924985464261
You cannot be the slave of two masters! You will like one more than the other or be more loyal to one than the other. You cannot serve both God and money. Worry (Luke,"“Anɔnyanɔ atɛ ba na axwɛ dɛ kɔ baka tɛabha. Aba ɖɔ teli adɛ teli, klɛ aba mɔ ɔhwɛ kɔ teli adɛ teli. Ɔtɛ bɔɔ na axwɛ dɛ kɔ Kpaya anɛ Ehoeyi. Tɛ Ganɛ Awɔ̃","The tortoise said he would go and visit his in-laws. He said he would go today, but he went the next day. He reached there and visited Kpaya and Ehoeyi. Then Ganɛ Awɔ̃",onesimus_31223989_Dec 12 output,,1.3715748690796485,16.415071684305822,8.893323276692735
"Jesus knew what they were thinking, so he said to them: Any kingdom where people fight each other will end up ruined. And a town or family that fights will soon destroy itself.","Yesu enyi balɛ atɔkpu nɛ mɛ so etsre alɛ asɛ, “Bukusiɔŋakɔ kanyaka gɛ bu ma kpɛ bupɛ tubha mɛ bu ba yɛɛ, klɛ ɔmagbla nɛ bupa kanyaka gɛ bu pɔɛhle nɛ aglɔ shu bu tɛ ba naa za.","When Jesus had finished saying all this to the people, he said to his disciples, ""Let's go to the other side of the lake."" So they got into a boat and left. Meanwhile, Jesus fell asleep.",onesimus_31223989_Dec 12 output,,4.286566854494811,26.42532328122839,15.355945067861601
"You will be arrested, punished, and even killed. Because of me, you will be hated by people of all nations.","“Ɔkɛlɛ la ba yɛkɔ wɔnɔ akpɛ ahwɛ kɔ sɛ ba kpatɔnɔ klɛ be be yi nɔ, klɛ amadi nɛ petee atɛ ba pɛɛ wɔnɔɛ bui akpɛ mɛ so.","The man and his wife went to their farm to harvest some corn, but when they arrived, they found that monkeys had already destroyed the entire farm.",onesimus_31223989_Dec 12 output,,1.7557381354086663,18.398268171970734,10.0770031536897
"A little while later some people standing there walked over to Peter and said, “We know you are one of them. We can tell it because you talk like someone from Galilee.”","Nɛ kɛlɛe de bɔɛ, banɔ nɛ gɛ be li kititi nɛ ɔkɛlɛ nɛ ba tɔnɔ Petro avɛ klɛ ba ɖɔ asɛ, “Tutuutu wɔ tsyɛ balɛ ɔmayɛ teli onu, alasɛ wɔ kaɖɔ ɖuɖɔ nɛ kebu wɔ akasɛ.”","When the day broke, the men saw the net which was full of fish lying on the ground, and they said to Simon Peter, “Come and see, the Lord has given us fish to eat.”",onesimus_31223989_Dec 12 output,,2.5326605584447863,20.610548779737826,11.571604669091306
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","Herod was the king when Jesus was born in Bethlehem town in Judea. During that time, some wise men from the east came to Jerusalem and asked, ""Where is the child born to be the king of the Jews?""",john_AC86BE0F_output (5),,2.368330983011998,26.186636888833377,14.277483935922687
