Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,25.35,37.71,31.53,25.34743707366163,37.713797297236795,31.530617185449213
claude-sonnet-4-5,11.71,25.03,18.37,11.705589020696324,25.031563484924984,18.368576252810655
llama-4-maverick-17b-128e-instruct,10.17,21.65,15.91,10.166724095023941,21.653607623698168,15.910165859361054
gpt-4.1,6.33,22.97,14.65,6.327087675326759,22.971330602804397,14.649209139065578
llama-3.3-70b-instruct,6.68,21.02,13.85,6.675949922756163,21.02477681957269,13.850363371164427
kimi-k2-instruct-0905,4.15,22.93,13.54,4.149070930703817,22.928737030899416,13.538903980801617
mistral-medium-3-instruct,6.13,20.94,13.54,6.132766968630185,20.940379378362266,13.536573173496226
llama-3.1-405b-instruct,5.06,21.76,13.41,5.064476165466095,21.757723749879258,13.411099957672675
gemma-2-27b-it,6.07,20.49,13.28,6.07128396953431,20.492604830545137,13.281944400039723
gpt-oss-120b,4.67,21.03,12.85,4.668049023095242,21.02955204302559,12.848800533060416
deepseek-v3.1,3.90,21.29,12.60,3.9016631127179093,21.29405098413759,12.59785704842775
qwq-32b,4.49,19.79,12.14,4.487549787132853,19.792207064465327,12.13987842579909
gemma-2-9b-it,4.28,19.18,11.73,4.281367932783891,19.182053560474003,11.731710746628947
palmyra-med-70b,4.09,19.04,11.57,4.087670487427096,19.044436857949158,11.566053672688128
mistral-7b-instruct-v0.3,3.99,19.05,11.52,3.989382828456147,19.053851729397067,11.521617278926607
seed-oss-36b-instruct,3.14,19.50,11.32,3.1395389147519444,19.50175154510081,11.320645229926377
qwen3-235b-a22b,2.31,20.24,11.28,2.313323747289043,20.238072714928286,11.275698231108665
qwen3-32b,3.92,18.25,11.09,3.919422304459003,18.25424245001267,11.086832377235837
gemma2-9b-it,1.02,19.31,10.16,1.0242208803835822,19.305487723587227,10.164854301985404
