ref,text,translated,source_zip_file,similarity_score,chrf_sentence,corpus_bleu,corpus_chrf
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, he is a good man. He is a kind person. That's it.",Dec 08 output,,10.506399349567662,3.3613183938332405,5.769230769230769
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","The young man went to the farm to work, he found a snake in the bush and killed it. He took it home to his father. His father was happy and gave him a gift.",Dec 08 output,,21.195584593819543,3.3613183938332405,5.769230769230769
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I am going to the farm. I will weed the farm tomorrow.,Dec 08 output,,14.35116707098528,3.3613183938332405,5.769230769230769
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","The child is crying. He is crying because he wants to eat. He wants to eat the food that Wie Bulu brought, but it is too hot for him.",Dec 08 output,,15.775126868293848,3.3613183938332405,5.769230769230769
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","The child is crying for milk. The mother has gone to the farm, so she is crying because she is hungry.",Dec 08 output,,15.332786330400241,3.3613183938332405,5.769230769230769
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, he is a good man. He has done a lot of good things. Indeed.",onesimus_31223989_Dec 12 output,,10.920172520552612,3.3613183938332405,5.769230769230769
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","The old man went to the farm to work, and he found a big snake in the bush. He ran away quickly and went home. The people in the village heard the news and they were afraid.",onesimus_31223989_Dec 12 output,,22.26175138689053,3.3613183938332405,5.769230769230769
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I am going to the farm. I will weed the farm tomorrow.,onesimus_31223989_Dec 12 output,,14.35116707098528,3.3613183938332405,5.769230769230769
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","The children are playing. They are playing a game called ""fʋtekisi"". The game is played by Wie Bulu, and his friends, who are running around and chasing each other.",onesimus_31223989_Dec 12 output,,20.28998431863861,3.3613183938332405,5.769230769230769
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","The child is crying for milk. When he is given milk, he will stop crying.",onesimus_31223989_Dec 12 output,,12.7317864544085,3.3613183938332405,5.769230769230769
