Translation Benchmark Results for abr-eng
Generated on: 2026-01-16 11:13:50

Model Performance:
gemini: 69.76%
claude: 67.92%
deepseek-v3.1: 62.63%
gpt-oss-120b: 59.41%
kimi-k2-instruct-0905: 55.99%
gemma2-9b-it: 48.46%
mistral-medium-3-instruct: 46.06%
llama-4-maverick-17b-128e-instruct: 45.39%
llama-3.1-405b-instruct: 44.59%
qwen3-235b-a22b: 42.76%
gemma-2-9b-it: 39.99%
gemma-2-27b-it: 38.50%
qwen3-32b: 36.63%
llama-3.3-70b-instruct: 36.26%
seed-oss-36b-instruct: 35.78%
qwq-32b: 33.57%
palmyra-med-70b: 30.73%
mistral-7b-instruct-v0.3: 24.99%
chatgpt: 0.00%

Best Model: gemini (69.76%)
Average Score: 43.13%
