ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"And when they heard this noise, a crowd gathered. But they were surprised, because they were hearing everything in their own languages.","Gɛ belũ ozĩ ɔlɛɛ, banɔɛza gbagbla tili bashogò kɛlɛ kɛbhɛtɛ balɛibi, ɔmɔsɛ anɔ nyia anɔ elũ ebuiɛ gɛ baɖɔɔ nɛ yɛulũhũ mɛ.","If you do not listen to advice, you will fall into the same pit that your colleagues fell into, and no one will be there to help you out.",Dec 08 output,,1.526608193588886,17.33488476943264,9.430746481510763
"The kings of earth prepare for war, and the rulers join together against the Lord and his Messiah.”","Kesiakpa abha ekusiɛ batɔ̃ kɛtakpu kɛlɛ beekusiɛ beshogò nɛ Apaleteɛ shu nɛ̀ agɛ yɛasara bɔbɔ ɔkɔɔ,","When Kesiakpa and his siblings went to the farm, Apalete was the one who killed the grasscutter they had caught.",Dec 08 output,,4.546308713404575,24.759429041244267,14.652868877324421
"“Who are you?” Saul asked. “I am Jesus,” the Lord answered. “I am the one you are so cruel to.","Saulo ebisi asɛ, “Apalete, wonu afana?” Ebuiliulũ akɔɛ asɛ, “Mɛinu Yesu, anɔ nɔ̀ gɛ yiede wɔtɔnɔɔ.”","Saul asked, ""Who are you, sir?"" The reply came, ""I am Jesus, whom you are persecuting.""",Dec 08 output,,9.003604943386915,38.07184365791362,23.537724300650268
"But you have surely seen and heard how this man Paul is upsetting a lot of people, not only in Ephesus, but almost everywhere in Asia. He claims that the gods we humans make are not really gods at all.","Kɛlɛ nɔmɔ̀ pɛ nɔolũ kana gɛ Paulo anyɛ alɛ etsyina banunɔ ekpeɖekpeɖeɛ mɛ, pɛ agbana banɔkpekpèɛ atsaɖakɛ idzo nɛ Efosoɔ nɛ̀ Asia bɔdɔ̃ mɛ petee tsyɛ. Aɖɔ asɛ ibudiɛ gɛ banɔdzyrameɛ abhɛtɛ tinu akaa nanà.","When Paul had spent some time in Antioch, he departed and went from place to place through the region of Galatia and Phrygia, strengthening all the disciples. Meanwhile, a Jew named Apollos, a native of Alexandria, came to Ephesus. He was an eloquent man, well-versed in the scriptures.",Dec 08 output,,2.1088490047077784,26.41256219920042,14.260705601954099
You must tell everyone what you have seen and heard.,Wɔbodzì anɔ gɛ ɔbɔɖɔaɖɔ ɔdalɛ yɛishu ɔkɔ banunɔ petee nɛ kɛgɛ ɔmɔ pɛ olũɔ shu.,They say that the reason why the lizard nods its head is because it fell from the top of a palm tree and did not die.,Dec 08 output,,1.6504045595709425,19.10542123747987,10.377912898525405
"And when they heard this noise, a crowd gathered. But they were surprised, because they were hearing everything in their own languages.","Gɛ belũ ozĩ ɔlɛɛ, banɔɛza gbagbla tili bashogò kɛlɛ kɛbhɛtɛ balɛibi, ɔmɔsɛ anɔ nyia anɔ elũ ebuiɛ gɛ baɖɔɔ nɛ yɛulũhũ mɛ.","If you go to the farm, do not burn the bush and leave without ensuring that the fire is completely out, because it can spread and burn things that you did not intend to burn.",onesimus_31223989_Dec 12 output,,2.304907678117588,24.788188293509325,13.546547985813456
"The kings of earth prepare for war, and the rulers join together against the Lord and his Messiah.”","Kesiakpa abha ekusiɛ batɔ̃ kɛtakpu kɛlɛ beekusiɛ beshogò nɛ Apaleteɛ shu nɛ̀ agɛ yɛasara bɔbɔ ɔkɔɔ,","Kesiakpa and his wife went to the farm to harvest yams and they harvested a lot of yams, but Apalete did not go with them.",onesimus_31223989_Dec 12 output,,3.796469564911484,24.292901471334176,14.04468551812283
"“Who are you?” Saul asked. “I am Jesus,” the Lord answered. “I am the one you are so cruel to.","Saulo ebisi asɛ, “Apalete, wonu afana?” Ebuiliulũ akɔɛ asɛ, “Mɛinu Yesu, anɔ nɔ̀ gɛ yiede wɔtɔnɔɔ.”","Saul asked, ""Who are you, sir?"" The reply came, ""I am Jesus, whom you are persecuting.""",onesimus_31223989_Dec 12 output,,9.003604943386915,38.07184365791362,23.537724300650268
"But you have surely seen and heard how this man Paul is upsetting a lot of people, not only in Ephesus, but almost everywhere in Asia. He claims that the gods we humans make are not really gods at all.","Kɛlɛ nɔmɔ̀ pɛ nɔolũ kana gɛ Paulo anyɛ alɛ etsyina banunɔ ekpeɖekpeɖeɛ mɛ, pɛ agbana banɔkpekpèɛ atsaɖakɛ idzo nɛ Efosoɔ nɛ̀ Asia bɔdɔ̃ mɛ petee tsyɛ. Aɖɔ asɛ ibudiɛ gɛ banɔdzyrameɛ abhɛtɛ tinu akaa nanà.","When Paul had spent some time in Antioch, he left and traveled from place to place through the region of Galatia and Phrygia, strengthening all the disciples. Meanwhile, a Jew named Apollos, a native of Alexandria, came to Ephesus. He was an eloquent man and well-versed in the scriptures.",onesimus_31223989_Dec 12 output,,2.1088490047077784,26.637857086766786,14.373353045737282
You must tell everyone what you have seen and heard.,Wɔbodzì anɔ gɛ ɔbɔɖɔaɖɔ ɔdalɛ yɛishu ɔkɔ banunɔ petee nɛ kɛgɛ ɔmɔ pɛ olũɔ shu.,They took the child to the hospital because he was very sick and could not recover.,onesimus_31223989_Dec 12 output,,2.719665272174911,18.899845354264684,10.809755313219798
