ref,text,translated,similarity_score,source_zip_file
"Jacob told them to say to Esau, “Master, I am your servant! I have lived with Laban all this time,","Ɔzele bɛ kɛ, “Bɛhɔha bɛhile me menle Yisɔ kɛ, medame ye akɛlɛ Gyekɔbo, mengɔle Leeban anwo lɔ, na nehane a mewɔ toonwo mɔɔ yeradwu bekezɛ a.","""The man said, 'I am going to Yisɔ, to the place where Gyekɔbo and Leeban live, and I will bring back a message for you from there. It will not be long before you hear it, because I will return quickly.'""",0.37257037,output_jonathan
"You will live there as a foreigner, but I will be with you and bless you. I will keep my promise to your father Abraham by giving this land to you and your descendants.","Duolua azɛlɛ ɛhye azo ala na me nee wɔ balua. Mebayila wɔ, ɔluakɛ ɛdawɔ nee ɛ bo zo amra yɛɛ mebava azɛlɛ ɛhye meamaa bɛ a, na mebali me ɛwɔkɛ ne mɔɔ membɔle ɛ ze Ebileham la azo.","The man who is here with us is not the one who was with us before. The one who was with us before, he has gone to the market and will not return until tomorrow, and this one who is with us now, he came from Ebileham.",0.2995387,output_jonathan
At that time Isaac was living in the southern part of Canaan near a place called “The Well of the Living One Who Sees Me.”,"Mekɛ ne anu ɛnee Ayezeke vi Biyɛleehaelɔe fienemgbole ne anu ɛra, ɔluakɛ ɛnee ɔde Keena nyiakɛ.",Ayezeke is a Biyele-haeloe who lives in the village and his neighbor is Keena.,0.27621466,output_jonathan
"Since Jacob was in love with Rachel, he answered, “If you will let me marry Rachel, I'll work seven years for you.”","Gyekɔbo kulo Relahyɛle, yemɔti ɔhanle kɛ, “Mesonle wɔ ɛvolɛ nsuu na meagya ɛ ra raalɛ ekyi ne, Relahyɛle.”","The man named Relahyele, who was standing there, said, ""My friends, we should not eat the meat and drink the alcohol here, Relahyele.""",0.2060396,output_jonathan
"“I agree to that,” was Laban's response.","Leeban zele ye kɛ, “Ɔle kpalɛ! Yɛ ye kɛ mɔɔ wɔha la.”","The man said, ""Listen carefully! I am going to tell you a story.""",0.1489089,output_jonathan
"When Jacob got up early the next morning, he took the rock that he had used for a pillow and stood it up as a place of worship. Then he poured olive oil on the rock to dedicate it to God,","Yemɔti Gyekɔbo dwazole nwonlomɔ mangyee ne ala, ɔvale bolɛ ne mɔɔ ɔvale ɔzɔle ɔ ti la ɔkpɔnlanle ye sika na ɔguale nwole zolɛ.","The woman Gyekobo has a large farm and a lot of yams, but she does not have enough money to buy salt and yam flour for the yams.",0.15904531,output_onesimus007
"So his father said: “Your home will be far from that fertile land, where dew comes down from the heavens.","Akee Ayezeke zele ye kɛ, “Nea o, na azɛlɛ mɔɔ ɛhwe la azo yɛɛ ɛbadɛnla a, Yɛɛ anwuma ɛbɔlɛ ɛnrɛdɔ ɛ nwo zo.","The man Ayezeke said, ""Oh, it seems that the path to the bush where we usually go for hunting has been blocked by a fallen tree, There are no more animals to hunt there.""",0.3538047,output_onesimus007
At that time the Lord made an agreement with Abram and told him: I will give your descendants the land east of the Shihor River on the border of Egypt as far as the Euphrates River.,"Na kenle ko ne Ɛdɛnkɛma nee Ebilam yɛle ngyekyeleɛ. Ɛdɛnkɛma zele Ebilam kɛ, “Meva azɛlɛ ɛhye memaa ɛ bo zo amra. Azɛlɛ ne vi Yigyibiti ɛweɛne zo kɔdwu Azukpole Yufileti ne anloa.","The Denkira people of Ebila are preparing to go to the Azukpole Yufileti festival. The Denkira man from Ebila said, ""Let us go to the market early tomorrow. We will meet Yigyibiti there, who is coming from the Azukpole Yufileti festival.""",0.21306221,output_onesimus007
"They also captured Abram's nephew Lot, who lived in Sodom. They took him and his possessions and then left.","Eza bɛhyele Lɔɔto, mɔɔ le Ebilam adiema nrenya ne ara nrenya ne, mɔɔ ɛnee de Sodɔm la, na bɛvale ye nee ɔ nwo ninyɛne kɔsɔɔti bɛhɔle.","Lɔɔto has come to Ebilam, but he did not bring any food or drink, only a sword from Sodom, and he is threatening people with it.",0.39285865,output_onesimus007
"So everyone gave Jacob their idols and their earrings, and he buried them under the oak tree near Shechem.",Yemɔti bɛyeyele bɛ mmonle mɔɔ bɛlɛ nee bɛ nzo nu asomadeɛ ne mɔ amuala bɛmanle Gyekɔbo. Na Gyekɔbo vunle bɛ wulale oku baka kpole ne mɔɔ wɔ Hyikɛm kandiba la abo.,"The snake has come to our village and it is very dangerous. It has killed many people in Gyekɔbo. And in Gyekɔbo, it has been living in the big tree near the river, which is close to Hyikɛm's house.",0.23758966,output_onesimus007
