ref,text
In the beginning God created the heavens and the earth.,"Na kayawi kalɔ kesekɔ ƒui ni, Katɔti údie katɔ ku kalɔ."
"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Na kalɔ kammɔ keeebo udu ɔdi. Na lɛla lɛdi lɛnɔ liiibo-ka kemmo, na lɛdisa kani náƒɔ kalɔ kammɔ lɛlɔ ƒui. Na Katɔti Kɔyu kani nkɛ mɔɔví ntu bɔni náƒɔ-ka anumi mmɔ ƒui lɛlɔ."
"God said, “I command light to shine!” And light started shining.","Amu na Katɔti údie lɛdi ɔnini, “Bukeye bubo,” na bukeye búbo."
God looked at the light and saw that it was good. He separated light from darkness,Na Katɔti ɔ́nu ka bukeye bɔmmɔ bɔdia. Na úle bukeye bɔmmɔ na lɛdisa kudɔ.
"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Na bukeye bɔmmɔ na Katɔti ɔ́lɔ ɔnii kadi nwaa, na ɔ́lɔ lɛdisa ɔnii usien. Na useyi údu na kadi kégye na limeyi lideedi lɛ́vi."
"God said, “I command a dome to separate the water above it from the water below it.”","Amu na Katɔti údie lɛdi ɔnini, “Kuƒi kuduo ntu bɔmɛni kemmo, na kule ntu bɔmɛni bɔsiku ɔkpanadi kudɔ.”"
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",Na kuƒi kɔmmɔ na Katɔti ɔ́lɔ ɔnii kayaa. Na useyi údu na kadi kégye na limeyi linyɔdi lɛ́vi.
"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Amu na Katɔti údie lɛdi ɔnini, “Ntu bɔni náƒɔ kayaa kalɔ ni, bɔsala likpo linwi. Na kesii kani nákwii kakɔ kalɛ.” Na úbo úte lɛni."
"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Na kesii kani nákwii mmɔ na Katɔti ɔ́lɔ ɔnii, “kalɔ,” na ntu bɔni násala lɛlɔ buwi likpo linwi mmɔ na Katɔti ɔ́lɔ ɔnii, “ɛpu.” Na Katɔti ɔ́nu ka ɔdia."
"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Na údie lɛdi ɔnini, “Kalɔ kamɛni kakwɛ egyii ku livo lidu lidu ku adingyii lidu lɛnɔ.” Na úbo úte lɛni."
"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Anwuɔsu kalɔ kammɔ kénwini lɛku ku livo ku adingyii lidu lidu. Na Katɔti ɔ́nu ka ɔdia.
"Evening came, then morning—that was the third day. The Fourth Day",Na useyi údu na kadi kégye na limeyi lɛtɛdi lɛ́vi.
"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Amu na Katɔti údie lɛdi ɔnini, “Bukeye lidu libo kayaa na bule usien ku kadi nwaa ntɛ. Na ɔmɛni ɔbla likposela ute uwi ku emeyi ku akwa."
I command them to shine on the earth.” And that's what happened.,Na bukeye lidu lɛmɛni lɛsɔ lɛkya kayaa na buteekeye teewi kalɔ lɛlɔ.” Na úbo úte lɛni.
"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Katɔti ɔ́bla bukeye bonwu akpa anyɔ. Bukeye bunengudi bɔni ndi ɔƒɛ bɔdanku kadi nwaa, na kɔbuli kɔni nsia lɛnɔ kɔdanku usien. Na ɔ́bla ayabi lɛnɔ."
"Then God put these lights in the sky to shine on the earth,",Katɔti ɔ́ya na bukeye lidu lɛmɛni ƒui lɛkya kayaa. Na buukeye teewi kalɔ lɛlɔ.
"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","Na ɔ́ya na bukeye bɔmɛni bɔɔdi kadi nwaa ku usien lɛlɔ, na buule lɛdisa ku bukeye ntɛ. Na Katɔti ɔ́nu ka ɔdia."
"Evening came, then morning—that was the fourth day. The Fifth Day",Na useyi údu na kadi kégye na limeyi linedi lɛ́vi.
"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Amu na Katɔti údie lɛdi ɔnini, “Kɔbɛ ku kɔkpaku ku ketu kemmo bebuo benengudi lidu lidu bɛƒɔ ntu bɔmmɔ kemmo ƒui. Na lɛla biala lɛni mbo avwi lɛnɔ liteeveyi taavi kayaa.”"
"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.","Ɔmmɔ ɔsu Katɔti údie bebweyi benengudi bani nkya ɛpu kemmo ku babambadi bani mɔɔví ntu kemmo ɔdi biala ku nwuna udu. Na údie bani mbo avwi lɛnɔ, ɔdi biala ku nwuna udu. Na Katɔti ɔ́nu ka ɔdia."
Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"Katɔti úte-ma kusɛ kusɛ na ɔ́su ɔnini, “Bɛwɔ na bimomo na bɛƒɔ ntu bɔmmɔ kemmo ƒui. Na bani mbo avwi lɛnɔ bemomo.”"
"Evening came, then morning—that was the fifth day. The Sixth Day",Na useyi údu na kadi kégye na limeyi lɛlɔndi lɛ́vi.
"God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened.","Amu na Katɔti údie lɛdi ɔnini, “Bebuo lidu lidu bɛƒɔ kalɔ kamɛni ƒui lɛlɔ, bebuo benengudi ku bebliidi ku bebweyi lidu lidu ƒui.” Na úbo úte lɛni."
"God made every one of them. Then he looked at what he had done, and it was good.","Anwuɔsu Katɔti ɔ́bla bebuo benengudi ku bebliidi ku bebweyi lidu lidu, na báƒɔ kalɔ kammɔ ƒui lɛlɔ. Na Katɔti ɔ́nu ka ɔdia."
"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Amu na Katɔti ɔ́su ɔnini, “Bɛya na bɔbla ukyuli na ɔlɛ-bu na bula udu kenye kalɛ na utaadi ɛpu ku kalɔ ku kayaa bebweyi ƒui lɛlɔ.”"
So God created humans to be like himself; he made men and women.,"Ɔmmɔ ɔsu Katɔti údie ukyuli na ɔ́lɛ-nwu na nwuna udu kenye. Údie-ma, na badi ɔnana ku uleku."
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Na Katɔti úte-ma kusɛ kusɛ, na ɔ́su-ma ɔnini, “Bɛwɔ biyile kalɔ kamɛni ƒui lɛlɔ. Na bɛdi-ka lɛlɔ ku bebweyi bani ƒui nkya-ka kemmo.”"
I have provided all kinds of fruit and grain for you to eat.,"Ɔmmɔ kama ni, Katɔti ɔ́su bekyuli bammɔ ɔnini, “Binu! Líti livo lidu ku adingyii lidu ƒui líte-mii nnii enwini bina adila."
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",Na líti livo líte bebuo bani nkya kalɔ lɛlɔ ku baasɛ ku bebweyi ƒui nnii linwini bana adila.”
"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.",Katɔti ɔ́nu ala ani ƒui na ɔ́bla na adia-nwu sɔsɔ. Na useyi údu na kadi kégye na limeyi lɛkundi lɛ́vi.
