ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","The child said that he would not go to school again. But the parents told Apalete that if he did not take the child, he would say, ""If Edzyibite does not come, I will not go either.""",Dec 08 output,,1.3995516592202837,23.142241921796224,12.270896790508253
You cannot be the slave of two masters! You will like one more than the other or be more loyal to one than the other. You cannot serve both God and money. Worry (Luke,"“Anɔnyanɔ atɛ ba na axwɛ dɛ kɔ baka tɛabha. Aba ɖɔ teli adɛ teli, klɛ aba mɔ ɔhwɛ kɔ teli adɛ teli. Ɔtɛ bɔɔ na axwɛ dɛ kɔ Kpaya anɛ Ehoeyi. Tɛ Ganɛ Awɔ̃","The spider is a child who wants to go to the farm. When he gets there, he sees that the farm is very big. He goes to Kpaya and Ehoeyi. He is going to Ganɛ Awɔ̃",Dec 08 output,,1.4378558189726398,16.697101110372486,9.067478464672563
"Jesus knew what they were thinking, so he said to them: Any kingdom where people fight each other will end up ruined. And a town or family that fights will soon destroy itself.","Yesu enyi balɛ atɔkpu nɛ mɛ so etsre alɛ asɛ, “Bukusiɔŋakɔ kanyaka gɛ bu ma kpɛ bupɛ tubha mɛ bu ba yɛɛ, klɛ ɔmagbla nɛ bupa kanyaka gɛ bu pɔɛhle nɛ aglɔ shu bu tɛ ba naa za.","Jesus answered them, “The healthy do not need a doctor, but the sick do. I have not come to call the righteous, but sinners to repentance.”",Dec 08 output,,1.61385039370317,21.96819284375332,11.791021618728246
"You will be arrested, punished, and even killed. Because of me, you will be hated by people of all nations.","“Ɔkɛlɛ la ba yɛkɔ wɔnɔ akpɛ ahwɛ kɔ sɛ ba kpatɔnɔ klɛ be be yi nɔ, klɛ amadi nɛ petee atɛ ba pɛɛ wɔnɔɛ bui akpɛ mɛ so.","The chief said that they should go to their farms and work hard so that they can harvest well, and also that they should not be lazy because laziness will not help them in any way.",Dec 08 output,,2.4371431437250504,21.43084827417314,11.933995708949094
"A little while later some people standing there walked over to Peter and said, “We know you are one of them. We can tell it because you talk like someone from Galilee.”","Nɛ kɛlɛe de bɔɛ, banɔ nɛ gɛ be li kititi nɛ ɔkɛlɛ nɛ ba tɔnɔ Petro avɛ klɛ ba ɖɔ asɛ, “Tutuutu wɔ tsyɛ balɛ ɔmayɛ teli onu, alasɛ wɔ kaɖɔ ɖuɖɔ nɛ kebu wɔ akasɛ.”","When the day came, the people gathered in the church and the priest told Petro and his wife, “Tutuutu, you have been married for a long time, but you have not yet had a child, so you should go and consult the oracle.”",Dec 08 output,,1.994691414228073,24.088288929770748,13.04149017199941
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","The story of how the Hero came to be is not known. But it is said that when Apalete was about to give birth, she said, ""If it is a boy, he will be called Edzyibite.""",onesimus_31223989_Dec 12 output,,2.5488079011500315,22.57383683861927,12.56132236988465
You cannot be the slave of two masters! You will like one more than the other or be more loyal to one than the other. You cannot serve both God and money. Worry (Luke,"“Anɔnyanɔ atɛ ba na axwɛ dɛ kɔ baka tɛabha. Aba ɖɔ teli adɛ teli, klɛ aba mɔ ɔhwɛ kɔ teli adɛ teli. Ɔtɛ bɔɔ na axwɛ dɛ kɔ Kpaya anɛ Ehoeyi. Tɛ Ganɛ Awɔ̃","The children are going to the farm to fetch firewood. They go to the farm and come back, and they go to the farm and come back again. They are going to Kpaya and Ehoeyi. It is the day of Ganɛ Awɔ̃.",onesimus_31223989_Dec 12 output,,1.3072157844994778,17.98064419361763,9.643929989058552
"Jesus knew what they were thinking, so he said to them: Any kingdom where people fight each other will end up ruined. And a town or family that fights will soon destroy itself.","Yesu enyi balɛ atɔkpu nɛ mɛ so etsre alɛ asɛ, “Bukusiɔŋakɔ kanyaka gɛ bu ma kpɛ bupɛ tubha mɛ bu ba yɛɛ, klɛ ɔmagbla nɛ bupa kanyaka gɛ bu pɔɛhle nɛ aglɔ shu bu tɛ ba naa za.","Jesus answered them, “The healthy do not need a doctor, but the sick do. I have not come to call the righteous, but sinners to repentance.”",onesimus_31223989_Dec 12 output,,1.61385039370317,21.96819284375332,11.791021618728246
"You will be arrested, punished, and even killed. Because of me, you will be hated by people of all nations.","“Ɔkɛlɛ la ba yɛkɔ wɔnɔ akpɛ ahwɛ kɔ sɛ ba kpatɔnɔ klɛ be be yi nɔ, klɛ amadi nɛ petee atɛ ba pɛɛ wɔnɔɛ bui akpɛ mɛ so.","The child was crying, but when they saw the dog, they stopped crying and started playing with it, and the dog also seemed happy to be with them.",onesimus_31223989_Dec 12 output,,3.0532163871777716,17.48025292187906,10.266734654528417
"A little while later some people standing there walked over to Peter and said, “We know you are one of them. We can tell it because you talk like someone from Galilee.”","Nɛ kɛlɛe de bɔɛ, banɔ nɛ gɛ be li kititi nɛ ɔkɛlɛ nɛ ba tɔnɔ Petro avɛ klɛ ba ɖɔ asɛ, “Tutuutu wɔ tsyɛ balɛ ɔmayɛ teli onu, alasɛ wɔ kaɖɔ ɖuɖɔ nɛ kebu wɔ akasɛ.”","When the day came, the people were very happy and they told Petro that they had seen a bird flying in the sky, but it was very far away, so they couldn't see it clearly.",onesimus_31223989_Dec 12 output,,1.4104555382959003,20.714245360930576,11.062350449613238
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”",The child said that he had not seen the Heroɖesɛ tree before. Then he told Apalete that he had heard that the Edzyibite tree was very big and beautiful.,john_AC86BE0F_output (5),,1.714674836220661,21.195873164138035,11.455274000179347
You cannot be the slave of two masters! You will like one more than the other or be more loyal to one than the other. You cannot serve both God and money. Worry (Luke,"“Anɔnyanɔ atɛ ba na axwɛ dɛ kɔ baka tɛabha. Aba ɖɔ teli adɛ teli, klɛ aba mɔ ɔhwɛ kɔ teli adɛ teli. Ɔtɛ bɔɔ na axwɛ dɛ kɔ Kpaya anɛ Ehoeyi. Tɛ Ganɛ Awɔ̃",The children are going to the farm to harvest yams. They walk and walk until they reach the farm. They then go to Kpaya and Ehoeyi. It is the day of Awɔ̃,john_AC86BE0F_output (5),,1.630044805146622,16.231718978395225,8.930881891770923
"Jesus knew what they were thinking, so he said to them: Any kingdom where people fight each other will end up ruined. And a town or family that fights will soon destroy itself.","Yesu enyi balɛ atɔkpu nɛ mɛ so etsre alɛ asɛ, “Bukusiɔŋakɔ kanyaka gɛ bu ma kpɛ bupɛ tubha mɛ bu ba yɛɛ, klɛ ɔmagbla nɛ bupa kanyaka gɛ bu pɔɛhle nɛ aglɔ shu bu tɛ ba naa za.","Jesus answered them, “You are looking for me not because you saw signs, but because you ate the bread and were satisfied. Do not work for the food that perishes, but for the food that endures to eternal life, which the Son of Man will give to you.",john_AC86BE0F_output (5),,1.166688310633438,25.01627321774076,13.0914807641871
"You will be arrested, punished, and even killed. Because of me, you will be hated by people of all nations.","“Ɔkɛlɛ la ba yɛkɔ wɔnɔ akpɛ ahwɛ kɔ sɛ ba kpatɔnɔ klɛ be be yi nɔ, klɛ amadi nɛ petee atɛ ba pɛɛ wɔnɔɛ bui akpɛ mɛ so.","The child was crying because he had fallen and hurt himself, but his mother quickly came to comfort him and wipe away his tears.",john_AC86BE0F_output (5),,1.9011755113058346,20.574395294106193,11.237785402706013
"A little while later some people standing there walked over to Peter and said, “We know you are one of them. We can tell it because you talk like someone from Galilee.”","Nɛ kɛlɛe de bɔɛ, banɔ nɛ gɛ be li kititi nɛ ɔkɛlɛ nɛ ba tɔnɔ Petro avɛ klɛ ba ɖɔ asɛ, “Tutuutu wɔ tsyɛ balɛ ɔmayɛ teli onu, alasɛ wɔ kaɖɔ ɖuɖɔ nɛ kebu wɔ akasɛ.”","When the time came, the people gathered and said to Peter, ""Teacher, we have heard your words, but now we want to see the truth with our own eyes.""",john_AC86BE0F_output (5),,3.3355592666827527,25.314269505347553,14.324914386015154
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","The child said that the day before, he had seen Heroɖesɛ in the house. Then he told his mother that Apalete had also said that if he had known, he would have come, “Because Edzyibite is a great person and we respect him.”",output_JA-4,,2.2266617638454975,23.844110042677087,13.035385903261293
You cannot be the slave of two masters! You will like one more than the other or be more loyal to one than the other. You cannot serve both God and money. Worry (Luke,"“Anɔnyanɔ atɛ ba na axwɛ dɛ kɔ baka tɛabha. Aba ɖɔ teli adɛ teli, klɛ aba mɔ ɔhwɛ kɔ teli adɛ teli. Ɔtɛ bɔɔ na axwɛ dɛ kɔ Kpaya anɛ Ehoeyi. Tɛ Ganɛ Awɔ̃","The children are going to the farm to fetch firewood. They go there and come back, then they go there and come back again. They are going to Kpaya and Ehoeyi. Tɛ Ganɛ Awɔ̃",output_JA-4,,1.4491339833989647,18.359888187356994,9.90451108537798
"Jesus knew what they were thinking, so he said to them: Any kingdom where people fight each other will end up ruined. And a town or family that fights will soon destroy itself.","Yesu enyi balɛ atɔkpu nɛ mɛ so etsre alɛ asɛ, “Bukusiɔŋakɔ kanyaka gɛ bu ma kpɛ bupɛ tubha mɛ bu ba yɛɛ, klɛ ɔmagbla nɛ bupa kanyaka gɛ bu pɔɛhle nɛ aglɔ shu bu tɛ ba naa za.","Jesus answered them, “The healthy do not need a doctor, but the sick do. Go and learn what this means: ‘I desire mercy, not sacrifice.’ For I have not come to call the righteous, but sinners.”",output_JA-4,,1.3765524524133157,24.451998614312622,12.914275533362968
"You will be arrested, punished, and even killed. Because of me, you will be hated by people of all nations.","“Ɔkɛlɛ la ba yɛkɔ wɔnɔ akpɛ ahwɛ kɔ sɛ ba kpatɔnɔ klɛ be be yi nɔ, klɛ amadi nɛ petee atɛ ba pɛɛ wɔnɔɛ bui akpɛ mɛ so.","The child was not happy with the way they were treated, so he decided to leave, but his mother begged him not to go, saying she would change her ways.",output_JA-4,,1.5393730252811677,18.224220935958623,9.881796980619896
