ref,text,translated,source_zip_file
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",Na ɔvɛlɛle anwomanyunlu “Anwuma.” Aleɛ dwole na aleɛ hyenle; kenle ne mɔɔ tɔ zolɛ nwiɔ la ɛne.,He/she/they sang the song “Anwuma.” The voice was sweet and clear; everyone who heard it was filled with joy.,output_proprietary
So God created humans to be like himself; he made men and women.,Yemɔti Nyamenle bɔle sonla kɛ ɔdaye ye ɛsaso la; ɔdaye Nyamenle mumua ne ye ɛsaso a ɔnleanle ɔbɔle sonla a. Ɔbɔle bɛ nrenya nee raalɛ.,We should worship God only because He is the Creator; worshipping God for any other reason is not true worship. Worship should come from the heart.,output_proprietary
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",Meva ndile muala noko memaa debie biala mɔɔ lɛ ngoane wɔ ye nuhua: azɛlɛ ye azo nane kɔsɔɔti nee anwomanyunlu nloma nee ninyɛne mɔɔ twenle bɛ nwo aze la amuala kɛ bɛli.” Na ɔyɛle zɔhane.,"When I was young my mother used to tell me this story: if you want to be wise and successful in life, you must listen to your elders and obey their advice.” And it was true.",output_proprietary
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Ɛnee kɛ Nyamenle zile bɔle anwuma nee aze la ɛne. Yidɛn tola ne Mekɛ mɔɔ Ɛdɛnkɛma Nyamenle bɔle anwuma nee azɛlɛ ye la,","So, if God gives us life tomorrow, this is what will happen. Just as I have told you, if God gives us life tomorrow, it will be like this.",output_proprietary
But streams came up from the ground and watered the earth.,Noko ɛnee nzule vi azɛlɛ bo finde bu azɛlɛ ne azo amuala tɛloo.,"If you do not go to the river, you will not know how deep it is.",output_proprietary
So the Lord took some soil and made animals and birds. He brought them to the man to see what names he would give each of them. Then the man named the tame animals and the birds and the wild animals. That's how they got their names. None of these was the right kind of partner for the man.,"Sonla totonle nyɛmoa ne mɔ aluma ngoko ngoko, ɔtotonle nloma mɔɔ tu dua anwomanyunlu la aluma yɛɛ ɔtotonle nanemgbole mɔɔ wɔ ɛbɔ nu la aluma. Na ɔdaye sonla ɛdeɛ, yeannyia ye ɛsaso boavolɛ biala.","The farmer plants crops and waits patiently, he plants seeds in the soil and waits for them to grow. But sometimes, despite his efforts, he does not get any harvest at all.",output_proprietary
"the Lord made a woman out of the rib. The Lord God brought her to the man,",Ɛdɛnkɛma Nyamenle vale bowule ne mɔɔ ɔyele la ɔyɛle sonla raalɛ na ɔvale ye ɔrɛlɛle nrenya ne.,The blessing of God is like rain that falls on the ground and makes plants grow and bear fruit.,output_proprietary
"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Akee Ɛdɛnkɛma Nyamenle zele kɛ, “Bɛnlea, kɛkala sonla ɛyɛ kɛ yɛ nuhua ko la, yenwu kpalɛ nee ɛtane. Saa yɛannea ye boɛ a ɔbali ngoane baka ne ɔdaye ye ma ne bie na yeadɛnla ngoane nu dahuu.”","Then God said, “Look, the man has become like one of us, knowing good and evil. Now, he must not be allowed to reach out his hand and take also from the tree of life and eat, and live forever.”",output_proprietary
"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Asoo saa ɛyɛle ye boɛ a, anrɛɛ ɛ nyunlu ɛnrɛra anyia? Na wɔanyɛ ye boɛ la, ɛtane ɛhɔ ɛ nwo nzia; ɔkpondɛ kɛ ɔfo ɛ nwo zo, na wɔmɔ yɛɛ ɔwɔ kɛ ɛfo ɔ nwo zo a.”","If this is really your friend, why don't you visit him often? And if he is not your friend, why do you go there; the one who loves and the one who hates do not go together, and if you do good and he does evil, you do not go together.",output_proprietary
"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Ɛhye anzi Keen zele ɔ diema Ebɛle kɛ, “Maa yɛhɔ ɛbɔ nu.” Bɛhɔle la, Keen holole ɔ diema Ebɛle anwo zo na ɔhunle ye.","It happened that Cain said to Abel, “Let’s go out to the field.” While they were in the field, Cain attacked his brother Abel and killed him.",output_proprietary
"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.","Keen vale ɔ ye na ɔ ye wole ralɛ nrenya, bɛdonle ye Yinɔko. Keen kyekyele suakpole ko na ɔvale ɔ ra ne duma ɔdole zolɛ.","If someone does good and is not praised, it is like Yinɔko. If you plant a seed and do not care for it, it will not grow well.",output_proprietary
Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Saa mɔɔ kɛhu Keen la bɛkɛli ye nzenralɛ fane nsuu a, ɛnee mɔɔ kɛhu medame Leemɛke la, bɛkɛli ye nzenralɛ fane abulasuu nee nsuu.” Sɛte nee Yinɔhye","If someone from Keen drinks water from the river, and someone from Leemɛke drinks water from the stream or the river.” So said Yinɔhye.",output_proprietary
"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Adam nee ɔ ye wole ralɛ nrenya bieko. Ɔ ye hanle kɛ, “Nyamenle ɛmaa me ralɛ nrenya ɛmaa meva mezie Ebɛle, mɔɔ Keen hunle ye la abo zo.” Na ɔdonle ye Sɛte.","Adam and his wife had a son. She said, “God has given me a son with the help of the Lord, so I have named him Cain.” Later, she gave birth to Abel.",output_proprietary
and died at the age of,"Yinɔhye lile ɛvolɛ ɛya ngɔnla ɛvolɛ nnu, na ɔwule.",The sun rises in the east and sets in the west.,output_proprietary
and God took him away at the age of,"Yinɔko nee Nyamenle luale na yeanwu, ɔminliminlinle, ɔboalekɛ Nyamenle vale ye hɔle.","God is the creator of heaven and earth, the Almighty, the one who created everything.",output_proprietary
and died at the age of,"Yemɔti Mɛtusɛla lile ɛvolɛ ɛya ngɔnla abulasia nee ngɔnla, na ɔwule.","We know Methuselah lived for nine hundred and sixty-nine years, and he died.",output_proprietary
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,Yemɔti fa gɔfa baka bobɔ ɛlɛnemgbole; kyɛ nuhua ekpumgbunli ekpumgbunli na fa bilewu ka nuhua nee nwolɛ amuala.,We should not only seek wealth; but wisdom is more important than wealth and it is wisdom that leads to a good life.,output_proprietary
"Noah took a male and a female of every living creature with him,","Ɔvale abɔdeɛ ngakyile ne mɔ mɔɔ die ɛnwomenle la ko biala, nyinli nee belɛ,","The value of a person is not determined by their appearance, but by their character and actions.",output_proprietary
"By the twenty-seventh day of the second month, the earth was completely dry.",Siane nwiɔ ne anu kenle ne mɔɔ tɔ zolɛ abulanwiɔ nee nsuu la ɛnee akee azɛlɛ nwo ɛyɛ resee kpalɛ.,Wash your hair and face well with clean water every morning and evening to keep your body healthy.,output_proprietary
The rainbow that I have put in the sky will be my sign to you and to every living creature on earth. It will remind you that I will keep this promise forever.,"mebado me nyangondonle ne wɔ anwomanyunlu, na yemɔ yɛɛ bayɛ ngyekyeleɛ ne mɔɔ me nee ewiade amra ɛkyekye la anwo sɛkɛlɛneɛ a.","I will lift up my prayer to my God in the morning, and I will thank Him for protecting me and giving me the grace to see the light of a new day.",output_proprietary
The rainbow will be the sign of that solemn promise. Noah and His Family,Ngyekyeleɛ mɔɔ me nee aleɛabo tease abɔdeɛ muala ɛkyekye la anwo sɛkɛlɛneɛ ɛne.” Nowa nee ɔ mra mrenya ne mɔ,The dove returned to me in the evening with a freshly plucked olive leaf in its beak. So Noah knew that the waters had receded from the earth.,output_proprietary
