ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","ade ebi ye kĩ, “Yidza, kakpã obisɛ̃ a mɔ ɔma mimuniki minaa Israelfɔ tite akũ, kitonɛkĩ bikĩ bɛwɛ kĩ bakɔ obisɛ̃ a ku.”","And he said, ""Hear the word of the Lord that was sent to the people of Israel through the messenger; they will do good by following the commandments of God.""",Dec 08 output,,2.8886790607758566,27.51245675761227,15.200567909194064
Look at the birds in the sky! They don't plant or harvest. They don't even store grain in barns. Yet your Father in heaven takes care of them. Aren't you worth much more than birds?,"Midã kɔvɔlabi, kɔádu funitsã, kɔákpɔta funitsã kako nɛ tili kamɛ, lɛmɛ mi Ɔlɛga nɛ ode a adɔɔla koe! Mbɔɛɛ mitátɛ kɔya miba kɔvɔlabi?","My elder, the white cloth, the white goat, and the white chicken are in the house, come to Ɔlɛga's place for the ceremony! Are these the ones to be used for the ritual?",Dec 08 output,,2.3120442474479805,20.80925631598208,11.56065028171503
"A good tree produces good fruit, and a bad tree produces bad fruit. You can tell what a tree is like by the fruit it produces.","“Fɔmɔ aana kutse libi wĩ ni, kɛnɛ kĩ ana kutse wĩ, ade ntɛ odeĩ kutse kpa ni, kutse libi kpa aana. Babi a kĩ kutse awũ a bakɔa kanyi kutse a odu.","Fɔmɔ's father speaks the truth, and the child's mother speaks, when he does not act on the word, the truthful one acts as a father. The father's child speaks powerfully, he follows the word of God.",Dec 08 output,,2.298666038841233,16.235072508939396,9.266869273890315
Many will give up and will betray and hate each other.,"Bati pii aamuniki nɛ be katɛkado liti. Baanyɛ be akũ akũ abɔa, bikesĩ akũ lɛmɛ.",Bati is a brave warrior who fought the enemy. Baanyɛ and his people all went to the river.,Dec 08 output,,2.276859592073037,23.75650144645337,13.016680519263204
"But in front of everyone Peter said, “That isn't so! I don't know what you are talking about!”","Lɛmɛ Petro sĩ nɛ bati a flee anɛ ɛlɛ kĩ, “Ĩnyina lɛtsama nɛ lɛtsa a kĩ alɛ a akũ.”","Then Peter remembered the saying that Jesus had said to him, ""Before the rooster crows, you will deny me.""",Dec 08 output,,2.224972978585352,18.870589073696735,10.547781026141044
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","ade ebi ye kĩ, “Yidza, kakpã obisɛ̃ a mɔ ɔma mimuniki minaa Israelfɔ tite akũ, kitonɛkĩ bikĩ bɛwɛ kĩ bakɔ obisɛ̃ a ku.”","And he said to them, ""Yidza said, 'The children of Israel have indeed done this, and they have also done another thing.'""",onesimus_31223989_Dec 12 output,,3.3868193354396166,28.94096343942325,16.163891387431434
Look at the birds in the sky! They don't plant or harvest. They don't even store grain in barns. Yet your Father in heaven takes care of them. Aren't you worth much more than birds?,"Midã kɔvɔlabi, kɔádu funitsã, kɔákpɔta funitsã kako nɛ tili kamɛ, lɛmɛ mi Ɔlɛga nɛ ode a adɔɔla koe! Mbɔɛɛ mitátɛ kɔya miba kɔvɔlabi?","Midã is a kɔvɔlabi, a kɔádu person, a kɔákpɔta person, just like the tili kamɛ, the mother of Ɔlɛga, who is the mother of all koe! What then is the difference between a kɔvɔlabi and a kɔvɔlabi?",onesimus_31223989_Dec 12 output,,1.2443969494386207,17.95482167927024,9.59960931435443
"A good tree produces good fruit, and a bad tree produces bad fruit. You can tell what a tree is like by the fruit it produces.","“Fɔmɔ aana kutse libi wĩ ni, kɛnɛ kĩ ana kutse wĩ, ade ntɛ odeĩ kutse kpa ni, kutse libi kpa aana. Babi a kĩ kutse awũ a bakɔa kanyi kutse a odu.","Fɔmɔ works well on the task, and he also works on it, and even though he is tired, the task is done. Babi is in the house and in the farm.",onesimus_31223989_Dec 12 output,,2.8048598302198355,17.350277898739538,10.077568864479687
Many will give up and will betray and hate each other.,"Bati pii aamuniki nɛ be katɛkado liti. Baanyɛ be akũ akũ abɔa, bikesĩ akũ lɛmɛ.",Bati went to the farm and ate yam. Baanyɛ and his children went to the river.,onesimus_31223989_Dec 12 output,,2.8265205879007453,24.558988924032967,13.692754755966856
"But in front of everyone Peter said, “That isn't so! I don't know what you are talking about!”","Lɛmɛ Petro sĩ nɛ bati a flee anɛ ɛlɛ kĩ, “Ĩnyina lɛtsama nɛ lɛtsa a kĩ alɛ a akũ.”","""And when the rooster crowed, Peter remembered the word of the Lord, how he had said to him, 'Come back and strengthen your brothers.'""",onesimus_31223989_Dec 12 output,,1.696134390396339,17.975622132542103,9.83587826146922
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","ade ebi ye kĩ, “Yidza, kakpã obisɛ̃ a mɔ ɔma mimuniki minaa Israelfɔ tite akũ, kitonɛkĩ bikĩ bɛwɛ kĩ bakɔ obisɛ̃ a ku.”","Then he said, ""Lord, listen to your word, for those who have not praised all the people of Israel will know and call upon your name.""",john_AC86BE0F_output (5),,3.378939372622377,27.29113350140539,15.335036437013883
Look at the birds in the sky! They don't plant or harvest. They don't even store grain in barns. Yet your Father in heaven takes care of them. Aren't you worth much more than birds?,"Midã kɔvɔlabi, kɔádu funitsã, kɔákpɔta funitsã kako nɛ tili kamɛ, lɛmɛ mi Ɔlɛga nɛ ode a adɔɔla koe! Mbɔɛɛ mitátɛ kɔya miba kɔvɔlabi?","Midã is calling, he comes, they come as well and see mother, when I and Olega and he cares for you! Why are you crying because you are calling?",john_AC86BE0F_output (5),,1.200795316169751,16.53154872588082,8.866172021025285
"A good tree produces good fruit, and a bad tree produces bad fruit. You can tell what a tree is like by the fruit it produces.","“Fɔmɔ aana kutse libi wĩ ni, kɛnɛ kĩ ana kutse wĩ, ade ntɛ odeĩ kutse kpa ni, kutse libi kpa aana. Babi a kĩ kutse awũ a bakɔa kanyi kutse a odu.","The elder told the story in the house, and the child also told the story in the house, and then the woman told the story in the room, the story of the person in the big room. Father told the story in the village, the story of the river.",john_AC86BE0F_output (5),,1.6623064449736842,15.948667672684206,8.805487058828945
Many will give up and will betray and hate each other.,"Bati pii aamuniki nɛ be katɛkado liti. Baanyɛ be akũ akũ abɔa, bikesĩ akũ lɛmɛ.","They said many things and the child went there. They went quickly with the dog, came back quickly.",john_AC86BE0F_output (5),,2.159701133933343,18.652117005667648,10.405909069800495
"But in front of everyone Peter said, “That isn't so! I don't know what you are talking about!”","Lɛmɛ Petro sĩ nɛ bati a flee anɛ ɛlɛ kĩ, “Ĩnyina lɛtsama nɛ lɛtsa a kĩ alɛ a akũ.”","Then Peter spoke, and the men fled there, saying, ""Lord, if it is you, command me to come to you on the water.""",john_AC86BE0F_output (5),,1.5784309053930103,20.739716090730536,11.159073498061773
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","ade ebi ye kĩ, “Yidza, kakpã obisɛ̃ a mɔ ɔma mimuniki minaa Israelfɔ tite akũ, kitonɛkĩ bikĩ bɛwɛ kĩ bakɔ obisɛ̃ a ku.”","Then he said to them, ""Moses, when you brought us out of the land of Egypt, did we not eat manna in the wilderness of Israel? How you led us through the wilderness!""",output_JA-4,,1.3737889784665156,22.68776561691021,12.030777297688362
Look at the birds in the sky! They don't plant or harvest. They don't even store grain in barns. Yet your Father in heaven takes care of them. Aren't you worth much more than birds?,"Midã kɔvɔlabi, kɔádu funitsã, kɔákpɔta funitsã kako nɛ tili kamɛ, lɛmɛ mi Ɔlɛga nɛ ode a adɔɔla koe! Mbɔɛɛ mitátɛ kɔya miba kɔvɔlabi?","My child, the one who teaches the lesson, the one who explains the lesson like it is, look at my Olɛga who is in the great event koe! What will happen to the one who does the same as the child?",output_JA-4,,2.091907353029706,21.588570759560394,11.84023905629505
"A good tree produces good fruit, and a bad tree produces bad fruit. You can tell what a tree is like by the fruit it produces.","“Fɔmɔ aana kutse libi wĩ ni, kɛnɛ kĩ ana kutse wĩ, ade ntɛ odeĩ kutse kpa ni, kutse libi kpa aana. Babi a kĩ kutse awũ a bakɔa kanyi kutse a odu.","The given text is in an unrecognized language, and a reliable translation into English cannot be provided without further context or clarification.",output_JA-4,,5.402804099209123,19.10819438197036,12.255499240589742
Many will give up and will betray and hate each other.,"Bati pii aamuniki nɛ be katɛkado liti. Baanyɛ be akũ akũ abɔa, bikesĩ akũ lɛmɛ.",,output_JA-4,,0.0,0.0,0.0
"But in front of everyone Peter said, “That isn't so! I don't know what you are talking about!”","Lɛmɛ Petro sĩ nɛ bati a flee anɛ ɛlɛ kĩ, “Ĩnyina lɛtsama nɛ lɛtsa a kĩ alɛ a akũ.”","Petro said that he fled and ran away, ""I begged and asked him, but he didn't listen.""",output_JA-4,,2.2731543567022867,15.108845971059747,8.691000163881016
"A good tree produces good fruit, and a bad tree produces bad fruit.","Kutse wĩ awũ babi wĩ, ade kutse kpa lɛmɛ awũ babi kpa a.","If I go to my father, then you also go to your father.",output-onesimus_004,0.33429793,3.1251907639724417,9.8724297000722,6.49881023202232
"You can see the speck in your friend's eye, but you don't notice the log in your own eye.",“Nde sũ adã sukuluku kĩ sideĩ nɛ awaɛ̃ linebi kamɛ lɛmɛ aámɔ luvokũ a kĩ lideĩ nɛ nɔ mɔawɛ linebi kamɛ a?,"Are you going to school to teach, and what work do you do with the children?",output-onesimus_004,-0.09706159,2.392598022685055,16.79993861330951,9.596268317997282
"Don't store up treasures on earth! Moths and rust can destroy them, and thieves can break in and steal them.","“Mitawɛ akũ kana fɔtsa miyi akũ nɛ tite kĩĩ akũ, awã kĩ fupuka mɔ nkandɔlɔ aabula foe kade, ade bayekpanɛ lɛmɛ abubuli kɔla kawo kaye foe a.",,output-onesimus_004,0.08713997,0.0,0.0,0.0
