ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"“In Ramah a voice was heard crying and weeping loudly. Rachel was mourning for her children, and she refused to be comforted, because they were dead.” The Return from Egypt","“Ba da woŋ la neɛ kaŋ kɔkɔre naŋ yire Urama poɔ, neɛ kaŋ naŋ ŋmeɛrɛ kpɛlle erɛ nemba-yɛlɛ, Urakɛɛl kono hiine la o biiri yɛlɛ, a ba sage ka ba mɔgle o, bonso, a o biiri ba la kyebe.” A Igyipiti Teŋɛ Leɛ Yi Waabo Yɛlɛ","They say that when the first people came to Urama, and when they beat the kpɛlle drum to call the people, Urakɛɛl was inside the house with his child, and they went and seized him, and so, he left his child behind.",Dec 08 output,,2.151159633747987,22.9300151092004,12.540587371474194
Why worry about clothes? Look how the wild flowers grow. They don't work hard to make their clothes.,"Ka bonso, ka yɛ kyerɛ bonsuuri yɛlɛ? Yɛ kaa nyɛ a baa pɛmpɛllɛ naŋ maŋ baara lɛ. A ba tonɔ toma bee a wuoro pɛmɛ,","What is it that you want to tell the world? We are not ones who just speak empty words. If you have something to say, say it clearly.",Dec 08 output,,1.7345617945636578,20.282406939145833,11.008484366854745
"You are a bunch of evil snakes, so how can you say anything good? Your words show what is in your hearts.","Yɛnee dompane boorɔ ŋa! Yɛ naŋ waa nenfaare, wola ka yɛ na toɔ̃ yeli yelsonne? Bonso, bonna naŋ be a sukyiri poɔ la ka a noɔre maŋ yele.","You are a wicked person! You who are my friend, why did you do this to me? Look, your friend is in the river and you are just standing there.",Dec 08 output,,5.877871600454018,24.016598167132905,14.947234883793461
"People were eating, drinking, and getting married right up to the day the flood came and Noah went into the big boat.","Aŋa a bebie na poɔ a kɔmpiiri naŋ da ba wa sɛre, ka noba da dire kyɛ nyuuro, ka dɔbɔ derɛ pɔgeba, ka pɔgeba meŋ kulo serebɛ, a te ta daare na a Nowa naŋ kpɛ a gbori,","When the child was born and the midwife came to cut the umbilical cord, and the mother began to cry tears, and the tears fell to the ground, and the ground did not reject the tears, it meant that the child would grow up to become a chief.",Dec 08 output,,2.767904742601579,22.15213923009969,12.460021986350634
"Everyone answered, “We and our own families will take the blame for his death!”","Lɛ la ka a noba zaa pabo laŋ yeli, “Ka a Yeezu zẽẽ do te ne te biiri.”","He said to his disciples, “It is Jesus who will go ahead of you.”",Dec 08 output,,3.2342452920962157,15.419734169191102,9.326989730643659
"“In Ramah a voice was heard crying and weeping loudly. Rachel was mourning for her children, and she refused to be comforted, because they were dead.” The Return from Egypt","“Ba da woŋ la neɛ kaŋ kɔkɔre naŋ yire Urama poɔ, neɛ kaŋ naŋ ŋmeɛrɛ kpɛlle erɛ nemba-yɛlɛ, Urakɛɛl kono hiine la o biiri yɛlɛ, a ba sage ka ba mɔgle o, bonso, a o biiri ba la kyebe.” A Igyipiti Teŋɛ Leɛ Yi Waabo Yɛlɛ","“When they arrived at the place where Urama was, and where they were to perform the kpɛlle dance for the ancestors, Urakɛɛl entered the house and hid himself; then, they searched for him but could not find him, because he had hidden himself in the ceiling.” The Egyptians Are Looking for Us",onesimus_31223989_Dec 12 output,,4.153221736324943,32.17482639689186,18.164024066608402
Why worry about clothes? Look how the wild flowers grow. They don't work hard to make their clothes.,"Ka bonso, ka yɛ kyerɛ bonsuuri yɛlɛ? Yɛ kaa nyɛ a baa pɛmpɛllɛ naŋ maŋ baara lɛ. A ba tonɔ toma bee a wuoro pɛmɛ,","What is it, what does the darkness want? We are not the ones who went to meet them at the farm. It is their own fault or the fault of the old man.",onesimus_31223989_Dec 12 output,,1.559480765382838,20.30970491526954,10.934592840326188
"You are a bunch of evil snakes, so how can you say anything good? Your words show what is in your hearts.","Yɛnee dompane boorɔ ŋa! Yɛ naŋ waa nenfaare, wola ka yɛ na toɔ̃ yeli yelsonne? Bonso, bonna naŋ be a sukyiri poɔ la ka a noɔre maŋ yele.","You are a wicked person! You have no shame, so you can say such a thing? Look, you are in the dark room and you are still talking.",onesimus_31223989_Dec 12 output,,6.402274184732879,26.438309622791095,16.42029190376199
"People were eating, drinking, and getting married right up to the day the flood came and Noah went into the big boat.","Aŋa a bebie na poɔ a kɔmpiiri naŋ da ba wa sɛre, ka noba da dire kyɛ nyuuro, ka dɔbɔ derɛ pɔgeba, ka pɔgeba meŋ kulo serebɛ, a te ta daare na a Nowa naŋ kpɛ a gbori,","When the sun rose and the mist had cleared, and the goats had eaten the leaves of the trees, and the sheep had grazed, and the sheep did not return to the pen, it was then that Nowa entered the bush.",onesimus_31223989_Dec 12 output,,2.7531049048266314,21.780418222235838,12.266761563531235
"Everyone answered, “We and our own families will take the blame for his death!”","Lɛ la ka a noba zaa pabo laŋ yeli, “Ka a Yeezu zẽẽ do te ne te biiri.”","He said to his disciples, “It is Jesus who will prepare a place for you.”",onesimus_31223989_Dec 12 output,,3.211547431691929,18.490328807900383,10.850938119796156
