ref,text,translated,source_zip_file,bleu_score,chrf_score,avg_score
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",Na ɔvɛlɛle anwomanyunlu “Anwuma.” Aleɛ dwole na aleɛ hyenle; kenle ne mɔɔ tɔ zolɛ nwiɔ la ɛne.,He/she/they sang the song “Anwuma.” The voice was sweet and clear; everyone who heard it was filled with joy.,output_proprietary_batch1,3.9253456897493937,20.136315134744052,12.030830412246722
So God created humans to be like himself; he made men and women.,Yemɔti Nyamenle bɔle sonla kɛ ɔdaye ye ɛsaso la; ɔdaye Nyamenle mumua ne ye ɛsaso a ɔnleanle ɔbɔle sonla a. Ɔbɔle bɛ nrenya nee raalɛ.,We should worship God only because He is the Creator; worshipping God for any other reason is not true worship. Worship should come from the heart.,output_proprietary_batch1,1.6934096677198087,18.050964447672964,9.872187057696387
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",Meva ndile muala noko memaa debie biala mɔɔ lɛ ngoane wɔ ye nuhua: azɛlɛ ye azo nane kɔsɔɔti nee anwomanyunlu nloma nee ninyɛne mɔɔ twenle bɛ nwo aze la amuala kɛ bɛli.” Na ɔyɛle zɔhane.,"When I was young my mother used to tell me this story: if you want to be wise and successful in life, you must listen to your elders and obey their advice.” And it was true.",output_proprietary_batch1,2.608345502477012,21.832193664640602,12.220269583558807
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Ɛnee kɛ Nyamenle zile bɔle anwuma nee aze la ɛne. Yidɛn tola ne Mekɛ mɔɔ Ɛdɛnkɛma Nyamenle bɔle anwuma nee azɛlɛ ye la,","So, if God gives us life tomorrow, this is what will happen. Just as I have told you, if God gives us life tomorrow, it will be like this.",output_proprietary_batch1,1.493369524819332,11.851668069981697,6.672518797400515
But streams came up from the ground and watered the earth.,Noko ɛnee nzule vi azɛlɛ bo finde bu azɛlɛ ne azo amuala tɛloo.,"If you do not go to the river, you will not know how deep it is.",output_proprietary_batch1,2.5540496664715904,11.46238675216467,7.00821820931813
So the Lord took some soil and made animals and birds. He brought them to the man to see what names he would give each of them. Then the man named the tame animals and the birds and the wild animals. That's how they got their names. None of these was the right kind of partner for the man.,"Sonla totonle nyɛmoa ne mɔ aluma ngoko ngoko, ɔtotonle nloma mɔɔ tu dua anwomanyunlu la aluma yɛɛ ɔtotonle nanemgbole mɔɔ wɔ ɛbɔ nu la aluma. Na ɔdaye sonla ɛdeɛ, yeannyia ye ɛsaso boavolɛ biala.","The farmer plants crops and waits patiently, he plants seeds in the soil and waits for them to grow. But sometimes, despite his efforts, he does not get any harvest at all.",output_proprietary_batch1,1.7082625133984597,19.64628010735766,10.67727131037806
"the Lord made a woman out of the rib. The Lord God brought her to the man,",Ɛdɛnkɛma Nyamenle vale bowule ne mɔɔ ɔyele la ɔyɛle sonla raalɛ na ɔvale ye ɔrɛlɛle nrenya ne.,The blessing of God is like rain that falls on the ground and makes plants grow and bear fruit.,output_proprietary_batch1,2.862999365766888,18.45925696566219,10.661128165714539
"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Akee Ɛdɛnkɛma Nyamenle zele kɛ, “Bɛnlea, kɛkala sonla ɛyɛ kɛ yɛ nuhua ko la, yenwu kpalɛ nee ɛtane. Saa yɛannea ye boɛ a ɔbali ngoane baka ne ɔdaye ye ma ne bie na yeadɛnla ngoane nu dahuu.”","Then God said, “Look, the man has become like one of us, knowing good and evil. Now, he must not be allowed to reach out his hand and take also from the tree of life and eat, and live forever.”",output_proprietary_batch1,16.450502416523957,40.3789989692603,28.414750692892127
"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Asoo saa ɛyɛle ye boɛ a, anrɛɛ ɛ nyunlu ɛnrɛra anyia? Na wɔanyɛ ye boɛ la, ɛtane ɛhɔ ɛ nwo nzia; ɔkpondɛ kɛ ɔfo ɛ nwo zo, na wɔmɔ yɛɛ ɔwɔ kɛ ɛfo ɔ nwo zo a.”","If this is really your friend, why don't you visit him often? And if he is not your friend, why do you go there; the one who loves and the one who hates do not go together, and if you do good and he does evil, you do not go together.",output_proprietary_batch1,2.421327974671701,24.545298092924572,13.483313033798137
"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Ɛhye anzi Keen zele ɔ diema Ebɛle kɛ, “Maa yɛhɔ ɛbɔ nu.” Bɛhɔle la, Keen holole ɔ diema Ebɛle anwo zo na ɔhunle ye.","It happened that Cain said to Abel, “Let’s go out to the field.” While they were in the field, Cain attacked his brother Abel and killed him.",output_proprietary_batch1,25.111871976011116,62.783792435569566,43.94783220579034
