Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
kimi-k2-instruct-0905,10.67,29.77,20.22,10.669982707647128,29.77258854952931,20.221285628588216
gemini-2.5-flash,7.31,30.91,19.11,7.309852833539626,30.91499077072468,19.11242180213215
deepseek-v3.1,8.65,27.50,18.07,8.645340342105577,27.496228488857785,18.07078441548168
claude-sonnet-4-5,4.21,25.61,14.91,4.210591057063157,25.613557116585287,14.91207408682422
gpt-4.1,4.15,24.63,14.39,4.154196320921828,24.630726349057145,14.392461334989488
llama-4-maverick-17b-128e-instruct,3.90,24.82,14.36,3.8954877410297115,24.81980884513314,14.357648293081425
qwen3-235b-a22b,3.79,23.91,13.85,3.7857506819087523,23.913453092102486,13.849601887005619
llama-3.1-405b-instruct,2.95,24.11,13.53,2.9487804453073787,24.106723321835617,13.527751883571497
qwq-32b,3.65,23.23,13.44,3.65020001338855,23.229776217992452,13.439988115690499
mistral-medium-3-instruct,2.88,22.91,12.90,2.881664344220464,22.91397239971088,12.897818371965672
llama-3.3-70b-instruct,2.73,22.36,12.54,2.726215761570981,22.361356016668385,12.54378588911968
palmyra-med-70b,2.11,22.01,12.06,2.110155034246931,22.00841897734673,12.059287005796829
seed-oss-36b-instruct,2.48,21.22,11.85,2.47647853870282,21.216193777336922,11.846336158019872
qwen3-32b,1.99,21.13,11.56,1.9905443013117818,21.133162346356794,11.561853323834287
gemma-2-27b-it,2.41,20.51,11.46,2.4138258257910836,20.510710455566038,11.46226814067856
gpt-oss-120b,2.96,19.12,11.04,2.956632430950952,19.1183522310506,11.037492331000777
gemma-2-9b-it,2.19,19.52,10.85,2.186863052346306,19.51639910481526,10.851631078580782
gemma2-9b-it,2.26,18.89,10.58,2.2627513594743904,18.89310229113234,10.577926825303367
mistral-7b-instruct-v0.3,1.41,15.81,8.61,1.408660759877446,15.812773128130072,8.610716944003759
