ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
But streams came up from the ground and watered the earth.,Amaa ku'om da bunnɛ wʋ'ʋgid teŋ la.,The women are going to the market with baskets.,0.009017008,output_jonathan,4.085507150363302,14.886913724373125,9.486210437368214
"Wherever you go, I will watch over you, then later I will bring you back to this land. I won't leave you—I will do all I have promised.","M na bɛ nɛf ka gurif fʋn keŋ zin'isi'a wʋsa, ka na mɔri fʋ lɛb teŋ kaŋa ni na. M kʋ basi fɔɔ, asɛɛ m ti maal man pɔɔ zi'el si'em la wʋsa.”","""The man who was carrying a heavy load on his head, when he reached the market, he found out that he had forgotten his money at home, so he went back.""",0.1866326,output_jonathan,1.4091499441909465,18.77020946413654,10.089679704163743
"and he told her: “Your two sons will become two separate nations. The younger of the two will be stronger, and the older son will be his servant.”","Ka Zugsɔb yɛl o ye, “Buudi ayi' bɛɛ fʋ pʋʋgin la, Nidiba ayi' ka fʋ ye fʋ du'a. Fʋ ya'a du'a ba, ba na pʋdig kɔn'ɔb-kɔn'ɔb. Ka yinne la na mɔr paŋi gat o tiraan, ka kpɛɛm la na lieb o pitʋ la tʋmtʋm.”","The man said, ""The cow is not in the bush, it is in the house. If you want to find it, go to the house. I have seen it near the mango tree, it is lying under the palm tree with its tail twitching.""",0.23959729,output_jonathan,1.0747017861729933,20.307037011844404,10.6908693990087
So Abraham got up early the next morning and chopped wood for the fire. He put a saddle on his donkey and set out with Isaac and two servants for the place where God had told him to go.,Bɛogʋ da nie la Abraham da isigi nɔk o yammis ayi' nɛ o biig Isaak ka bɔ daad linɛ na maal maan la ka ban' o buŋi gban'e suori ken zin'ikanɛ ka Wina'am yɛl o la.,"Abraham and Isaac went to the well and Isaac took the rope to draw water, but Abraham stopped him and said, ""Do not draw water, my son. Wait for the Lord to provide the water.""",0.60233235,output_jonathan,2.7888419657377455,25.495137824632696,14.14198989518522
"Jacob himself walked in front of them all, bowing to the ground seven times as he came near his brother.",Ka o mɛŋ gaad tuonnɛ igin teŋin nɔɔra ayɔpɔi ka nyaan paae o bier la.,The man who was walking in the forest suddenly heard a loud noise and ran away quickly.,0.12274391,output_jonathan,2.263300754846532,17.750593507200147,10.00694713102334
"Now, my son, listen carefully to what I want you to do.","Tɔ', m biiga, wʋm sʋ'ʋŋa ka maal mam ye m yɛlif si'el la.","""I have a problem, and it is that I cannot find the words to express my feelings clearly.""",0.28782287,output_onesimus007,2.5828020030551087,17.555717809782294,10.0692599064187
"After Jacob came back to the land of Canaan, God appeared to him again. This time he gave Jacob a new name and blessed him by saying: I am God All-Powerful, and from now on your name will be Israel instead of Jacob. You will have many children. Your descendants will become nations, and some of the men in your family will even be kings.","Ka Wina'am lɛn yɛl o ye, “Manɛ an Wina'am Onɛ Galis la. Du'ami biis ka nɔbigi bɛdegʋ. Fʋ na wiak buudi bɛdegʋ hali ka ba lieb tembɛda. Na'anam na yii fʋ tuŋʋn na.","""The teacher said to them, ""I am the teacher from Galis. I have come to teach you. Do not play while I am teaching. If you do, you will not learn well.""""",0.08332685,output_onesimus007,1.358061341474555,15.494449159002604,8.42625525023858
"Instead, go back to the land where I was born and find a wife for him from among my relatives.”",Amaa fʋ na keŋi m mɛŋ teŋin nɛ m mɛŋ du'adibin bɔ pu'a na tisim biig Isaak.”,"""Our mother went to the market and bought a goat from Isaac.""",0.2085604,output_onesimus007,4.057939977131157,16.629013941052477,10.343476959091817
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Biribiŋ kanɛ wʋsa pʋ kpɛn' baŋʋʋ, yanam yisim o buudi la ni, bɔzugɔ o ki'is man nɔnaar la nɛ.”","""The goat that was eating the leaves in the bush, it was not small, it was big.""",0.15988079,output_onesimus007,2.0540268312306345,12.778099960753234,7.416063395991935
"You surely wouldn't let them be killed when you destroy the evil ones. You are the judge of all the earth, and you do what is right.”",M mi' ye fʋ kʋ maal ala n kpanbi san'am ninsʋma nɛ nimbɛ'ɛdnama. Dunia wʋsa sariakat kʋ tʋm dinɛ an sidaa?”,"The question is: ""Why did you bring a big bag of rice to the market and leave it there without anyone to guard it? Isn't the world dangerous?""",0.30532992,output_onesimus007,1.7577459356554812,22.36763747253464,12.06269170409506
