ref,text,translated,source_zip_file,bleu_score,chrf_score,avg_score
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Ka Naawuni daa boli foliŋga maa “Zuɣusaa.” Ka di daa niŋ zaawuni, di nyaaŋa ka biɛɣu neei; ka di niŋ dabisili din pah’ ayi.","And God called the light ""Day."" And there was evening, and there was morning—the second day.",output_proprietary_batch1,8.896962872669691,41.36861407549316,25.132788474081426
So God created humans to be like himself; he made men and women.,"Naawuni daa nam ninsala ŋ-ŋmahindila omaŋa, ka o be kaman Naawuni ni be shɛm. O daa nam ba la doo mini paɣa.","God created human beings in His own image, and they are like God. He created them as a man and a woman.",output_proprietary_batch1,3.787865612579481,40.22071868570703,22.004292149143254
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",ka zaŋ bimbilli kam din maha n-ti mɔɣu ni biŋkɔbiri balibu kam mini binnɛma balibu kam bɛn mali nyɛvili zaŋ tabili noonsi balibu kam ni binnɛma balibu kam bɛn gbamdi tiŋgban’ ni ni bɛ dira.” Ka di daa shiri niŋ lala.,"And every plant yielding seed that produces food, and every tree that bears fruit with seed in it, and every plant that has seeds, I give you every green plant and every plant that grows on the",output_proprietary_batch1,2.87571163794528,32.49560711231811,17.685659375131696
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Naawuni ni daa nam zuɣusaa mini dunia ŋɔ binshɛɣukam zaa shɛm m-bala. Idɛn puu Yawɛ ŋun nyɛ Naawuni ŋɔ ni daa nam dunia ŋɔ mini zuɣusaa dahin’ shɛli,","God created the heavens and this world and everything in it. It was Yahweh, who is God, who created this world and the heavens in the beginning.",output_proprietary_batch1,15.465401249808576,43.298139790674576,29.381770520241574
But streams came up from the ground and watered the earth.,amaa kom daa puhiri yirila tiŋ’ na m-mahigiri tiŋgbani zaa.,"And long ago, he created a good land and established the whole world.",output_proprietary_batch1,3.4585921141027356,20.767356487168655,12.112974300635695
"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Dimbɔŋɔ nyaaŋa ka Yawɛ ŋun nyɛ Naawuni ŋɔ daa yɛli, “Di bi simdi ni doo be o ko, n ni nam sɔŋda ŋun simd’ o ti o.”","After this, the Lord God said, “It is not good for man to be alone; I will make a helper suitable for him.",output_proprietary_batch1,30.742034610596015,61.77557762450074,46.258806117548374
"the Lord made a woman out of the rib. The Lord God brought her to the man,",ka zaŋ o ni daa yihi sapir’ kɔb’ shɛli maa nam paɣa n-zaŋ o ti doo maa.,"And gave her, who had previously brought out that piece of paper, as a wife to that man.",output_proprietary_batch1,3.1455513896148433,24.297639531439202,13.721595460527023
"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Ka Yawɛ ŋun nyɛ Naawuni ŋɔ daa yɛli, “Nyama, pumpɔŋɔ ninsal’ bemi kaman ti ni be shɛm, ka mi zaɣ’ suŋ ni zaɣ’ biɛɣu, ka di pa shɛli ka o ti pɔhigi nyɛvili tia la walli di m-be hal ni saha din ka bahigu.”","And Yawɛ, who was God, said, “Look, the man has become like one of us, knowing good and evil. And now, lest he reach out his hand and take also",output_proprietary_batch1,2.653087222384625,18.612067311473638,10.63257726692913
"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","A yi di niŋ din simdi, n naan ku deei li? Ka a yi bi niŋ din simdi, alahichi do a dunol’ ni m-bɔri ni di nyaŋ a, amaa di niŋ kamaata ni a nyaŋ li.”","If you had done what was right, would I not have accepted it? But if you did not do what was right, your opponent is in your presence and wants to defeat you, but it is necessary that you defeat it.",output_proprietary_batch1,10.301175303708133,34.37137849604509,22.336276899876612
"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Dahin shɛli ka Keen daa ti yɛl’ o tizo Ɛbɛl, “Ti cham’ mɔɣu ni.” Bɛ ni daa ti be mɔɣu maa ni saha shɛli, ka Keen yiɣisi lu o tizo Ɛbɛl maa zuɣu n-ku o.","One day Cain said to his brother Abel, ""Let's go to the field."" While they were in the field, Cain rose up against his brother Abel and killed him.",output_proprietary_batch1,29.18743896121187,56.960840345727114,43.074139653469494
"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People","Ka Keen daa yi Yawɛ sani n-chaŋ ti be tiŋgban’ shɛli din be Idɛn puu la wulimpuhili polo, ka di yuli booni Nɔd la. Keen zuliya","And Keen went from Yawɛ to a certain land that is in the Garden of Eden in the east, and its name is Nod. Keen dwelt there.",output_proprietary_batch1,4.62136266712202,23.708634046969397,14.16499835704571
Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Bɛ yi daa yɛn ku niriba ayopɔin n-yo Keen kubu samli, so yi ku mani, yɛlimaŋli, ninvuɣ’ pisopɔinnaayopɔin ka bɛ yɛn ku n-yo man’ kubu samli.” Sɛt mini Ɛnɔsh","If they were to kill seventy people for Cain's murder, then they will kill me, truly, seventy-seven people that they will kill for my murder."" Seth and Enosh",output_proprietary_batch1,1.5883027492953543,21.88908811557685,11.738695432436103
"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Ka Adam min’ o paɣ’ daa lan laɣim ka o dɔɣi bidibiga m-bol’ o yuli Sɛt, dama O daa yɛlimi, “Naawuni zaŋla bidib’ so ti ma ka o zani Ɛbɛl zaani, Keen ni daa ku Ɛbɛl la zuɣu.”","And Adam again lay with his wife, and she bore a son and called his name Seth, for she said, “God has granted me another child to take Abel's place, because Cain killed Abel.",output_proprietary_batch1,11.684868992024715,42.47083193227657,27.077850462150643
and died at the age of,"Sɛt daa niŋla yuun’ kɔbisiwɛi ni pinaayi, ka naanyi yi dunia yili.",Seth was eighty-two years old and passed away from the world.,output_proprietary_batch1,4.02724819242185,19.31940171671629,11.67332495456907
and died at the age of,"Jarɛd daa niŋla yuun’ kɔbisiwɛi ni pihiyɔbunaayi, ka naanyi yi dunia yili.","Jared was eighty-six and two hundred sixty-two years old, and then he died from the world.",output_proprietary_batch1,2.8265205879007453,17.902907509303795,10.36471404860227
and God took him away at the age of,"Inok daa jɛmdi Naawuni viɛnyɛliŋga, ka so daa ti bi lan nya o, dama Naawuni n-daa kpuɣ’ o.","Enoch walked faithfully with God, and no one saw him again, because God took him.",output_proprietary_batch1,8.59076483566362,35.935249332472864,22.263007084068242
and this is the story about him. Noah was the only person who lived right and obeyed God.,"Nuhu zuliya m-bɔŋɔ: Nuhu daa nyɛla wuntizɔra ŋun jɛmdi Naawuni, ka ka galimi o ʒiɛman’ ni.","Nuhu's Story: Nuhu was a prophet who worshipped God, and he was steadfast in his faith.",output_proprietary_batch1,2.872044408022115,20.786786171228375,11.829415289625246
"The water under the earth started gushing out everywhere, the sky opened like windows, and rain poured down for",Ka saa daa luna m-mi wuntaŋ’ ni mini yuŋ biɛɣ’ pihinahi.,"And that day came, I knew evil things day and night.",output_proprietary_batch1,1.9852949681089909,10.924154587112794,6.454724777610892
"He waited seven more days before sending the dove out again, and this time it did not return.","Ka o daa lan guhi daba ayopɔin pahi, ka lan chɛ ka ŋmani maa yi n-chaŋ yaha, dindina, ka ŋmani maa daa bi lan labina.","Then he waited another seven days, and he let the dove fly out and go away, but the dove did not return again.",output_proprietary_batch1,9.22635643555325,42.74003067832911,25.98319355694118
"When I send clouds over the earth, and a rainbow appears in the sky,","N yi ti chɛ ka sagbana zibigi ka sagani booi sagbana maa ni,","If I were to allow the snake to bite and the venom to enter into that snake,",output_proprietary_batch1,3.211547431691929,18.913956365402758,11.062751898547344
"Noah and his sons, Shem, Ham, and Japheth, left the boat. Ham later had a son named Canaan.",Nuhu bidibisi bɛn daa yi ŋariŋ maa ni na n-daa nyɛ: Shɛm mini Ham ni Jafɛt. Ham daa nyɛla Keenan ba.,Noah's sons who came out of the ark were: Shem and Ham and Japheth. Ham was the father of Canaan.,output_proprietary_batch1,6.35511871430441,36.54295903139095,21.44903887284768
One day he got drunk and was lying naked in his tent.,Ka o daa ti nyu tihi maa wain kuli n-do o zaɣim o suɣili ni.,"And he/she would always go drink that water, and it would strengthen his/her body.",output_proprietary_batch1,2.7076576267554477,21.30386574887688,12.005761687816165
"The crops failed, and there was no food anywhere in Canaan. So Abram and his wife Sarai went to live in Egypt for a while. But just before they got there, Abram said, “Sarai, you are really beautiful!","O ni daa ti yɛn kpe Ijipti saha shɛli ka o yɛl’ o paɣ’ Zarai, “M mi ni a nyɛla paɣ’ viɛlli, ka a lihibu mali kɔre.","And when he was about to enter Egypt, he said to his wife Sarai, ""I know that you are a beautiful woman, and your appearance is lovely.",output_proprietary_batch1,5.198135907309035,28.502674307814583,16.85040510756181
"Finally, the king sent for Abram and said to him, “What have you done to me? Why didn't you tell me Sarai was your wife?","Ka Firawuna daa boli Ibram na nti bɔh’ o, “Bɔ n-niŋ ka a niŋ ma lala? Bɔ n-niŋ ka a bi yɛli ma ni o nyɛla a paɣa?","Then Pharaoh called Abram and asked him, ""Why did you do this to me? Why didn't you tell me that she was your wife?",output_proprietary_batch1,36.25338356592764,50.91121274698097,43.58229815645431
"So Lot chose the whole Jordan Valley for himself, and as he started out toward the east, he and Abram separated.",Ka Lɔt daa pii Jɔɔdɛn Mɔɣili vinvamli polo maa n-daa zaŋ kpa wulimpuhili polo. Bɛ ni daa woligi shɛm m-bala.,"Lot chose the fertile plain of Jordan, and he settled in a well-watered place. That is how they moved there.",output_proprietary_batch1,8.299711394278342,29.930118902264457,19.1149151482714
"Now walk back and forth across the land, because I am going to give it to you.","Yiɣisim’ doli tiŋgbɔŋ maa wɔɣilim mini di yɛliŋ nya, n ni zaŋ li ti a.”","When you perceive knowledge accompanying the beauty and goodness of that world, I will give it to you.",output_proprietary_batch1,20.76047003130265,31.89658799342662,26.328529012364633
"attacked King Bera of Sodom, King Birsha of Gomorrah, King Shinab of Admah, King Shemeber of Zeboiim, and the king of Bela, a city also known as Zoar.",daa ti lo tɔbu bɛ ʒiɛman’ ni n-chaŋ ni bɛ ti tuhi Sɔdom Naa Bɛra mini Gomɔra Naa Birisha ni Adima Naa Shinab ni Zɛbɔiim Naa Shɛmɛba ni Bɛla bee Zɔa naa.,They went to war in their valley and fought King Bera of Sodom and King Birsha of Gomorrah and King Shinab of Admah and King Shemeber of Zeboiim and King,output_proprietary_batch1,27.623508843320895,59.0610736303105,43.3422912368157
"A year later King Chedorlaomer and his allies attacked and defeated the Rephaites in Ashteroth-Karnaim, the Zuzites in Ham, and the Emites in Shaveh-Kiriathaim.","Yuun’ shɛli din daa ti pahiri yuun’ pinaanahi ni, ka Chɛdolaoma mini na’ shɛb’ bɛn daa sɔŋd’ o daa chaŋ ti tuhi nyaŋ Rɛfaim din be Ashitɛrɔtikarinaim tiŋgbɔŋ ni mini Zuzim din be Ham tiŋgbɔŋ ni ni Ɛmim din be Shavɛkiriataim tiŋgbɔŋ ni","In ancient times, Chedorlaomer and the kings who were allied with him went and defeated the Rephaim in Ashteroth-karnaim, and the Zuzim in Ham, and the Emim in Shaveh Kiriathaim.",output_proprietary_batch1,16.57462415840606,60.67436718717206,38.62449567278906
