ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Hɛrɔd funɛ sou, Koosa malaika ti fun bur wa Josɛf wati a li Ijipt pulum ni.","Herod was afraid, so the angel of the Lord appeared to Joseph in a dream and said, ""Get up, take the child and his mother, and flee to Egypt, and stay there until I tell you. For Herod will search for the child to destroy him.""",Dec 08 output,,5.4077374035067285,39.87599240761091,22.64186490555882
"God gives such beauty to everything that grows in the fields, even though it is here today and thrown into a fire tomorrow. God will surely do even more for you! Why do you have such little faith?","Koosa la nyɛ kɔsa wa kilaarɛ. A wa bi a vusi ka limaŋ wa pisi, din yaa wa di a. O wati ma kaali kɔsa kinkan. O wa zi bu koti a nyɛ ma kilaarɛɛ? Ma se wa su un nɛnɛ.","If you are a thief, you will be caught. If you steal, you will be punished. You will not escape justice. Do not try to run away.",Dec 08 output,,1.390749300603247,14.610480355613841,8.000614828108544
"Jesus' disciples came to him and asked, “Why do you use stories to speak to the people?”","Doone o gantɛl tiŋsi ta fun wa pɛɛsi un, “I funɛ biksi nara, baŋnɛ i fun jɛɛgi jɛɛgɛ a nyɛ ba?”","He asked the people in the village, ""I have a question for you, what is the meaning of this word?""",Dec 08 output,,3.9645132534206886,23.98569599180909,13.97510462261489
"I was hungry, but you did not give me anything to eat, and I was thirsty, but you did not give me anything to drink.","Lɔsa funɛ kpak min, ma wa fun nyɛ min diwe mu di. Nyɔksa funɛ kpak min, ma wa fun nyɛ min ni mu nyɔ.","Give me food, so that I may eat and be satisfied. Give me water, so that I may drink and be quenched.",Dec 08 output,,2.2889220145261246,19.504989528538786,10.896955771532456
News about Jesus quickly spread all over Galilee. Jesus Heals Many People (Matthew,Lalaknɔ ba naa maga nyɛn Galili pulum ni fun nu chenani o tum. Yesu Fun Tiibi Nidamata (Mat.,Then Jesus went out from Galilee to the region of Judea beyond the Jordan.,Dec 08 output,,3.4585921141027356,20.35272857291298,11.905660343507858
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Hɛrɔd funɛ sou, Koosa malaika ti fun bur wa Josɛf wati a li Ijipt pulum ni.","Herod heard that the wise men had come from the east to Jerusalem, and he was disturbed.",onesimus_31223989_Dec 12 output,,5.516686809951126,24.184089519600825,14.850388164775975
"God gives such beauty to everything that grows in the fields, even though it is here today and thrown into a fire tomorrow. God will surely do even more for you! Why do you have such little faith?","Koosa la nyɛ kɔsa wa kilaarɛ. A wa bi a vusi ka limaŋ wa pisi, din yaa wa di a. O wati ma kaali kɔsa kinkan. O wa zi bu koti a nyɛ ma kilaarɛɛ? Ma se wa su un nɛnɛ.","The one who is not afraid of the night is a brave person. If someone is afraid of the night, they are not brave. He who is not afraid of the night is a brave person. Is there someone who is not afraid of the night? There is no one.",onesimus_31223989_Dec 12 output,,1.0155182501165065,16.735046706139112,8.87528247812781
"Jesus' disciples came to him and asked, “Why do you use stories to speak to the people?”","Doone o gantɛl tiŋsi ta fun wa pɛɛsi un, “I funɛ biksi nara, baŋnɛ i fun jɛɛgi jɛɛgɛ a nyɛ ba?”","He asked the woman, ""Have you ever seen a man like this before?""",onesimus_31223989_Dec 12 output,,2.8665548435542236,16.079778671805506,9.473166757679865
"I was hungry, but you did not give me anything to eat, and I was thirsty, but you did not give me anything to drink.","Lɔsa funɛ kpak min, ma wa fun nyɛ min diwe mu di. Nyɔksa funɛ kpak min, ma wa fun nyɛ min ni mu nyɔ.","Give me your hand, so that I may hold it in my hand. Give me your hand, so that I may hold it in my hand.",onesimus_31223989_Dec 12 output,,2.019385597421733,19.665124916868542,10.842255257145137
News about Jesus quickly spread all over Galilee. Jesus Heals Many People (Matthew,Lalaknɔ ba naa maga nyɛn Galili pulum ni fun nu chenani o tum. Yesu Fun Tiibi Nidamata (Mat.,Then Jesus went out from Galilee to the region of Judea beyond the Jordan.,onesimus_31223989_Dec 12 output,,3.4585921141027356,20.35272857291298,11.905660343507858
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Hɛrɔd funɛ sou, Koosa malaika ti fun bur wa Josɛf wati a li Ijipt pulum ni.","Herod heard that a king had been born in Bethlehem in Judea, and he was troubled.",john_AC86BE0F_output (5),,4.601288633065288,21.12755561499283,12.864422124029058
"God gives such beauty to everything that grows in the fields, even though it is here today and thrown into a fire tomorrow. God will surely do even more for you! Why do you have such little faith?","Koosa la nyɛ kɔsa wa kilaarɛ. A wa bi a vusi ka limaŋ wa pisi, din yaa wa di a. O wati ma kaali kɔsa kinkan. O wa zi bu koti a nyɛ ma kilaarɛɛ? Ma se wa su un nɛnɛ.","The one who is good is the one who is kind. If someone is kind to you, you should also be kind to them. You should always be kind to everyone. Are you going to be kind to me? Don't be mean.",john_AC86BE0F_output (5),,1.2790871709798768,19.422290572193994,10.350688871586936
"Jesus' disciples came to him and asked, “Why do you use stories to speak to the people?”","Doone o gantɛl tiŋsi ta fun wa pɛɛsi un, “I funɛ biksi nara, baŋnɛ i fun jɛɛgi jɛɛgɛ a nyɛ ba?”","Do you know the story of the one who was given a gift, and they said, “I have a gift for you, but it is not something you can see?”",john_AC86BE0F_output (5),,2.7794738724637273,20.034645337988675,11.407059605226202
"I was hungry, but you did not give me anything to eat, and I was thirsty, but you did not give me anything to drink.","Lɔsa funɛ kpak min, ma wa fun nyɛ min diwe mu di. Nyɔksa funɛ kpak min, ma wa fun nyɛ min ni mu nyɔ.","Give me a little bit of your time, so that I can tell you a story. Give me a little bit of your attention, so that I can tell you something new.",john_AC86BE0F_output (5),,1.7759256642433823,23.076334409711293,12.426130036977337
News about Jesus quickly spread all over Galilee. Jesus Heals Many People (Matthew,Lalaknɔ ba naa maga nyɛn Galili pulum ni fun nu chenani o tum. Yesu Fun Tiibi Nidamata (Mat.,Then Jesus went out from Galilee to the region of Judea beyond the Jordan.,john_AC86BE0F_output (5),,3.4585921141027356,20.35272857291298,11.905660343507858
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Hɛrɔd funɛ sou, Koosa malaika ti fun bur wa Josɛf wati a li Ijipt pulum ni.",,output_JA-4,,0.0,0.0,0.0
"God gives such beauty to everything that grows in the fields, even though it is here today and thrown into a fire tomorrow. God will surely do even more for you! Why do you have such little faith?","Koosa la nyɛ kɔsa wa kilaarɛ. A wa bi a vusi ka limaŋ wa pisi, din yaa wa di a. O wati ma kaali kɔsa kinkan. O wa zi bu koti a nyɛ ma kilaarɛɛ? Ma se wa su un nɛnɛ.",,output_JA-4,,0.0,0.0,0.0
"Jesus' disciples came to him and asked, “Why do you use stories to speak to the people?”","Doone o gantɛl tiŋsi ta fun wa pɛɛsi un, “I funɛ biksi nara, baŋnɛ i fun jɛɛgi jɛɛgɛ a nyɛ ba?”",,output_JA-4,,0.0,0.0,0.0
"I was hungry, but you did not give me anything to eat, and I was thirsty, but you did not give me anything to drink.","Lɔsa funɛ kpak min, ma wa fun nyɛ min diwe mu di. Nyɔksa funɛ kpak min, ma wa fun nyɛ min ni mu nyɔ.",,output_JA-4,,0.0,0.0,0.0
News about Jesus quickly spread all over Galilee. Jesus Heals Many People (Matthew,Lalaknɔ ba naa maga nyɛn Galili pulum ni fun nu chenani o tum. Yesu Fun Tiibi Nidamata (Mat.,,output_JA-4,,0.0,0.0,0.0
