ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",Dec 08 output,,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun sets and night falls, and the stars shine brightly in the sky, then the spirits of the dead will come out to dance, then the sound of the drums will beat loudly and the spirits will dance with their friends.",Dec 08 output,,1.1620776325474167,22.187237061362172,11.674657346954794
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Bɛlbwa waa wola o pen teŋe la ta n nɛra nɛɛ jae kpa, dɛkalkɛŋɔ o ta n fɔo la ta teŋɛ.”","The elephant and the rabbit went to the river to drink water, but the rabbit's foot slipped and fell into the water.",Dec 08 output,,2.0705706652424007,15.46219789846023,8.766384281851316
"But Laban told him, “If you really are my friend, stay on, and I'll pay whatever you ask. I'm sure the Lord has blessed me because of you.”","Gel n jemɛ kembɔr maa chɛ kɛ n kpɔ tɛɛ, ásɛ n nyin tɛɛ.”","The person who has not gone to the farm, let him not say that the farm is far.",Dec 08 output,,1.421723409803963,12.323022265924118,6.872372837864041
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","Hé berɛ ɡel ó jemɛ kɛŋɔ o bonɔɔ Jekɔb ɡe lɔ habɔɔ dɛɛ ba. Dɛ ń tɔ sie, dɛ́ kpɔ koŋkɛɛla nɔ ba tɛɛ, ásɛ mɔɔ o tel he be. Ásɛ dɛ he nao waa, he ken ɛɛ kpɔɔ kɛɔ.”","They said that Jacob's well was very deep. When the time came, they would roll a big stone to cover it, and then they would go home. When they came back, they would roll the stone away again.",Dec 08 output,,1.4798457061600891,26.963350665079645,14.221598185619866
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",onesimus_31223989_Dec 12 output,,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun sets and night falls, and the stars shine brightly in the sky, then the spirits of the dead will come out to dance, then the sound of the drums will beat loudly and the spirits will dance with their friends.",onesimus_31223989_Dec 12 output,,1.1620776325474167,22.187237061362172,11.674657346954794
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Bɛlbwa waa wola o pen teŋe la ta n nɛra nɛɛ jae kpa, dɛkalkɛŋɔ o ta n fɔo la ta teŋɛ.”","The elephant and the rabbit went to the river to drink water, but the rabbit's foot slipped and fell into the water.",onesimus_31223989_Dec 12 output,,2.0705706652424007,15.46219789846023,8.766384281851316
"But Laban told him, “If you really are my friend, stay on, and I'll pay whatever you ask. I'm sure the Lord has blessed me because of you.”","Gel n jemɛ kembɔr maa chɛ kɛ n kpɔ tɛɛ, ásɛ n nyin tɛɛ.”","The person who has not gone to the farm, let him not say that the farm is far.",onesimus_31223989_Dec 12 output,,1.421723409803963,12.323022265924118,6.872372837864041
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","Hé berɛ ɡel ó jemɛ kɛŋɔ o bonɔɔ Jekɔb ɡe lɔ habɔɔ dɛɛ ba. Dɛ ń tɔ sie, dɛ́ kpɔ koŋkɛɛla nɔ ba tɛɛ, ásɛ mɔɔ o tel he be. Ásɛ dɛ he nao waa, he ken ɛɛ kpɔɔ kɛɔ.”","They said that Jacob's well was very deep. When the time came, they would roll a big stone to cover it, and then they would go home. When they came back, they would roll the stone away again.",onesimus_31223989_Dec 12 output,,1.4798457061600891,26.963350665079645,14.221598185619866
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",john_AC86BE0F_output (5),,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun sets and night falls, and the stars shine brightly in the sky, then the spirits of the dead will come out to dance, then the spirits will sing and the living will join in and dance together with them.",john_AC86BE0F_output (5),,1.186050611017432,21.238064331975014,11.212057471496223
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Bɛlbwa waa wola o pen teŋe la ta n nɛra nɛɛ jae kpa, dɛkalkɛŋɔ o ta n fɔo la ta teŋɛ.”","The elephant and the rabbit went to the river to drink water, but the rabbit's foot slipped and fell into the water.",john_AC86BE0F_output (5),,2.0705706652424007,15.46219789846023,8.766384281851316
"But Laban told him, “If you really are my friend, stay on, and I'll pay whatever you ask. I'm sure the Lord has blessed me because of you.”","Gel n jemɛ kembɔr maa chɛ kɛ n kpɔ tɛɛ, ásɛ n nyin tɛɛ.”","The fool says the farm does not exist, yet he sees people carrying yams.",john_AC86BE0F_output (5),,1.0449207912640248,12.53457886689215,6.7897498290780876
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","Hé berɛ ɡel ó jemɛ kɛŋɔ o bonɔɔ Jekɔb ɡe lɔ habɔɔ dɛɛ ba. Dɛ ń tɔ sie, dɛ́ kpɔ koŋkɛɛla nɔ ba tɛɛ, ásɛ mɔɔ o tel he be. Ásɛ dɛ he nao waa, he ken ɛɛ kpɔɔ kɛɔ.”","They said that Jacob's well was very deep. When the time came, they would roll a big stone to cover it, and then they would go home. When they came back, they would roll the stone away again.",john_AC86BE0F_output (5),,1.4798457061600891,26.963350665079645,14.221598185619866
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",output_JA-4,,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun sets and night falls, and the stars shine brightly in the sky, then the spirits of the dead will come out to dance, then the sound of the drums will beat loudly and the spirits will dance with their friends.",output_JA-4,,1.1620776325474167,22.187237061362172,11.674657346954794
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Bɛlbwa waa wola o pen teŋe la ta n nɛra nɛɛ jae kpa, dɛkalkɛŋɔ o ta n fɔo la ta teŋɛ.”","The elephant and the rabbit went to the river to drink water, but the rabbit's foot slipped and fell into the water.",output_JA-4,,2.0705706652424007,15.46219789846023,8.766384281851316
"But Laban told him, “If you really are my friend, stay on, and I'll pay whatever you ask. I'm sure the Lord has blessed me because of you.”","Gel n jemɛ kembɔr maa chɛ kɛ n kpɔ tɛɛ, ásɛ n nyin tɛɛ.”","The person who has not gone to the farm, let him not say that the farm is far.",output_JA-4,,1.421723409803963,12.323022265924118,6.872372837864041
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","Hé berɛ ɡel ó jemɛ kɛŋɔ o bonɔɔ Jekɔb ɡe lɔ habɔɔ dɛɛ ba. Dɛ ń tɔ sie, dɛ́ kpɔ koŋkɛɛla nɔ ba tɛɛ, ásɛ mɔɔ o tel he be. Ásɛ dɛ he nao waa, he ken ɛɛ kpɔɔ kɛɔ.”","They said that Jacob's well was very deep. When the time came, they would roll a big stone to cover it, and then they would go home. When they came back, they would roll the stone away.",output_JA-4,,1.5155302454113846,26.79255852758556,14.154044386498471
Seven days from now I will send rain that will last for,"Le fini dɛɛ kaa o yawanyoa, n dɛ ba ɡela bwaala nɛ kohona, waa ɡel bwa tɔpera fifraanaarɛ, dɛ́ chɔɡ komɛlbwa maa tao.”","The end of the world is coming, I will take my calabash and go to the forest, the world will be destroyed by fire, the day of reckoning has arrived.",output-onesimus_004,0.3653186,2.4092489848483223,22.57951244063024,12.49438071273928
But you have promised that I would be a success and that someday it will be as hard to count my descendants as it is to count the grains of sand along the seashore.,"Henee ŋɔa ŋɔ hɛɛ ɡeloo he naanar warɛ kɛŋɔ, mpo nyoa hɛŋle nomɛlbwa aa wola won kur ba.”","The woman said that she would not go to the farm, but her husband forced her and she went with him.",output-onesimus_004,0.15661453,1.5295174704622967,17.936134719638005,9.73282609505015
"Then the Lord said, “I won't let my life-giving breath remain in anyone forever. No one will live for more than","Anee Korowii ŋɔ, “Maa ɡel n Doma waa dɛ tɛ mkpa la do nɛwɛnyini bini saŋ bɛlbwa dɛɛ la. Baa wonoo sewɛ. Taraken, nɛn aa biɡra kwaraa la, anee bene lafa fifraanɛ ɡbo, dɛ o sewɔ.”","The elder said, ""If you go to Doma's house, don't eat the palm nut that is beside the door. The dog is wicked. Yesterday, when I was going to the farm, I saw him eating the bone of a dead person, he is wicked.""",output-onesimus_004,0.36130536,1.6020708329488378,20.514528549938994,11.058299691443915
"Before Rachel left, she stole the household idols while Laban was out shearing his sheep.","Laban kaa o peera pona fona, asɛ Rakɛl ŋwɛ ba dem voɡa aa lɔ o mɛɛ be.",Laban said to Jacob's wife Rachel's father and others that they should not be angry with him.,output-onesimus_004,0.41508603,2.5540496664715904,23.261869871941947,12.90795976920677
"and in three days the king will cut off your head. He will hang your body on a pole, and birds will come and peck at it.","Tɔpetooro wee la, kooro ɛɛ teŋe he nyuu, dɛ́ kpɔe ka saɡɛ daa ta, ásɛ jumbii ba di he ola.”","The rabbit said, ""When the sun rises, I will go to the forest, and when I get there, I will eat as much as I can.""",output-onesimus_004,0.34125793,2.9561645124389617,18.019277202881295,10.487720857660129
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",onesimus_7C821E01_Dec 01 output,,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun sets and night falls, and the stars shine brightly in the sky, then the spirits of the dead will come out to dance, then the sound of the drums will beat loudly and the spirits will dance with their friends.",onesimus_7C821E01_Dec 01 output,,1.1620776325474167,22.187237061362172,11.674657346954794
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Bɛlbwa waa wola o pen teŋe la ta n nɛra nɛɛ jae kpa, dɛkalkɛŋɔ o ta n fɔo la ta teŋɛ.”","The elephant and the rabbit went to the river to drink water, but the rabbit's foot slipped and fell into the water.",onesimus_7C821E01_Dec 01 output,,2.0705706652424007,15.46219789846023,8.766384281851316
"But Laban told him, “If you really are my friend, stay on, and I'll pay whatever you ask. I'm sure the Lord has blessed me because of you.”","Gel n jemɛ kembɔr maa chɛ kɛ n kpɔ tɛɛ, ásɛ n nyin tɛɛ.”","The person who has not gone to the farm, let him not say that the farm is far.",onesimus_7C821E01_Dec 01 output,,1.421723409803963,12.323022265924118,6.872372837864041
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","Hé berɛ ɡel ó jemɛ kɛŋɔ o bonɔɔ Jekɔb ɡe lɔ habɔɔ dɛɛ ba. Dɛ ń tɔ sie, dɛ́ kpɔ koŋkɛɛla nɔ ba tɛɛ, ásɛ mɔɔ o tel he be. Ásɛ dɛ he nao waa, he ken ɛɛ kpɔɔ kɛɔ.”","They said that Jacob's well was very deep. When the time came, they would roll a big stone to cover it, and then they would go home. When they came back, they would roll the stone away again.",onesimus_7C821E01_Dec 01 output,,1.4798457061600891,26.963350665079645,14.221598185619866
"But the Lord was pleased with Noah,",Kɛ Korowii sie lɛ Nowa te nɛ. Nowa wa,The Korowii people live in Nowa village. Nowa is,output_jonathan,0.08977394,0.0,13.515188008754983,6.757594004377491
Every grown man followed this advice and got circumcised. Dinah's Brothers Take Revenge,"Bwɛɛ la tena bwa sɛh waa Hamɔ ne o bie Sɛkem aa bola la ta, asɛ ba teŋni bwɛɛ la baala bwa pena.","The man and his wife Hamo and his child Sekem went to the farm, but they didn't meet the man and his wife there.",output_jonathan,0.17869818,1.9011755113058346,16.805247381452578,9.353211446379206
Arpachshad had more children and died at the age of,"A habɔɔ la, o berɔ so bene lafraanaarɛ dɛ atoro, dɛ lolɛ bibaala ne haahna bane ɡe.","The man said, he will go to the forest to hunt monkeys, to look for food and meat to eat.",output_jonathan,0.107338935,1.958224832501124,17.316113833261525,9.637169332881324
"The two servant women, Zilpah and Bilhah, together with their children went first, followed by Leah and her children, then by Rachel and Joseph.","O ɡelɔ o toli la lawɛ ba bii tɔ sie mɔɔ Lea ne o bii teŋɛ, asɛ Rakɛl ne Josef ka mun ta.","The angel said to me in a dream, ""Jacob, Jacob."" And I said, ""Here I am."" And he said, ""Look, and see that all the he-goats which leap on the flock are striped, speckled, and mottled, for I have seen all that Laban is doing to you. I am the God of Bethel, where you anointed a pillar, where you made a vow to Me. Now arise, get out of this land, and return to the land of your family.""",output_jonathan,0.21645756,0.6033592028826271,21.603573749005996,11.10346647594431
Let's get our father drunk! Then we can sleep with him and have children.”,"Anomanta, ɡel ya tɛ n mɛɛ sen o nyɔ dɛɛ, ásɛ ya ne o chɔ dɛ́ lolɛ bii ya mun bɛ he.","Anomanta, the person who is not a good person, his actions are not good, but he is better than a person who is not there.",output_jonathan,0.058763094,1.286713095960916,16.96119285439445,9.123952975177684
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",output_JA-2,,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun rises high, the heat of the day will be intense, so that the sweat will flow from his body, so that he will look for shade to rest his body and cool his hot head.",output_JA-2,,0.9451258377819046,18.67820570559593,9.811665771688917
Any man who isn't circumcised hasn't kept his part of the promise and cannot be one of my people.,"Bɛlbwa waa wola o pen teŋe la ta n nɛra nɛɛ jae kpa, dɛkalkɛŋɔ o ta n fɔo la ta teŋɛ.”","The elephant and the rabbit went to the river to drink water, but the rabbit's foot slipped and fell into the river.",output_JA-2,,2.0705706652424007,15.46219789846023,8.766384281851316
"But Laban told him, “If you really are my friend, stay on, and I'll pay whatever you ask. I'm sure the Lord has blessed me because of you.”","Gel n jemɛ kembɔr maa chɛ kɛ n kpɔ tɛɛ, ásɛ n nyin tɛɛ.”",The person who has not traveled thinks that only his mother cooks well.,output_JA-2,,0.8093390349220582,11.87209650664433,6.340717770783193
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","Hé berɛ ɡel ó jemɛ kɛŋɔ o bonɔɔ Jekɔb ɡe lɔ habɔɔ dɛɛ ba. Dɛ ń tɔ sie, dɛ́ kpɔ koŋkɛɛla nɔ ba tɛɛ, ásɛ mɔɔ o tel he be. Ásɛ dɛ he nao waa, he ken ɛɛ kpɔɔ kɛɔ.”","They said that Jacob's well was there and Jesus, tired from the journey, sat down there by the well. It was about the sixth hour. A woman of Samaria came to draw water. Jesus said to her, ""Give me a drink.""",output_JA-2,,1.2263126502610222,24.864808799546402,13.045560724903712
So God created humans to be like himself; he made men and women.,"Anomanta, o ta nɛwɛnyina, ɡɛ tenten waa doa laanee o ta ba. Baa ne haahnee o ta.","Anomanta, or the spider, has built a very big house and is living inside. His grandmother is visiting him.",gerhardt_8019BE0D_output_WsImHC,,1.958224832501124,15.858254505899072,8.908239669200098
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Anomanta, Nowa, ka nyin daa waa kpeɡa, dɛ́ kwaa dakajen waa won nee sie vala kɛŋɔ ɡbera, ásɛ dɛ bɔne o bini kɛŋɔ deene, ásɛ dɛ kpɔ kootal maa o bini ne o habɔɔ bwa.","Anomanta, Nowa, when the sun sets and night falls, and the stars shine brightly in the sky, then the spirits of the dead will come out to dance, then the sound of the drums will beat loudly and the spirits will dance with their friends.",gerhardt_8019BE0D_output_WsImHC,,1.1620776325474167,22.187237061362172,11.674657346954794
