ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","le ki ŋa tinyoor ŋa bi pu, le ki bui ke, “Maa, ki pɔr, aan ki gbiin kitiŋ kee pu, ki li lik kitiŋ ngbaan. Li kpa mpɔɔn ijan, ni inyoon, ni tiwan nimɔk fu ki baar kitiŋ pu na.”","When they had finished doing that work, they said, ""Mother, we are tired, we have worked a lot on this work, we have done it well. We have got a lot of food, meat and many other things from this our work.""",Dec 08 output,,3.6071422576736287,24.051681890158548,13.829412073916089
"But I solemnly promise that you, your wife, your sons, and your daughters-in-law will be kept safe in the boat.","Tɔ, m ga puu tipuur tii si. Aa ni aapuu, ni saabim, ni bipuutiib koo buŋɔb ngbaan ni.","Okay, we will also farm the land. There are yams, and guinea corn, and other food crops that we farm together.",Dec 08 output,,4.085892079136997,18.300704407691665,11.19329824341433
"I'll have some water brought, so you can wash your feet, then you can rest under a tree.","Cha m ban ni nnyun nan tii nimi, aan ni finn nitaa man; kal busub bue taab, ki fuur man.","When I was still young, I used to help my father; we used to farm and sell to get money.",Dec 08 output,,1.958224832501124,17.31164683204966,9.634935832275392
"and he told them: Your father isn't as friendly with me as he used to be, but the God my ancestors worshiped has been on my side.","Baah fuu ni na le u bui bi ke, “M bee ke nite aa ki gee maabɔr ke waah nan gee mi njan pu na; tɔ, nte Aawumbɔr bi m chee.","This is what the people said, “I will go and tell the people of the land so that they may know; thus, Aawumbɔr will know me.""",Dec 08 output,,1.793443763338368,17.644192282348047,9.718818022843207
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","See ni mɔmɔk bui u ke, ‘Een, saanaagbiija Jakob le bi kɔnkɔni do ki choo na.’” Jakob nan dakl ke, “Nibaakan Esɔ yaa kan ipiin ngbaan kan, u ga li gee mi, aan ti yaa kan tɔb kan, u ga di cha pinn mi.”","This is what the people said, ‘Yes, the Saanaagbiija Jakob and his Konkomba people are coming to settle here.’ Jakob had said, “If the Esɔ people had given me a goat to eat, he would have given me a fowl to eat too, and if they had given me a fowl to eat, he would have given me a guinea fowl to eat too.”",Dec 08 output,,0.8882123788136781,23.04531684744104,11.966764613127358
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","le ki ŋa tinyoor ŋa bi pu, le ki bui ke, “Maa, ki pɔr, aan ki gbiin kitiŋ kee pu, ki li lik kitiŋ ngbaan. Li kpa mpɔɔn ijan, ni inyoon, ni tiwan nimɔk fu ki baar kitiŋ pu na.”","When they had finished doing that work, they said, ""Mother, we are tired, we have done a lot of work, we have dug a very big hole. The hole has reached the other side, both the rainy season and the dry season, and many animals have fallen into the hole like that.""",onesimus_31223989_Dec 12 output,,3.4813805015146597,28.165109516027275,15.823245008770968
"But I solemnly promise that you, your wife, your sons, and your daughters-in-law will be kept safe in the boat.","Tɔ, m ga puu tipuur tii si. Aa ni aapuu, ni saabim, ni bipuutiib koo buŋɔb ngbaan ni.","Okay, we will also farm the land. We will farm groundnuts, maize and cassava together with our fellow Konkomba.",onesimus_31223989_Dec 12 output,,2.4675189606362395,18.88538155360136,10.6764502571188
"I'll have some water brought, so you can wash your feet, then you can rest under a tree.","Cha m ban ni nnyun nan tii nimi, aan ni finn nitaa man; kal busub bue taab, ki fuur man.","When we were still young, our fathers used to farm; there was no hoe, we used to till the land with our hands.",onesimus_31223989_Dec 12 output,,1.826472886268134,22.331307060159507,12.07888997321382
"and he told them: Your father isn't as friendly with me as he used to be, but the God my ancestors worshiped has been on my side.","Baah fuu ni na le u bui bi ke, “M bee ke nite aa ki gee maabɔr ke waah nan gee mi njan pu na; tɔ, nte Aawumbɔr bi m chee.","This is why they say, “I will go and perform the rituals so that the divinity may remove the prohibition that is on the land; then, the Divinity will give us children.",onesimus_31223989_Dec 12 output,,1.533227700920213,21.082662924969682,11.307945312944948
"And Jacob told them to be sure to say that he was right behind them. Jacob hoped the gifts would make Esau friendly, so Esau would be glad to see him when they met.","See ni mɔmɔk bui u ke, ‘Een, saanaagbiija Jakob le bi kɔnkɔni do ki choo na.’” Jakob nan dakl ke, “Nibaakan Esɔ yaa kan ipiin ngbaan kan, u ga li gee mi, aan ti yaa kan tɔb kan, u ga di cha pinn mi.”","This is what the people said, ‘Yes, the Saanaagbiija Jakob and his Konkomba people are coming to settle here.’ Jakob said that if Esau comes and meets him and kills him, he will die completely, but if he goes and meets him peacefully, he will live happily.",onesimus_31223989_Dec 12 output,,1.1448714311538606,22.43870486690583,11.791788149029845
