ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
So God created humans to be like himself; he made men and women.,"Na Nyankopɔn bɔɔ nyimpa wɔ nankasa no su do, Nyew, Nyankopɔn no su do na ɔbɔɔ nyimpa; ɔbɔɔ hɔn ɔbanyin nye ɔbaa.","So God has given us abundant blessings that we receive; truly, God gives to us so that they may bless us—they say priests give to queens.",Dec 08 output,,3.235912122544166,17.851395220825935,10.54365367168505
"He was sorry that he had made them,","EWURADZE nuu noho dɛ ɔyɛɛ nyimpa wɔ asaase do, na ɔyɛɛ no yaw wɔ n’akoma mu.","Ewuradze, we say because they see the sky above the earth, and what is seen comes to enter the heart.",Dec 08 output,,1.6466642419110007,19.216281073308732,10.431472657609866
I will keep my solemn promise to you and give you more descendants than can be counted.”,"Na mebɛma m’ahyɛmu ada emi nye ɔwo ntamu, na mebɛma adɔr mbordo.","And they say they give me to take my much money, and they say I ride a car.",Dec 08 output,,2.996515740268937,16.47728411046582,9.736899925367378
"“I'm really lucky,” Leah said, and she named the boy Gad.","Na Leah see dɛ, Siar aba, na ɔfrɛɛ ne dzin Gad a asekyerɛ nye, Yiedzi.","And Leah saw, Siar is here, and they ask to give prayers and God's words, Yes",Dec 08 output,,4.814971807094068,22.428624764625226,13.621798285859647
"When Jacob saw them, he said, “This is God's camp.” So he named the place Mahanaim.","Na Jakob hun hɔn no ɔsee dɛ, Nyankopɔn no dɔm nye yi: na ɔfrɛɛ bea no ne dzin Mahanaim.","Now Jacob's name was Israel; God said he would give this, and his two wives were dwelling at Mahanaim.",Dec 08 output,,4.34373789135831,27.61254575528524,15.978141823321774
So God created humans to be like himself; he made men and women.,"Na Nyankopɔn bɔɔ nyimpa wɔ nankasa no su do, Nyew, Nyankopɔn no su do na ɔbɔɔ nyimpa; ɔbɔɔ hɔn ɔbanyin nye ɔbaa.","So God sent messengers to this world to act; truly, God commanded these messengers—these are called prophets and rulers.",onesimus_31223989_Dec 12 output,,4.546308713404575,22.82243143257298,13.684370072988777
"He was sorry that he had made them,","EWURADZE nuu noho dɛ ɔyɛɛ nyimpa wɔ asaase do, na ɔyɛɛ no yaw wɔ n’akoma mu.","Ewuradze, we say because they see the stars upon the earth below, and they shine in our hearts.",onesimus_31223989_Dec 12 output,,1.8160849415439309,15.984509630069885,8.900297285806907
I will keep my solemn promise to you and give you more descendants than can be counted.”,"Na mebɛma m’ahyɛmu ada emi nye ɔwo ntamu, na mebɛma adɔr mbordo.","And they tell me to take my much money, and they tell me to buy a car.",onesimus_31223989_Dec 12 output,,2.8629993657668873,14.441521967127805,8.652260666447347
"“I'm really lucky,” Leah said, and she named the boy Gad.","Na Leah see dɛ, Siar aba, na ɔfrɛɛ ne dzin Gad a asekyerɛ nye, Yiedzi.","And Leah sees, Father Siar, and they ask that the prayers and words of Gad be granted, Yiedzi.",onesimus_31223989_Dec 12 output,,4.724932626401583,20.743184180059732,12.734058403230657
"When Jacob saw them, he said, “This is God's camp.” So he named the place Mahanaim.","Na Jakob hun hɔn no ɔsee dɛ, Nyankopɔn no dɔm nye yi: na ɔfrɛɛ bea no ne dzin Mahanaim.","And when Jacob saw that place, God said this: and he called that place Mahanaim.",onesimus_31223989_Dec 12 output,,9.570392090740222,44.39364584995733,26.982018970348776
So God created humans to be like himself; he made men and women.,"Na Nyankopɔn bɔɔ nyimpa wɔ nankasa no su do, Nyew, Nyankopɔn no su do na ɔbɔɔ nyimpa; ɔbɔɔ hɔn ɔbanyin nye ɔbaa.","And God gave mankind a gift so that they might see; indeed, God let them see the gifts meant for men and women.",john_AC86BE0F_output (5),,10.008350737965104,31.60429279097962,20.80632176447236
"He was sorry that he had made them,","EWURADZE nuu noho dɛ ɔyɛɛ nyimpa wɔ asaase do, na ɔyɛɛ no yaw wɔ n’akoma mu.","Queen, we say because they see rain on the earth, and what is seen enters the heart.",john_AC86BE0F_output (5),,1.9146030690102511,19.33590356255307,10.625253315781661
I will keep my solemn promise to you and give you more descendants than can be counted.”,"Na mebɛma m’ahyɛmu ada emi nye ɔwo ntamu, na mebɛma adɔr mbordo.","And I say that I give you my much money to take, and I say that I travel by vehicle.",john_AC86BE0F_output (5),,4.724932626401583,19.8697695487464,12.297351087573992
"“I'm really lucky,” Leah said, and she named the boy Gad.","Na Leah see dɛ, Siar aba, na ɔfrɛɛ ne dzin Gad a asekyerɛ nye, Yiedzi.","Leah saw, the child is crying, and they are asking that the prayer and the word of Gad be granted, thus.",john_AC86BE0F_output (5),,4.1202784939919095,23.367891075828883,13.744084784910395
"When Jacob saw them, he said, “This is God's camp.” So he named the place Mahanaim.","Na Jakob hun hɔn no ɔsee dɛ, Nyankopɔn no dɔm nye yi: na ɔfrɛɛ bea no ne dzin Mahanaim.","Now Jacob, whose name God had called, God gave this blessing: and the land that he named Mahanaim was his dwelling place.",john_AC86BE0F_output (5),,4.207993129078362,33.05543719421887,18.631715161648614
