ref,text,translated,source_zip_file,similarity_score,bleu_score,chrf_score,avg_score
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.",Chief Bulu has died in the town. And he has gone to his father's house. Alas!,Dec 08 output,,2.0244462660665508,13.016033142955399,7.520239704510975
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","[The child went to the town, then he arrived at his uncle's house",Dec 08 output,,1.5540456119337736,15.392961445723289,8.473503528828532
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,We did agyata for him. We also did akpokpo with bʋbʋ and nsiebi for him.,Dec 08 output,,2.2869567780619007,12.039819015427582,7.163387896744742
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","Go home. Lalahɛbwɛ, my mother is calling. My child, go to Wie Bulu, take the path to the river, and cross over to the other side.",Dec 08 output,,1.5883027492953543,16.194734589293798,8.891518669294577
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","There was a great fire. The chief spoke, saying, ""Go to the river for water to extinguish it.""",Dec 08 output,,2.0705706652424007,13.91841280158041,7.9944917334114045
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, her child is eating food. He is eating with his hands. There.",onesimus_31223989_Dec 12 output,,2.1476912089159055,12.378081338879397,7.262886273897651
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","Tamɛ went with Ansɩtɔ, and when they arrived at ɩwɩɔsɩn, they met Awunpʋ Wun. They spoke to Bregyibrɛ. Then Apɔnpʋ and Bʋtɔpʋ went back, and they also told Awumbi Bʋalɛ about Bregyibrɛ.",onesimus_31223989_Dec 12 output,,3.152612155448425,21.046464000775163,12.099538078111795
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,And we went to farm our land there. We took our chickens and kept them in our barn there.,onesimus_31223989_Dec 12 output,,1.8160849415439309,15.534377811601985,8.675231376572958
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","Run to the water. My God, come here. He went to Wie Bulu there, and the people told him to go to the town.",onesimus_31223989_Dec 12 output,,1.9240848598265397,13.438963780924201,7.68152432037537
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","Three people have come. Ofunupʋ, he brought them food to eat.",onesimus_31223989_Dec 12 output,,3.1443446386286733,10.34231283062558,6.743328734627127
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.",Chief Bulu called the assembly here. He then sent him to ask about him. Yes.,john_AC86BE0F_output (5),,2.1476912089159055,14.643687076629874,8.39568914277289
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.",Tamɛ went to the house and found the child there. He prepared his money. They went to the farm and took the yam to the market.,john_AC86BE0F_output (5),,2.01381482546679,20.937584426471645,11.475699625969217
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,And we went to Agyata's house. We found the big key in Nsiebi's house.,john_AC86BE0F_output (5),,2.908317710573757,13.89425773423008,8.40128772240192
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","Carry the child. The mother took him and ran. He went to Wie Bulu village, and Ansikyi entered the house during the day.",john_AC86BE0F_output (5),,2.0752738657056446,17.769020679523827,9.922147272614735
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","The child is sleeping soundly. The mother is watching, she will bathe the child when he wakes up.",john_AC86BE0F_output (5),,2.159701133933343,14.035445087707185,8.097573110820264
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, he is in the village. He has gone there. Yes.",output_JA-4,,2.445593937240363,10.617961892528367,6.531777914884365
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.",The chief Togbi Atogble works every day for the development of Awunpawu. Futekplea Fobua is my father and the head of the community. The elders of the town and the youth also work together for the development of the community.,output_JA-4,,2.772484415906604,22.65195519495356,12.712219805430081
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I went to work there. I took money and bought something there.,output_JA-4,,2.4617934274488045,14.841292142923724,8.651542785186264
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.",Run to the village. Lalahɛbwɛ is coming. He and Wie Bulu with the people are afraid to go there then.,output_JA-4,,2.0749278485695855,14.280150768377405,8.177539308473495
