ref,text,translated,source_zip_file
"But the Holy Spirit will come upon you and give you power. Then you will tell everyone about me in Jerusalem, in all Judea, in Samaria, and everywhere in the world.”","Onupɛ Ɔfɔfuĩa gbangbã ɔba wɔnɔ abhaa, nɔbɔ yɛkɛ ohumi, kɛlɛ nobo dzi banɔ gɛ nɔbɔ mɔ ebui alɛ ɔɖɔ nɛ mɛishu nɛ Yerusalem nɛ̀ Yudea petee ɔvɛnɔ Samaria ɔdɛtɔ̃ kanɔ nɔ̀ ɔtɔ̃kɔ.”","But you will receive power when the Holy Spirit comes upon you, and you will be my witnesses in Jerusalem and in all Judea and Samaria and to the ends of the earth.",output_proprietary
"And when they heard this noise, a crowd gathered. But they were surprised, because they were hearing everything in their own languages.","Gɛ belũ ozĩ ɔlɛɛ, banɔɛza gbagbla tili bashogò kɛlɛ kɛbhɛtɛ balɛibi, ɔmɔsɛ anɔ nyia anɔ elũ ebuiɛ gɛ baɖɔɔ nɛ yɛulũhũ mɛ.","When someone dies, they wrap the corpse in cloth and bury it, but now people put them in coffins before they bury them in the ground.",output_proprietary
Then why do we hear them speaking our very own languages?,Kɛlɛ kɛzã pɛ bɔlɔ ɔmayɛmɛ aka nyia aka elũ ebuiɛ mɛ nɛ yɛulũhũɔ mɛ̀ dza?,What should a person do if they see someone who has fallen into a pit or well?,output_proprietary
"Others made fun of the Lord's followers and said, “They are drunk.” Peter Speaks to the Crowd","Beteli xɔnɔ aaɖɔ amɔɛbui nɛ balɛishu kɛlɛ baɖɔ asɛ, “Bunu bawɔ̃ɛ ebuku. Petro Aɖɔ Kaɖɔ Akɔ Banɔɛza","Bethel's people had told the disciples that they should say, ""Greet our brothers. Peter And Also All The Believers""",output_proprietary
"You are wrong to think that these people are drunk. After all, it is only nine o'clock in the morning.","Gɛnɛ bunu banɔ alɛ adɔ asɛ gɛ noɖiɛ, kɛvɔlɔ ɛɖa tizhita nɛlɛ ko gɛta.","When a child is born into the world, it is not known what he will become.",output_proprietary
"The Lord won't leave me in the grave. I am his holy one, and he won't let my body decay.",ɔmɔsɛ ɔtɛbɔ shɛnɛ ahɔɛ nɛ mɛishu ɔkɔ butsi alo pɛ ɔbɔkɔ ɔsɛ wɔ ayɛ gɛ yɛishu dalɛ atsɔmɔ ezĩ.,A person who has a wound and refuses to go to the hospital or does not want to treat it will suffer greatly.,output_proprietary
"My friends, it is right for me to speak to you about our ancestor David. He died and was buried, and his tomb is still here.","“Mɛadzya alɛ mɔ, ɛpɛ sɛ tɛ mɛdalɛ mɛishumɛ ɔkɔ wɔnɔ tɛ̀ noti ɔsɛ ashuĩ David etsí, kɛlɛ bavɔbɔɛ, kɛlɛ yɛodzeɖe ɔlɛ ɛkɛlɛ̀ ɔmana oboɔ.","When we have done this, it is necessary that we give our children the name that was given to David's son, which is Solomon, which means the one who brings peace.",output_proprietary
"and he jumped up and started walking. He went with Peter and John into the temple, walking and jumping and praising God.","Etso epoele nɛ yɛtsɛɖɛ nabha kɛlɛ akpàa gã. Kɛlɛ atɔnɔ alɛ avɛ Owusoso Akaavũɔ shu pɛ aagã, pɛ etsopoele pɛ akpɛ Owusoso Akaa nɛinyè nɛitití.",The world was in darkness and people were living in great difficulty. So the elders decided to send Owusoso Akaavũɔ to go and bring the world so that Owusoso Akaa could give them light.,output_proprietary
"My friends, I am sure you and your leaders didn't know what you were doing.","“Mɛadzya alɛ mɔ, inyi ɔsɛ wɔnɔ nɛ̀ bagɛ baagbanà wɔnɔɔ otinyi flogo pɛ nɔbhɛtɛ.","After they had eaten, they saw that the children who had been playing outside were tired.",output_proprietary
"But God had his prophets tell that his Messiah would suffer, and now he has kept this promise.","Pɔ, kana Owusoso Akaa abhɛtɛ kɛgɛ aɖɔ elúɔ ɔgana yɛebuiɖɔluanɔ nabha gɛ aɖɔ asɛ, yɛ Kristoɔ abamɔ bɔtɔ.","So, when the Most High God sent his son into the world to save us from our sins, he came as Christ.",output_proprietary
"God sent his chosen Son to you first, because God wanted to bless you and make each one of you turn away from your sins.","Kliso gɛ Owusoso Akaa efeke yɛ yɛaxɔ̃ɛdɛ, akɔ yɛebhoso aba wɔnɔ ɔkɔ tɛ ebeyulà akɔ wɔnɔ ɔganà wɔnɔ ɔmayɛmɛ aka nyia aka titsyitsyina edenɔ yɛ kɛtakpu mɛ gagalĩ edzo nabha.”","The Bible says that God created us to live forever, and he promised that there will come a time when there will be no more death or sorrow or crying or pain in his kingdom.",output_proprietary
"The next morning the leaders, the elders, and the teachers of the Law of Moses met in Jerusalem.","Gɛ keli azaa, bekusiɛ, besheshèɛ nɛ̀ ɔshadɔkasɛ, badɛtsyɔa nɛ Yerusalem.","And the apostles, the elders, and the whole church decided to send them to Jerusalem.",output_proprietary
"The high priest Annas was there, as well as Caiaphas, John, Alexander, and other members of the high priest's family.","Hana gɛedzi banɔlũazazã gbagbla tsyɛ azã ɛkɛlɛ, kana Kayafa, Yohanes nɛ̀ Aleksandro, nɛ̀ banɔ gɔgɔ̃ɔ gɛede banɔlũazazã gbagbla yɛɔpã mɛ azã ɛkɛlɛ.","including Annas the high priest, and Caiaphas, John and Alexander, and all who were of the high priest's family.",output_proprietary
