ref,text,translated,similarity_score,source_zip_file
So be on your guard! You don't know when your Lord will come.,"“Kɛlɛ so nɛ nɔ za nɛ awɔ̃, alasɛ no ti nyi kiwi nɔɔ nɛ gɛ klɛa bha wɔnɔ Apalete nɛ aba ba.","They said that if you want to go, you should go, but if you refuse, you will not get anything from Apalete and his father.",0.2640915,output_jonathan
"Later, Jesus and his disciples were having dinner at Levi's house. Many tax collectors and other sinners had become followers of Jesus, and they were also guests at the dinner.","Nɛ Lewi bupa nɛ mɛ, Yesu aaŋa owulagoe dɔ, badɔdzyɔ gelee anɛ “bezizi ” ba zaa ŋaɛ dɔ nɛ yɛ anɛ yɛ badɔkpasɛ, alasɛ banɔ gelee ba za yɛe de.","And Levi was saying to them, Jesus has come to call sinners, not the righteous, and they were all eating and drinking with him, and the Pharisees were complaining, saying that he eats and drinks with sinners.",0.7046851,output_jonathan
"Jesus got up and ordered the wind and the waves to be quiet. The wind stopped, and everything was calm.","Evua lɔ, akpɛ ozi nɛ kɛlɛɛ nia bha sɛ, “Kɔlenu! Dɔ sɛɛ̃!” Klɛ kɛlɛɛ nɛ yulɔ fu, klɛ ɔklɛ ɔdɔ sɛɛ̃.","They said, ""Let's go and see if we can find something to eat,"" and they went. When they got there, they found something to eat.",0.28896454,output_jonathan
"Those who were wise answered, “There's not enough oil for all of us! Go and buy some for yourselves.”","Bubite nyinyibui nɛ asɛ, “ ‘Ao,’ ‘bulɔ bubɔ nɛ dɛ kpe kɔɔ lɔ pɛ bu zɛ ba na wɔnɔ tsyɛ. No tsodzi ɔvɛ, agɛ aadɛ nɛ ɔkɔ tɛ no do bu tuli ɔkɔ shu.’","They said to him, “No,” “you will not go to the farm today because the rain is falling heavily. We cannot go, it is not good to go to the farm when it is raining.”",0.24136806,output_jonathan
He even had to tell his disciples to get a boat ready to keep him from being crushed by the crowds.,"Banɔɛza nɛ so, etsre yɛ badɔkpasɛ nɛ asɛ ba pɛ keniabha opupu bhli toli akɔ yɛ gɛ ebe ti tsoku ɔlɛ mɛ sɛ tɛ banɔ nɛ beti fuekumu yɛ.","The chief and his people, they are not good friends, they are not on good terms, they don't get along, they don't see eye to eye, they don't have a good relationship.",0.14104165,output_jonathan
Some Pharisees and several teachers of the Law of Moses from Jerusalem came and gathered around Jesus.,Farisianɛ anɛ ɛshãdɔkasɛ teli gɛ be de Yerusalɛm nɛ be xogo nɛ Yesu ɔbha klɛ,And they went to Jerusalem and they went to the house of Jesus Christ,0.5948242,output_onesimus007
John's followers took his body and buried it. Then they told Jesus what had happened. Jesus Feeds Five Thousand (Mark,Yohanɛsɛ badɔkpasɛ na ba yɛkɔ yɛ etsitsi nɛ ada vubɔ. Ɔkɛlɛ ba shɛ avɛ ede tsre Yesu. Yesu Anyunɔ Banɔ Akpã Teti,John the Baptist was preaching in the wilderness and baptizing in the name of God. He was telling the people to repent and believe in Jesus. Jesus Christ the Son of God,0.57823503,output_onesimus007
"Everyone was completely surprised and kept saying to each other, “What is this? It must be some new kind of powerful teaching! Even the evil spirits obey him.”","Yesu tɛbhɛbhɛtɛ nɛ bhɛtɛ banɔ nɛ kibi klɛ bee bisi aglɔ asɛ, “Kide lɔɔ mɔa? Kɛdɔ kɛkasɛ vuvɔ, klɛ nɛ kabhaŋɛŋa tysɛ ana! Klɛ ɛfufɔɛkpã tsyɛ ta yɛ atɔ.”","Jesus said to him, “What do you want me to do for you?” The blind man said, “Lord, I want to see.” Then Jesus said, “Go, your faith has healed you.”",0.40681696,output_onesimus007
"When Jesus came to Jerusalem, everyone in the city was excited and asked, “Who can this be?”","Gɛ Yesu etsoku Yerusalɛm, ɔmagbla nɛ petee oshuku klɛ le bisi asɛ, “Ane naa?”","When Jesus entered Jerusalem, the people shouted and spread their cloaks on the road, saying, “Hosanna!”",0.659225,output_onesimus007
"But once it is planted, it grows larger than any garden plant. It even puts out branches that are big enough for birds to nest in its shade. The Reason for Teaching with Stories (Matthew","Flogo pɛ eeshe edzi osi nɛ ɛshɛgbla dɛ nɛ buka nɛ mɛ, gɛ buzhuɔɛ bu baa dɔ nɛ ɔlɛ mɛ.”","They said that if you want to go to the farm, you should take a cutlass and a basket, but if you want to go to the bush, you should take a gun.",0.20349506,output_onesimus007
