ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
Now listen carefully and do what I say. Go to the home of my brother Laban in Haran,"Amoso, m pibi, nu nfe nseŋ wora kusɔ nɛ mee sha kekaŋɛ fo ere. Lar nfe manaŋ n shile n yɔ n siponyɛn Leeban kutɔ ashi Haran.","Amoso, my child, do not be afraid because I will be with you always.  The Lord will be with you wherever you go.",0.3119424,output_mich001,1.962672844874697,16.107258530728945,9.03496568780182
"When the man saw that he could not win, he struck Jacob on the hip and threw it out of joint.",Kanyɛn na ka wu fanɛ e maa tiŋ a pɔɔ Jeekɔb so nɛ e beta Jeekɔb be kebembi nɛ mbe keleŋ kpekpel.,"Then Jacob went out and took his stand against the man, and they wrestled together until daybreak.",0.5168297,output_mich001,4.486656731646915,27.528106245372047,16.00738148850948
"the Hittites, the Perizzites, the Rephaites,",nɛ Hitebi nɛ Pɛrizebi nɛ Refayebi,The Hittites and the Perizzites and the Rephaites,0.9578934,output_mich001,14.575161396875705,73.64373736914439,44.109449383010045
"All of Jacob's children came to comfort him, but he refused to be comforted. “No,” he said, “I will go to my grave, mourning for my son.” So Jacob kept on grieving.","Mbe bibinyɛn nɛ bibiche kikɛ daŋ wushi mo kagbene ŋ gben nɛ e yɛ: “Ayai, m maaŋ tiŋ n yige. Ma nɛ kushu ere e naaŋ yɔ ma nchaŋ to, kakpa nɛ ma kebia na wɔ na.” Kashenteŋto, e daŋ shu ga ŋkpal Josɛf so.",Then they brought him to the house of Joseph.,0.39120582,output_mich001,0.2673310944114793,7.945260081800115,4.106295588105797
Three days later Laban found out that Jacob had gone.,Jeekɔb ka shile na be kachɛ sasopo pɔɛŋ nɛ Leeban nu fanɛ e shile.,Jacob also went to live in the land of Canaan with his sons.,0.43210125,output_mich001,3.377156414337854,18.86253731566913,11.119846865003492
"Jacob got up in the middle of the night and took his wives, his eleven children, and everything he owned across to the other side of the Jabbok River for safety.",E ka ta bumo n dii eboŋ na n loge nɛ e ta mbe kanya malɛ kikɛ n dii.,"If you want to eat, you must first prepare the food and then you will be able to eat.",0.06823216,output-onesimus_003,1.4622771495305926,12.878544639927492,7.170410894729042
"and now I own cattle, donkeys, and sheep, as well as many slaves. Master, I am sending these messengers in the hope that you will be kind to me.”","Ŋ kɔ ana nɛ ekurma nɛ mbolpɔ nɛ mboe, benyanyɛn nɛ benyache a ba nsaa kule fo n nyɛnpe fanɛ fo wu ma kuwɔr.’ ”","If you want to eat, eat the food that is cooked, and if you want to drink, drink the water that is clear. Do not eat the food that is not cooked, and do not drink the water that is dirty.",0.0777284,output-onesimus_003,2.4330027219003543,18.916178452615135,10.674590587257745
"Abraham answered: I did it because I didn't think any of you respected God, and I was sure that someone would kill me to get my wife.","Ndoŋ nna nɛ Eebraham kaŋɛ: “N daŋ fɛ nna fanɛ esa kama maaŋ baa wɔ nfe nsaa nyi Ebɔrɛ kashenteŋto, amoso abaanaaworasheŋ baaŋ mɔ ma nseŋ ta ma eche.","Then Abraham said: “I will take my son, my only son, whom I love, and go to the land of Moriah, and offer him there as a burnt offering.”",0.56938446,output-onesimus_003,2.9867390496386634,20.459080964242865,11.722910006940765
"One day, Sarah noticed Hagar's son Ishmael playing, and she said to Abraham, “Get rid of that Egyptian slave woman and her son! I don't want him to inherit anything. It should all go to my son.”","Nɛ e kaŋɛ mo kul Eebraham le: “Lara kenyache ere nɛ mo pibinyɛn ere nfe, ŋkpal manɛ so, m pibinyɛn Aizek nɛ kenyache ere pibinyɛn maaŋ tiŋ m barga kapetɛ koŋwule to.”","And it came to pass that he called Abraham and said to him: “I will make your descendants as numerous as the stars of heaven, and I will give to your descendants all these lands, and in their seed all the nations of the earth shall be blessed.”",0.47945476,output-onesimus_003,3.0397156830248746,25.55335227242018,14.296533977722527
"Jacob built an altar there and called it “God of Bethel,” because that was the place where God had appeared to him when he was running from Esau.","Nɛ Jeekɔb pɔr bɔrɛsure ndoŋ n sa Ebɔrɛ nseŋ tre kaboŋ na Ɛl Bɛtɛl, ŋkpal manɛ so, ndoŋ nɛ Ebɔrɛ daŋ lara mbe kumu ŋ ŋini mo saŋɛ nɛ e daa shile a ŋana mo da Isɔɔ so na.","And Jacob went out from there and came to Bethel, and he vowed a vow, saying, ""If God will be with me, and keep me in this way that I go, and give me bread to eat, and clothing to wear, so that I return to my father's house in peace, then the Lord shall be my God.""",0.627972,output-onesimus_003,1.950006810936354,30.00935094969268,15.979678880314518
"He gave Joseph the Egyptian name Zaphenath Paneah. And he let him marry Asenath, the daughter of Potiphera, a priest in the city of Heliopolis. Joseph traveled all over Egypt.",Ade kikɛ be kaman nɛ Fɛɛro sa Josɛf ketre Zafenat Panea nseŋ ta On be kegbirwura Potifera pibiche nɛ baa tre Asenat na n sa mo fanɛ e baa la mbe eche. Josɛf ka nya loŋ be eyilikpa na nɛ e fara a nite Ijipt be efuli na kikɛ so.,"And it came to pass that Pharaoh dreamed a dream, and Joseph interpreted it for Pharaoh, saying that seven years of plenty would be followed by seven years of famine. And Joseph said to Pharaoh, ""Let Pharaoh appoint over the land a wise and discerning man, and let him appoint over the land officials to gather a fifth of the food of the land during the seven years of plenty. And let them store up the food of those good years which will be on the land, and let them keep it in the cities, and let them be a reserve for the land against the seven years of famine which will be on the land of Egypt, so that the land will not perish during the famine.""",0.3828664,output_datgerhardt,1.1796701622013905,23.626843075028514,12.403256618614952
"When Joseph came to his brothers, they pulled off his fancy coat",Josɛf ka ba fo mo daana na kutɔ nɛ b gbaŋ mbe piŋi tenteŋ muchɛr muchɛr nɛ e daŋ buu na,Joseph went to the market to buy some food and he saw a beautiful woman there and he was attracted to her,0.5261291,output_datgerhardt,2.0540268312306345,23.418016218446468,12.73602152483855
"Abram's wife Sarai had not been able to have any children. But she owned a young Egyptian slave woman named Hagar,",Saŋɛ ere so kikɛ nɛ Eebram be eche Sɛɛrai daa maŋ naŋ kurge mbia n sa mo. Sɛɛrai malɛ daa kɔ Ijipt be kebita ko nɛ baa tre mo Heega.,"When they arrived at the place, Eebram said to Sɛɛrai, ""Let us go and see the city."" Sɛɛrai said, ""Let us go to Egypt and see the land of the Pharaoh.""",0.37838572,output_datgerhardt,1.2090878038257866,19.041561202956032,10.12532450339091
"She kept begging Joseph day after day, but he refused to do what she wanted or even to go near her.","Asheŋ nɛ Josɛf daŋ malga na kikɛ daa maŋ luri kache na to, amoso saŋkikɛ e daa kaŋɛ Josɛf kesheŋ koŋwule na nna, nɛ Josɛf malɛ daa maa nu a sa mo nsaa gelge mo.","Joseph went to the farm and worked hard until he finished. He then returned home, and Joseph's mother was very happy to see him.",0.47708827,output_datgerhardt,2.172054551709621,24.131867849275135,13.151961200492378
"They went back to the city of Enmishpat, better known as Kadesh. Then they captured all the land that belonged to the Amalekites, and they defeated the Amorites who were living in Hazazon-Tamar.",Kede be kaman nɛ b bɛta kaman m ba Ɛn Mishpat. Ndoŋ nna nɛ b naŋ ya kɔ n sɔ Amalɛkebi be nsawule kikɛ nseŋ naŋ kɔ m pɔɔ so Amɔriebi nɛ b daa wɔ Hazazɔn Tamaa na malɛ so.,"Because the Lord's justice is like the justice of the Amalakebi, they will be judged according to their deeds, because they have done evil in the land of Hazazon Tamaa.",0.2872727,output_datgerhardt,3.177129150313957,26.325946026770293,14.751537588542124
"One day, Cain gave part of his harvest to the Lord,",Kachako nɛ Keen ya bar mbe adɔjibi ko m ba kɛ Enyɛnpe Ebɔrɛ na,Kachako and Keen went to the market to buy something for Enyɛnpe Ebɔrɛ.,0.17568232,output_mich002,5.679677445135579,20.198319387835173,12.938998416485376
The king's personal servant said: Now I remember what I was supposed to do.,Kede be kaman nɛ Fɛɛro be asɔnuuso kenipo nimuso na kaŋɛ mo le: “Kabre nɛ n nyiŋi ŋ ka wora kusɔ ko n da so.,"If you are a Fɛɛro, you should know how to respect elders and not talk back to them.",0.26162297,output_mich002,2.276859592073037,15.681284484891048,8.979072038482043
"and said, “Please come to my home where I can serve you.",ŋ kaŋɛ: “Men maaŋ yili ma kutɔ gbrɛbi pɔɛŋ nsaa yɔ a?,What did you say to the man that he became angry?,0.50654995,output_mich002,3.4089919964838553,14.965084155530514,9.187038076007184
"So Lot chose the whole Jordan Valley for himself, and as he started out toward the east, he and Abram separated.","Eebram ka daŋ kaŋɛ loŋ na nɛ Lɔt lara Jɔɔdan be ketaŋɛ na be kaba so kikɛ n sa mbe kumu nseŋ barga n ya chena epeŋipetekpa be kaba so. To, kananɛ bumo benyɔ na daŋ barga abar nna na:","Eebram went to the market to buy some things for his wife, but he did not find anything. He went back home empty-handed. He was very disappointed because he had promised his wife that he would bring her something from the market.",0.15951864,output_mich002,1.2927264865780022,21.24827666400305,11.270501575290526
"They did not know that Joseph could understand them, since he was speaking through an interpreter.","B daa maŋ nyi fanɛ Josɛf daa nu bumo be mmalga na, ŋkpal manɛ so, esa ko e daa sɔ mo so a kilgi mmalga na a sa bumo.","If Joseph had not been born, then there would have been no one to bring us the good news, and we would not have known about the good news.",0.47504103,output_mich002,1.6404472625060698,23.76836318501076,12.704405223758414
"Jacob answered, “I left secretly because I was afraid you would take your daughters from me by force.","Nɛ Jeekɔb kaŋɛ Leeban: “N daa lɔ kufu nna fanɛ nɛ ŋ kaŋɛ fo, feeŋ suge fo mbia eleŋso ashi ŋ kutɔ.","Jacob said to Leban: “I have been working for you for six years, and I have not received anything. I have served you faithfully, and it is time for you to give me my bride.",0.4462809,nsanku_output_kcn,1.494348998143061,22.454331052765177,11.974340025454119
"Abram went as far as the sacred tree of Moreh in a place called Shechem. The Canaanites were still living in the land at that time,","B ka ya fo Keenan nɛ Eebram nite ŋ kulti kasawule na so hale n ya fo More be kedibigboŋ na ase, ashi Shɛkɛm. Kumo be saŋɛ malɛ nɛ Keenanebi kraa tase kasawule na so.","Keenan and Eebram went to the farm to harvest the crops. They harvested a lot and came back home. As they were eating, Shɛkɛm came. Shɛkɛm also went to the farm to harvest crops.",0.29716146,nsanku_output_kcn,1.5342333164810604,26.852082717774994,14.193158017128027
But you have promised that I would be a success and that someday it will be as hard to count my descendants as it is to count the grains of sand along the seashore.,Ama fo alɛ kaŋɛ fanɛ feeŋ shin nɛ ŋ ki asɔwura nseŋ shin nɛ ma kanaŋ e salga fanɛ teku ase be leele nɛ esa maaŋ tiŋ ŋ karga na.”,"If you want to eat, you should first respect the elders, and then you will be given food to eat.",0.17668073,nsanku_output_kcn,2.764150101731986,19.402777769131486,11.083463935431736
