ref,text,translated,source_zip_file,similarity_score,chrf_sentence,corpus_bleu,corpus_chrf
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, you are a very stubborn person. But you will not live forever. Okay.",Dec 08 output,,15.65889364369066,9.171692497889692,4.190515126737531
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","If you want to go to the farm, you should wake up early in the morning and go. Do not be lazy in your work. If you weed the farm well, your work will yield a good harvest.",Dec 08 output,,22.861371497227456,9.171692497889692,4.190515126737531
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I am going to farm today. I am going to weed the farm and then harvest the beans.,Dec 08 output,,14.435974035908226,9.171692497889692,4.190515126737531
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","If you are wise, you will listen. If you are a fool, you will not listen. If you do not listen to God's word and you die, you will go to a place where there is no escape.",Dec 08 output,,20.541232257770154,9.171692497889692,4.190515126737531
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","There was a big fire. The old woman was not at home, she had gone to fetch firewood for her daughter-in-law.",Dec 08 output,,14.20385437531378,9.171692497889692,4.190515126737531
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, you are a very stubborn person. But you will not always be like that. Okay.",onesimus_31223989_Dec 12 output,,16.087974429556407,9.171692497889692,4.190515126737531
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","If you want to be a leader, you must first learn to serve. Do not be arrogant because of your position. If you are given a gift, do not be greedy, share it with others.",onesimus_31223989_Dec 12 output,,20.675437736099873,9.171692497889692,4.190515126737531
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I am going to the chief's house. The chief has bought a new car and a big house.,onesimus_31223989_Dec 12 output,,14.182137376791584,9.171692497889692,4.190515126737531
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","When you go to the farm, do not go alone. If you go alone and you meet Wie Bulu, he will take you and you will not return home again.",onesimus_31223989_Dec 12 output,,22.34725606364656,9.171692497889692,4.190515126737531
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","The elephant's ears are big. It is a foolish animal, it uses its tail to drive away flies.",onesimus_31223989_Dec 12 output,,14.657790194569225,9.171692497889692,4.190515126737531
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, you are a very foolish person. You have not done anything for yourself. It is true.",john_AC86BE0F_output (5),,16.76009273387738,9.171692497889692,4.190515126737531
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","If you want to be a leader, you must first learn to serve. You cannot lead without humility. If you are proud and arrogant, you will fall, but with humility, you will rise.",john_AC86BE0F_output (5),,22.451148194194893,9.171692497889692,4.190515126737531
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I am going to the farm today. I will go and weed the maize and the beans today.,john_AC86BE0F_output (5),,14.554978051350744,9.171692497889692,4.190515126737531
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","If you are going to the farm, go early. If you are lazy and go late, you will not get anything. If you do not listen to God's word and continue to sin, you will not enter the kingdom of God.",john_AC86BE0F_output (5),,21.729418891592324,9.171692497889692,4.190515126737531
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","The elder's house is red. The chief's wife, she fetches water and the child lights the fire.",john_AC86BE0F_output (5),,10.87587960513792,9.171692497889692,4.190515126737531
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, you are a very stubborn person. But you are also very kind. Thank you.",output_JA-4,,15.98063000886425,9.171692497889692,4.190515126737531
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","If you want to become a leader, you must first learn to serve. We have seen your good work. Continue to do more, and we will see and make you a leader.",output_JA-4,,23.69227986283223,9.171692497889692,4.190515126737531
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,"I am going to the farm today. We will plant maize, cassava, and yam on the farm.",output_JA-4,,14.446684181528768,9.171692497889692,4.190515126737531
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","If you have a problem, don't hide it. If you are afraid, tell someone. If you don't tell Wie Bulu what is bothering you, no one will know how to help you.",output_JA-4,,21.36724434975359,9.171692497889692,4.190515126737531
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.","The firewood is too much. You, lazy one, you are the one who set the fire that burned the student.",output_JA-4,,15.196068792492584,9.171692497889692,4.190515126737531
"I thank you from my heart, and I will never stop singing your praises, my Lord and my God.","Mɛnɩ mɩ ɔkla ɔmɛ́ɛkpa ɔnɔ bun, si ɩlʋ wa kanfʋ fʋ ɛkɛkɛɛkɛ. Nana Bulu, mɩ Bulu, nɛ́da fʋ ɩpan brɛ fɛ́ɛ́.","I am the only one who knows how to do this, so I will teach you. Nana Bulu, I am Bulu, and I am here to help you.",output-onesimus_004,0.16405647,19.562854826343834,9.171692497889692,4.190515126737531
"You, God, are my shield, the protector of everyone whose heart is right.",Bulu legyi ɩban wa mɩ. Mʋtɔhɔ aha ánɩ́ amʋ́ asʋn da ɔkpa.,The chief's house is big. The elders held a meeting there yesterday.,output-onesimus_004,0.10767792,17.511995354692257,9.171692497889692,4.190515126737531
"Only you, Lord, are a mighty rock! Don't refuse to help me when I pray. If you don't answer me, I will soon be dead.","Mɩ ɔtanʋkpa Nana Bulu, fʋ ndesu kpoli. Mátila asʋ. Nɩ fɛkpa ɔnɔ bun a, nɔ́bwɛ fɛ ɔha wuhɛ.","I am going to Nana Bulu's house, I will return soon. Don't be afraid. If you see a stranger, don't open the door for him.",output-onesimus_004,0.22041035,28.268315760028457,9.171692497889692,4.190515126737531
"Come and save me, Lord God! Break my enemies' jaws and shatter their teeth,","Oo Nana Bulu, kʋsʋ. Mɩ Bulu, hɔ mɩ. Tsufɛ fʋtɛda mɩ alupʋ lɛ da, kpa awuntɔlɩnpʋ abɩn.","Oh Nana Bulu, thank you. I am Bulu, it's me. Today, I am coming to greet you, and also to ask for your blessing.",output-onesimus_004,0.2597525,14.90407695232691,9.171692497889692,4.190515126737531
"Tell about God's power! He is honored in Israel, and he rules the skies.","Mlɩbla aha alɩá Bulu tumi gyi. Mʋ numnyam ibun Israelsʋ, mʋ ɔwʋnlɩn ɩlɛlɩn ɔwan nwʋlʋtatɔ.","The elders of Bulu were also there. They were the leaders of Israel, and they were the ones who judged the people.",output-onesimus_004,0.31792447,25.79425371671322,9.171692497889692,4.190515126737531
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, you have done a great thing. And you will receive a reward. Thank you.",onesimus_7C821E01_Dec 01 output,,14.393323314945764,9.171692497889692,4.190515126737531
"But you see the trouble and the distress, and you will do something. The poor can count on you, and so can orphans.","Tamɛ togyitɔ ɩda fʋ ansɩtɔ, tsufɛ fʋdɛ ɩwɩɔsɩn pʋ́ ipian awunpʋ wun. Fʋtekleá fɔ́bʋa amʋ́ bregyibrɛ. Apɔnpʋ bʋtɔpʋ ansɩ dɩnka fʋsʋ, fʋtegyi awumbi bʋalɛ bregyibrɛ.","If you want to go to the farm, you must wake up early in the morning. You will not get anything by being lazy. If you do not go to the farm, you will have nothing to eat, and your children will also suffer.",onesimus_7C821E01_Dec 01 output,,26.09577998220746,9.171692497889692,4.190515126737531
"Don't let lions eat me. You rescued me from the horns of wild bulls,",Lɛ mɩ tsu agyata anfɩ ɔnɔ. Tsú akpokpo anfɩ bʋbʋ ɩyɩn anfɩ nsiebi ɔnɔ.,I am going to my farm. My grandfather's farm is bigger than my father's.,onesimus_7C821E01_Dec 01 output,,11.084279973073242,9.171692497889692,4.190515126737531
"You love justice and hate evil. And so, your God chose you and made you happier than any of your friends.","Fʋtekle yilebwɛ. Lalahɛbwɛ mʋ́ a, fʋtekisi. Mʋ́ sʋ fʋ Wie Bulu lada fʋ ofuli, pʋ ansigyi bʋla fʋtɔ dʋn fʋ aba.","If you are stubborn. If you are wise, you will be humble. If you do not listen to God and continue in your stubbornness, punishment will befall you.",onesimus_7C821E01_Dec 01 output,,20.185051620815905,9.171692497889692,4.190515126737531
"You plan brutal crimes, and your lying words cut like a sharp razor.","fʋdɛ lalahɛ susu. Ofunupʋ olembiapʋ, fʋ ɔdandʋ bʋ ogya fɛ ɔdayibi.",The elephant's tusks are too heavy for it. It is not for the one who does not own a farm to boast in front of the farmer.,onesimus_7C821E01_Dec 01 output,,13.895295597134172,9.171692497889692,4.190515126737531
"I kept chasing my enemies, until I caught them and destroyed them.",Nɛdɩnka mɩ alupʋsʋ yɛkɩta amʋ́. Mmeyinki ɔma yɛfʋn brɛá bɛta fɛ́ɛ́.,I am going to the farm today. The children are also going to weed there.,output_jonathan,0.11547677,18.15936104647184,9.171692497889692,4.190515126737531
May the Lord send help from his temple and come to your rescue from Mount Zion.,"Ɔpʋ mbʋa sɩsɩ fʋ tsu mʋ otsiakpa, ɔwa fʋ ɔwʋnlɩn tsu Sion.",The Lord has chosen Zion; he has desired it for his dwelling.,output_jonathan,0.5090373,19.336758462934,9.171692497889692,4.190515126737531
