ref,text,translated,similarity_score,source_zip_file
"“My son,” Isaac answered, “I have made Jacob the ruler over you and your brothers, and all of you will be his servants. I have also promised him all the grain and grapes that he needs. There's nothing left that I can do for you.”","Le Aisak bui u ke, “M di tininkpir tii uma la, le u ga li ye aa pu usaloln, le udo yaab mɔmɔk ga li ye waanaagbiib. Le u ga li kpa tijikaar ki kpa ŋisubil aadaan mu sakpen. Maabo, tinyoor tibaa aa ki bi m ga ki ŋa aa pu.”","The old man said to them, “I have heard that there is a certain place where one can go and find rest, and where one can go and find peace. I want to go to that place and rest my tired body. But, I don’t know the way to that place, so I am asking you.”",0.309402,output_jonathan
where he had earlier camped and built an altar. There he worshiped the Lord.,ki maa kitork aabimbiln na. Le u doon Uwumbɔr nima.,They have taken our farm and given it to Uwumbɔr's people.,0.15174063,output_jonathan
"Korah, Gatam, and Amalek. These and Esau's other descendants lived in the land of Edom.","ni Kora, ni Gatam, ni Amalek. Esɔ aapuu Ada aayaabitiib le na.","It is Kora, it is Gatam, it is Amalek. The chief of Ada has come to our town.",0.25970232,output_jonathan
"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Uwumbɔr nan ki bui ke, “Nnyun mu bi kitiŋ pu na kpaan tɔb chee ki cha kitiŋ.” Le mu ŋa kina.","The old man said to them, “You have come to the town and you are looking for a place to stay, isn’t it?” They agreed.",0.0946808,output_jonathan
"Later the Lord spoke to Abram in a vision, “Abram, don't be afraid! I will protect you and reward you greatly.”","Nimina aapuwɔb, le Uwumbɔr nan kpiir ubaa mɔk Abram ki bui u ke, “Abram, taa li san ijawaan. M ga kiir tibɔbir mɔmɔk ti ga dan aa pu na, ki tii si ipiin sakpiin.”","The Lord said to Abram, ""Leave your country, your people and your father's household and go to the land I will show you. I will make you into a great nation and I will bless you; and you will be a blessing.""",0.68172723,output_jonathan
he told everyone that his wife Sarah was his sister. So King Abimelech of Gerar had Sarah brought to him.,"le u nan bui ke Sara ye uninkpan la. Nima pu na, Gerar aabɔr u nan bi, bi yin u ke Abimelek na, nan cha bi joo ni Abraham aapuu Sara u chee.","And it happened that Sara became pregnant. When the time came, Gerar's king took Sara, and he gave her to Abimelek, saying she was Abraham's sister.",0.73273516,output_onesimus007
and God answered Leah's prayers by giving her a fifth son.,"Uwumbɔr nan ŋun Lea aameel pu, le u dek lipuul ki ki ma ubijabo ŋmuŋmur tii Jakob.","The man who is called Lea's husband, he is the one who gave birth to many children for Jacob.",0.4075669,output_onesimus007
"God said, “I command light to shine!” And light started shining.","Le Uwumbɔr bui ke, “Nwiihn ŋa,” le mu ŋa.","The old man said, “I am going,” and he went.",0.24211867,output_onesimus007
"The king of Sodom said to Abram, “All I want are my people. You can keep everything else.”","Le Sodom aabɔr ngbaan nan bui Abram ke, “Li joo tiwan ngbaan mɔmɔk, ki tee di maanib mɔmɔk tii mi.”","And the Lord said to Abram, ""Leave your country and your relatives, and come to the land that I will show you.""",0.60515404,output_onesimus007
"If a wild animal killed one of your sheep or goats, I paid for it myself. In fact, you demanded the full price, whether the animal was killed during the day or at night.","N‑yoonn mumɔk tipeewanbir yaa nan ti chuu saawakork kibaa na kan, ni nan ye min le aafalaa. Maa nan yoor taakpab ti mɔk si ke naa ye maataani. N‑yoonn mumɔk unaayuk yaa nan ti sun saawakork kibaa kinyeek, bee nwiin pu na kan, see min le ga teen si.","The old man went to the farm with his grandchild to weed the yams, but the grandchild did not listen to him. The old man told the grandchild to go and fetch water from the stream, but he refused and went to play with his friends instead.",0.23144262,output_onesimus007
