ref,text,translated,similarity_score,source_zip_file
God blesses those people whose hearts are pure. They will see him!,"Suoto siyɔɔ batii ba siitu lɛma ntika ni lɛɛba ninwii, diekye mma nimanya Yaa nɛ.","The woman was sitting in the shade of a tree, waiting for her husband to return, and she was thinking about Yaa.",0.01267282,output_mich001
"But I will show you that the Son of Man has the right to forgive sins here on earth.” So Jesus said to the man, “Get up! Pick up your mat and go on home.”","Kamadiki ntuo ye nlɛ, ami, Otii Obi nwu, nkpe osie kaayi ka mmle alɛ kayɔ okpile nkyɛ.” Nkpo oso aatɔkɔ otii nwu niafefee aate ni kaasɔ alɛ, “Taka fayila, faayɔ ɔkla lɛfɔ, faatɔɔkyɛ leyo.”","My child, Otii Obi said, ""Go and tell them that the time has come for us to gather together and celebrate.""  The elders said, ""Go and tell them to come together, to bring their food and their drinks.""",0.23609632,output_mich001
"So please order the tomb to be carefully guarded for three days. If you don't, his disciples may come and steal his body. They will tell the people he has been raised to life, and this last lie will be worse than the first one.”","Nkpo oso ta falɛ basaanyuntɛ lɛlaayila beenyu ɔkya nwu nkpo osie kanya diɛlaase di ayi atiɛ kamɛ. Nse faata babla nle mmle yi, basaateketetɛ nɔɔ makyɛ manayu nwɔ mansifiko, manatɔkɔ batii alɛ, ‘Atɔɔtaka eekye bakpi kamɛ.’ Nse diɛwa ninkpo yi, sɛlaa kuafunu se babakple malaa ni malenkee lɛkasale.”","When the news reached the king, he was very angry. He said to his people, ‘I will punish you all.’ He then ordered his soldiers to gather the people and said, ‘Let us go and fight them.’ And so they went to war, and the king’s army defeated the enemy.",0.39525127,output_mich001
"The angel looked as bright as lightning, and his clothes were white as snow.","Suoto nɔɔ odiki otuo late fɛ ɔplalaa nimunaa, awu nɔɔ kafɔɔ lapu fɛle oleteku.","The sun is shining brightly today, the wind is blowing gently.",0.32010153,output_mich001
"About that time Jesus came from Nazareth in Galilee, and John baptized him in the Jordan River.","Ditaklɛ, Yesu lakye Nasarɛt diɛ Galilea kasɔ aawa, ni di Yohane lakpeesa nwɔ Yaa ntu di Yordan okle kamɛ nɛ.",Then Jesus came from Nazareth in Galilee and was baptized by John in the Jordan.,0.79912865,output_mich001
A nation whose people fight each other won't last very long.,"Nse sɛka kalekɔ kawo lɛsɛ kɛtaka keeyila di suoto nɔɔ, ni sɛka kalekɔ nwu dilabafuo oyila.","If you want to eat the food, you must first wash your hands.",0.06067296,output-onesimus_003
"Jesus looked straight at them and said, “There are some things people cannot do, but God can do anything.”","Ninfɛ di Yesu layu ma di anu tuwĩi aatɔkɔ ma alɛ, “Otii kuonwii dilabafuo nle mmle ɔbla. Kafɔɔ Yaa nnwɔɔ lɛsalɛsaa nnaa nwɔ osie ku ɔbla.”","Then Jesus said to them, “Truly I tell you, unless you change and become like little children, you will never enter the kingdom of heaven. Whoever humbles themselves like this child is the greatest in the kingdom of heaven.",0.5784075,output-onesimus_003
"The seeds that fell among the thornbushes are also people who hear the message. But they start worrying about the needs of this life and are fooled by the desire to get rich. So the message gets choked out, and they never produce anything.","Alesaa kubi ko niabuo ni di kakɔtɔkɔtɔ siwuu kamɛ yi, mma ninle batii ba nienu ni ɔlaa nwu, kafɔɔ bɛɛyɔ disibu lɛma beetika ni di kayi ka mmle asaa kpinwu suoto, ku mmle baawɛ nya ni oso, atoofukuti eetĩi ɔlaa nwu nkpo, kuɔta alɛ kulootika abi.","When the sun rises in the morning, the mother will wake up, she will prepare breakfast for her children, and then she will go to the farm to work. She will work until the sun sets, and then she will return home. She will then prepare dinner for her children, and they will eat together. After dinner, they will go to sleep.",0.24917021,output-onesimus_003
"Some Pharisees and teachers of the Law of Moses said, “Teacher, we want you to show us a sign from heaven.”","Nfa nfɛ di kufiofa batuotɛ bawo ku Farisi batii bawo latɔkɔ Yesu alɛ, “Saatuotɛ, buomiɛ bulɛ fabla dituosaa lewo fatuo buɔnya.”","The Pharisees came to Jesus and said to him, ""Teacher, we know that you are a truthful person and that you teach the way of God in truth, for you do not care about anyone's opinion.""",0.5444697,output-onesimus_003
"But if that one refuses to listen, take along one or two others. The Scriptures teach that every complaint must be proven true by two or more witnesses.","Kafɔɔ nse aanu fɔ kasɔ yi, ni faamiɛ otii onwii ee banyɔ fakyakaa di suoto biɛkyɛ, baanuko fɔ ɔlaa nwu nkpo fɛle kamaa bayilatɛ, fɛ mmle okle bɛɛkpana ni Kɔɔkpana Klekle Kukũ kamɛ.","If you want to know the meaning of this word, you should ask someone who knows the language. I don't know the language.",0.006945584,output-onesimus_003
"Pilate said to them, “All right, take some of your soldiers and guard the tomb as well as you know how.”","Ninfɛ di Pilato latɔkɔ ma alɛ, “Bita bakpɛtɛ bakyɛ balaayila banyu ɔkya nwu nkpo fɛ mmle dikaatɛ ni.”","Pilate said to them, ""What shall I do then with Jesus who is called Christ?""",0.5899578,output_datgerhardt
"So the evil spirits begged Jesus, “Send us into those pigs! Let us go into them.”","Nioso anwuna kpile nwu di osuɔtɔ nwu kamɛ latikiti Yesu lekoto alɛ, “Diki wo osuku buɔlaabuo diɛ aplakuo nwu kamɛ!”","He said to them, “Truly I tell you, unless you change and become like little children, you will never enter the kingdom of heaven.",0.49543124,output_datgerhardt
"the foolish ones said to the others, “Let us have some of your oil! Our lamps are going out.”","Ninfɛ di babuutɛ nwu nkpo latɔkɔ banumbentɛ nwu nkpo alɛ, ‘Bitika wo nnɔfɔ lee nwu nkpo nnwo, diekye bakandiɛ loo ba bukle ni nfɛ konii.’","If you want to be a good person, you must be honest. Do not steal or cheat, for these things will only bring you trouble.",0.0776062,output_datgerhardt
The crowds were surprised to hear what Jesus was teaching. The Most Important Commandment (Mark,"Di obe wɔ di batii dikudi nwu nkpo lanu ni asaatuo ya mmle yi, diabla ma ɔkpɛ osie kanya. Yesu Latuo Asaa Di Kufiofa Ko Niefĩ Kulenke Ni Suoto.","If you are going to eat the flesh of the Son of Man, you will live forever. This is the bread that comes down from heaven, so that one may eat of it and live forever.",0.28300068,output_datgerhardt
"If your eye causes you to sin, poke it out and get rid of it. You would be better off to go into life with only one eye than to have two eyes and be thrown into the fires of hell. The Lost Sheep (Luke","Nse kafɔɔ, ninu lɛfɔ nikɔta fɔ fambla okpile yi, faadiki ni fayu. Diekye dilɛ dilenke alɛ, faayɔ ninu ninwii fambuo nkpa nwu nkpo kamɛ alɛ, faawɛ anu anyɔ man-yɔ fɔ manfuki mankpee di kawɔɔ ɔtɔ wɔ ninnaa ni kaloo kamɛ. Yesu Lapɛ Lɛkpa Di Foso Wɔ Nieyu Ni Suoto.","When you see the mark of the beast on the forehead or on the hand, then you must not buy or sell anything from that person. For he who worships the beast and its image, and receives a mark on his forehead or on his hand, will also drink of the wine of the wrath of God, which is poured out unmixed into the cup of his indignation. The name of the Lord is Jesus Christ.",0.3751746,output_datgerhardt
Jesus told them another story: The kingdom of heaven is like what happens when a farmer plants a mustard seed in a field.,"Yesu lakple aapɛ ma lɛkpa bamba ninwii alɛ, “Yaa sɛka kalekɔ nte fɛ mmle okle. Otii onwii layɔ lewosobi biibii ninwii aapɛ koofe nɔɔ.","Jesus said to them, ""Truly I tell you, unless you change and become like little children, you will never enter the kingdom of heaven. Whoever humbles themselves like this child is the greatest in the kingdom of heaven.",0.56943023,output_mich002
"Some of the teachers of the Law of Moses were Pharisees, and they saw Jesus eating with sinners and tax collectors. So they asked his disciples, “Why does he eat with tax collectors and sinners?”","Nioso obe wɔ di kufiofa batuotɛ ba ninle ni Farisi batii lanya alɛ Yesu kole ni alesaa ku bakpiletɛ ku akpooto bafuntɛ, baakaalɛ basaateketetɛ nɔɔ alɛ, “Lɛ oso ole alesaa ku akpooto bafuntɛ ku bakpileblatɛ bamba ba mmle?”","When they arrived in Jerusalem, they found the city full of people, and the Pharisees and teachers of the law were complaining about Jesus, saying, “He is allowing people to eat on the Sabbath and to heal the sick. Why does he do these things?”",0.7319149,output_mich002
"If your hand or foot causes you to sin, chop it off and throw it away! You would be better off to go into life paralyzed or lame than to have two hands or two feet and be thrown into the fire that never goes out.","“Nkpo oso nse kɔnɛɛ lɛfɔ, ee kɔkpaa lɛfɔ mata alɛ fambla okpile yi, faabudi kũ fayu. Dilɛ dilenke alɛ faayɔ kɔnɛɛ kunwii ee kɔkpaa kunwii fambuo di nkpa nwu kamɛ, alɛ faawɛ nnɛɛ nnyɔ ee nkpaa nnyɔ, man-yɔ fɔ manfuki mankpee di kawɔɔ ɔtɔ wɔ ninnaa ni kaloo kamɛ.","The one who is strong will not be afraid, he will not be afraid of the face of the enemy, he will be brave and strong. If the enemy is strong and brave, he will be afraid of the face of the strong, he will be afraid of the strong, the one who is strong will not be afraid of the one who is weak, he will not be afraid of the one who is weak, he will not be afraid of the one who is weak.",0.1127411,output_mich002
