Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
llama-3.1-405b-instruct,70.26,27.38,48.82,70.26453169653148,27.379329919698126,48.8219308081148
kimi-k2-instruct-0905,70.01,25.27,47.64,70.00700175052519,25.271261518081957,47.639131634303574
mistral-medium-3-instruct,46.99,26.70,36.85,46.99152171992906,26.70276872357812,36.84714522175359
llama-3.3-70b-instruct,49.52,22.50,36.01,49.52330116157306,22.495130532553752,36.0092158470634
llama-4-maverick-17b-128e-instruct,40.75,25.20,32.98,40.74787332433839,25.20358805959552,32.97573069196696
qwen3-235b-a22b,29.51,22.19,25.85,29.505138076099747,22.188383336263637,25.84676070618169
claude-sonnet-4-5,20.83,24.08,22.46,20.834043441953735,24.083499424983394,22.458771433468563
deepseek-v3.1,21.18,21.70,21.44,21.178461863465458,21.70170686588436,21.44008436467491
gpt-4.1,16.76,23.45,20.11,16.762154646181088,23.454852110526232,20.10850337835366
gemini-2.5-flash,7.36,27.51,17.43,7.355026065679769,27.514756027352767,17.434891046516267
qwen3-32b,7.00,22.32,14.66,7.001385286834308,22.316925137678364,14.659155212256337
seed-oss-36b-instruct,6.09,22.39,14.24,6.087895024805786,22.386932340083064,14.237413682444425
gemma2-9b-it,5.78,19.82,12.80,5.7783239927083425,19.815243638276712,12.796783815492528
qwq-32b,6.45,18.86,12.65,6.448584336554326,18.859258816727333,12.65392157664083
palmyra-med-70b,2.58,22.41,12.49,2.5830227270671267,22.405309166286436,12.494165946676782
mistral-7b-instruct-v0.3,1.66,22.23,11.94,1.66256285866194,22.227164436805694,11.944863647733817
gemma-2-27b-it,4.28,18.93,11.60,4.28076851128754,18.926787869384658,11.603778190336099
gpt-oss-120b,8.50,14.65,11.58,8.503662878579146,14.654212453969935,11.578937666274541
gemma-2-9b-it,3.22,18.04,10.63,3.217365917578266,18.03687360186897,10.627119759723618
