ref,text,translated,source_zip_file,similarity_score
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","U ra yir kunla n du a baambaaŋ la, chiŋ. Bɔr kaa duani, hɔɔ kaa pizi. A hɔpizaa anɛɛ hinnɛ guŋ.","When you go to the farm, be careful. Watch out for snakes, and also for scorpions. They are very dangerous.",output_proprietary,0.06494140625
So God created humans to be like himself; he made men and women.,"Awia, u ta newea, ba liu. U ta baabuu ba du u himmaa duula, di ɛɛ baal ni haaŋ.","Sorry, I can't translate this text as it's in Vagla language which is not currently supported.",output_proprietary,0.1578369140625
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","N kaa tɛɛ pir sela, zumbizi, kuntuuzaa ani kunnyinee maa paŋhoori ni kooree, á ra di.” A guŋ ge ɛɛ.","When you go to the farm, be careful not to step on the hoe, lest you get injured.",output_proprietary,0.1907958984375
"By the seventh day God had finished his work, and so he rested.","Hɔpizaa aniidaanɛɛhiŋ n wa helle, di Kɔraawiizi tuŋ huma la maa unna hum. Awia, u faa heezi.","Sorry, I can't provide the translation you're asking for because Vagla is not a recognized language or code. It might be a fictional or artificial language, or possibly a typo.",output_proprietary,0.09088134765625
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Chiŋ ni hɛri tai wiarɛ keŋ. Kɔraawiizi n ta chiŋ ni hɛri la,","I am going to the market. If you want anything, tell me.",output_proprietary,-0.04620361328125
"But the Lord told him, “You may eat fruit from any tree in the garden,","Kɔraawiizi faa ŋɔ u be, “A di daa maa nɔŋ n du a kambol naa biini,",I am going to the farm to harvest beans.,output_proprietary,0.2215576171875
"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Denii Kɔraawiizi ŋɔ, “A waa wer baal la bɛŋ n duwɛɛ. N daŋ ma hiini bɛl n dɛguu, ú nuu du.”","I am going to the farm to harvest. If I don't return before dark, don't worry.",output_proprietary,0.1263427734375
The man Adam named his wife Eve because she would become the mother of all who live.,"Andama jaa dau u haaŋ hiŋ sɔŋ Haawa, dikuubɛɛwiai, waabuu niŋ ɛɛ newea maa màá.","Unable to translate as the provided text is in Vagla language, which is not currently supported.",output_proprietary,0.110107421875
but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"ka vɛɛ Keenwaa hor la. A guŋ jaa fuuh Keen baaŋ werge maa, u nyɛm.","I am going to Kenya. When I get there, I will meet with Ken and discuss business.",output_proprietary,-0.0391845703125
The Lord said to Cain: What's wrong with you? Why do you look so angry?,"Denii Kɔraawiizi pɛɛzuu, “Bɛɛ n gillɛ i baaŋ na fuuh i nyɛm kennei?”","""Do you want me to bring you some water to drink?""",output_proprietary,0.121826171875
“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"Ka Kɔraawiizi ŋɔ u be, “Ba wàá kpui, dikuubɛɛwiai, nɛr la maa n niŋ ɛɛ guŋ, n daŋ tɛɛ a hiŋ i tɔɔrɔɔ naa dɔŋ buniidaanɛɛ.” Denii Kɔraawiizi dau Keen pɛl bɛl, ú ra bagli lugɔ nɛr maa gilɛɛ waa kpuu.","""When Kɔraawiizi said, ""Come, my friends, let's go to the river, let's catch fish and roast it on fire,"" his friend Keen agreed, he took his fishing net and they went to the river.""",output_proprietary,0.14111328125
"Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.","Zila ge lul biibaal, ba ra yiruu Tubal Keen. U ge faa ɛɛ luuri, u niuhambiere faa Naama.","Zila had a daughter, and she was married to Tubal Cain. She gave birth to a son, and named him Naama.",output_proprietary,0.62841796875
"One day, Lamech said to his two wives, “A young man wounded me, and I killed him.","A hɔl bɛl, Lamɛk ŋɔ u haana Ada ni Zila be, “N haana, ií ra nuu! N kpu biipɔllii bɛllɛ dikuu un duŋ pira wia.","My wives, listen to me! I have killed a man for wounding me.",output_proprietary,0.6083984375
"God created men and women to be like himself. He gave them his blessing and called them human beings. The following is a list of the descendants of Adam, the first man:","U faa ta baabuu, ba ɛɛ baal ni haaŋ, kissi baa, di ra yir baa ‘newea.’","He said to Babu, if you see a big snake, tell the people in the house 'danger.'",output_proprietary,0.0232086181640625
and died at the age of,ka siu u binni kalfa kabɛl ni tokkoahoro ni anɛɛhiŋ biini.,You are a great person who is capable of doing great things.,output_proprietary,0.11773681640625
"Lamech said, “I'll name him Noah because he will give us comfort, as we struggle hard to make a living on this land that the Lord has put under a curse.”","di ŋɔ, “Hɛri la Kɔraawiizi n seeŋ nua la, bie naabuu niŋ lizi yaa lii yaa tɔɔrɔɔ maa biini.” Awia, u sɔnnɛ Noowa.","Here is Kɔraawiizi's house, where the big tree used to be.",output_proprietary,0.233154296875
Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"Awia, nyiŋŋi daananaa di kuari muugberzenzeŋ bɛl, í wer di ra zuu u biini lugɔ dia. Nyiŋŋi kotaal ham u biini ni u harbɔɔ maa nɛnnɛ.","Hello, I am happy to see you today, and I hope you are doing well. I wish you and your family good health.",output_proprietary,-0.0689697265625
"They took along every kind of animal, tame and wild, including the birds.","Pir sela, kundɛɛzaa, kuntuuzaa, zumbizi ani kunzaahra maa,","After that, they danced, they sang, and they celebrated together.",output_proprietary,0.30712890625
"He waited seven more days before sending the dove out again, and this time it did not return.","Aŋ kaa wa di yawa nua, u kaa lizi a komma ú kaa ga binni na. Un laŋŋɛ waa kaa bir ba.","You have a big house, but you don't know how to clean it. You always lose things.",output_proprietary,0.07257080078125
I am going to make a solemn promise to you and to everyone who will live after you.,"“N ni ia ni ii naanna ɛɛ nuukpannɛ filaŋkeŋ,",There is no translation provided for the text.,output_proprietary,0.08563232421875
"When I send clouds over the earth, and a rainbow appears in the sky,","Di n wa gillɔ baamazi tɔ hɛri, n kizee lii a biini,","I am going to the market to buy some clothes, I will be back soon.",output_proprietary,0.063232421875
The rainbow will be the sign of that solemn promise. Noah and His Family,"Denii Kɔraawiizi jaa ŋɔ Noowa be, “Too, n kizee hiŋ ra bagli n ni kunnyinee maa n du hɛri naa nuukpaŋ wiarɛ.” Noowa biibaala wia","""Well, I think I have a big problem with my stomach because I feel a lot of pain.""",output_proprietary,-0.0753173828125
I will bless you and make your descendants into a great nation. You will become famous and be a blessing to others.,"N daŋ gil i naanna wazi, ń kissii, di tɛi sɔnzeŋ, di gil i birgi nɛkpila maa hiini.","In the morning, I wake up, brush my teeth, take a bath, and then eat breakfast.",output_proprietary,0.09844970703125
"As soon as Abram and Sarai arrived in Egypt, the Egyptians noticed how beautiful she was.","Baŋ wa hel de, wibii maa, Ijip hina la ra ŋɔ Sarai wessi wia.","Sorry, I can't assist with that.",output_proprietary,-0.06982421875
"Lot, who was traveling with him, also had sheep, goats, and cattle, as well as his own family and slaves.","Abram ni Lɔt n faa ra la la, Lɔt gba dɔɔ peeza, nauna ani tantizii.","Abram and Lot departed from there, Lot took a large piece of land, full of vegetation.",output_proprietary,0.53369140625
where the people were evil and sinned terribly against the Lord. Abram Moves to Hebron,"A bol naa hina faa ɛɛ biinikpola hinaa werge maa, di ra ɛɛ wichɔgaa ra zuu Kɔraawiizi ni. Abram n izee ga so Hɛbrɔn wia",There is no translation provided because the text is in a language that the AI model doesn't recognize.,output_proprietary,0.08978271484375
"I will give you more descendants than there are specks of dust on the earth, and someday it will be easier to count those specks of dust than to count your descendants.","N daŋ kaa gil i naanna wazi alugɔ hɛɛhriichaa. Di nɛr maa daŋ wer kur hɛɛhriichaa, guŋwaa, ba daŋ wer kur i naanna gba!","I am going to the river to fetch water. If you see me coming back without water, run, because I have seen a crocodile at the river!",output_proprietary,0.1859130859375
"Abram took down his tents and went to live near the sacred trees of Mamre at Hebron, where he built an altar in honor of the Lord.","Awia, Abram panzi u tantizi, di izi ga so dugli Mamrɛ daazenaa n du Hɛbrɔn, di ma mbusu lizibɔr de tɛɛ Kɔraawiizi.","Awia, Abram settled in the land of Canaan, and he lived near the oak trees of Mamre in Hebron, where he built an altar to the Lord.",output_proprietary,0.7724609375
"King Chedorlaomer and his allies had ruled these last five kings for twelve years, but in the thirteenth year the kings rebelled and joined forces in Siddim Valley, which is now covered by the southern part of the Dead Sea.","dikuubɛɛwiai, binni fidaanɛɛ n bɛrɛɛ, Koori Kɛdɔlayɔmaa faa ra di kora ba ni. Ka a binni fidaahorohiŋ biini, ba faa vɛɛ u dɔɔra sɛɛi.","Unfortunately, I am unable to translate the text as it is in Vagla, a language I do not understand. I apologize for any inconvenience.",output_proprietary,0.1746826171875
