ref,text,translated,similarity_score,source_zip_file
"A good tree produces good fruit, and a bad tree produces bad fruit.",Ki tiŋaŋ kur mun loon lɔɔnŋanae; ki tibiiuk kur mun loon lɔɔnbiite.,The elephant is bigger than the buffalo; the elephant is stronger than the buffalo.,0.45656005,output_jonathan
"After Jesus had finished instructing his twelve disciples, he left and began teaching and preaching in the towns.","Yisa nba din wann u poorpoweiteeb piik nan bannlee na wannu maŋ ki gbenn yoonba, ki u nyii leŋ ki saan bi doi ni ki mɔɔntir Yennu maan ki want niib.","The chief's son went to the poor man's farm and saw a lot of yams, so he decided to steal them, but the poor man caught him and took him to the chief's palace.",0.053716026,output_jonathan
The chief priests and the whole council wanted to put Jesus to death. So they tried to find some people who would tell lies about him in court.,Ki Yennu jiantu yudamm nan saakab maŋ kur yabir bi mɔŋ paak a bin la faak siara damm mɔb ni linba ki bi sa jii Yisa biit ki kpiu.,"They said that the chief's son had gone to the farm and had been bitten by a snake, and they took him to the hospital but he died, and they buried him, and now the chief is crying.",0.15943378,output_jonathan
"I promise you that any of the sinful things you say or do can be forgiven, no matter how terrible those things are.","Ki Yisa ŋamm yetib a “Barmɔniie ki n beeri na, Yennu sa nyik chab nifosaarii bi biit nan bi barbiit kura;","When the sun rises, the Barmɔniie people say, ""Today is not a day for playing, it is a day for working and farming.""",0.002178894,output_jonathan
more to the birth of the Messiah. The Birth of Jesus (Luke,"Asor din mar Sadok, ki Sadok din mar Akim, ki Akim mun din mar Eliud.","The father of Sadok is Asor, and the father of Sadok is Akim, and the father of Akim is Eliud.",0.16998574,output_jonathan
"John the Baptist did not go around eating and drinking, and you said, “That man has a demon in him!”","Yimm mɔtana nigbouŋ na mun naan nan waas maŋe, kimaan Jɔɔnn daan baar ki ki di jemɔntii, ki bia ki nyu daami, ŋaan ki i yaa a u waate;","They went to the farm and worked, but John did not go, he stayed at home, and they did not see him until they returned.",0.31823474,output_onesimus007
"The disciples asked Jesus, “Don't the teachers of the Law of Moses say Elijah must come before the Messiah does?”",Ŋanne ki u poorpoweiteeb boiɔ a “Bee ki sennu wannteeb yaa a see ki Yennu sɔkinii Elaija baar Masia sinsinni?”,"Why did the poor widow's son ask, ""Can't we see the God of Elijah in the God of Moses?""",0.58902407,output_onesimus007
"The angel looked as bright as lightning, and his clothes were white as snow.","Ki u gbanant din nyirii kaman nan sanyikintii nee, ki u liant peen kaman nan sanpagbanpeeuŋ na.","When you are going to the farm, don't forget to take your cutlass, and when you are going to the bush, don't forget to take your gun.",-0.01407071,output_onesimus007
"After Jesus left the crowd and went inside, his disciples came to him and said, “Explain to us the story about the weeds in the wheat field.”","Ŋanne ki Yisa din nyik nibur maŋ leŋ, ŋaan saan kɔɔ u ŋadɔɔtik ni. Ki u poorpoweiteeb din baar u boor ni ki tan betɔ a “Betirit dinatimii barjouk na paak.”","When Jesus was born, there was a great celebration in the town. The angels sang a song saying, ""Glory to God in the highest, and on earth peace, goodwill towards men.""",0.4801795,output_onesimus007
"While the farmer was scattering the seed, some of it fell along the road and was eaten by birds.","Wa din buur na, ki bonboorii na yenninba yat ki baa sanjouk paak, ki nɔɔnii wei ki tɔkir.","They went to the farm, and the farmer gave them a small basket of corn, and they ate and were satisfied.",0.45774323,output_onesimus007
