ref,text,translated,source_zip_file
"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Uwumbɔr nan ki bui ke, “Nnyun mu bi kitiŋ pu na kpaan tɔb chee ki cha kitiŋ.” Le mu ŋa kina.","""The chief said to them, ""Today we have seen something that has never happened before."" And we went home.",output_proprietary-1
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","le ki ŋa tinyoor ŋa bi pu, le ki bui ke, “Maa, ki pɔr, aan ki gbiin kitiŋ kee pu, ki li lik kitiŋ ngbaan. Li kpa mpɔɔn ijan, ni inyoon, ni tiwan nimɔk fu ki baar kitiŋ pu na.”","And when the child was born, they said, ""Mother, don't worry, we have killed a big animal, we will eat plenty of meat. We will give you some meat, and milk, and good food so that you can care for the child.""",output_proprietary-1
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","ki di mmobim ni tisufar di tii ipeel, ni tiwakor, ni tiwan nimɔk fu ki baar kitiŋ na, ni inyoon, ni li ji ki li ŋmɔ.” Le ni ŋa kina.","that they should build houses and villages should be established, and roads, and they should find water to drink so that the land would be good, and trees, and that they should eat and be satisfied."" That is how it was.",output_proprietary-1
"By the seventh day God had finished his work, and so he rested.","Winlole daal, le Uwumbɔr nan tun lituln mɔmɔk doo, ki kal fuur.","In the evening, when Uwumbɔr had finished cooking the food, he went to sleep.",output_proprietary-1
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Uwumbɔr nan naan dulnyaa aawan mɔmɔk kina la. Edenn Aasaak aabɔr Buyoonn Tidindaan Uwumbɔr nan naan dulnyaa aawan mɔmɔk na,","God loves the world so much. That is why God gave his only Son so that the world may be saved,",output_proprietary-1
"But the Lord told him, “You may eat fruit from any tree in the garden,","Uwumbɔr nan bui u ke, “Aa ga ŋmaa ji ŋisubil ŋi mɔmɔk bi kisaak kee ponn ni na,","The woman replied to him, ""If you don't give me water to drink for my children and animals,",output_proprietary-1
"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Tidindaan Uwumbɔr nan ki bui ke, “Naa ŋan ke uja li bi ubaa. M ga naan uŋeer u ga li ter u na ki tii u.”","The Chief of Tidindaan Uwumbɔr said, ""If you say that the child is not yours. I will find someone who will take him and raise him.""",output_proprietary-1
"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","Aa ga ko le kitotoŋ naa si waahr, le aa nin kan tijikaar ki ji, ki ti saa saakundaal. Le aa ga ki gir koo titan ni; ba pu? aa nyan titan ni la. M nan di titan le naan si, le aa ga ki kpaln titan.”","If you do not give them food, and you do not give them water to drink, they will die of hunger. And if you do not take care of them well; will they not die? I will take care of them so that they do not die, and you will see them grow.",output_proprietary-1
"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,","Le Abel mu nan lik waapiih ponn ni waapihninkpel aah pue ma njan aapihbo u na, ki di toor kitork, ki di tinann ti kpa nkpan na ki tii Uwumbɔr. Le Uwumbɔr pak Abel ni waapiin,","And Abel also brought some of the firstborn of his flock and of their fat portions, and it was pleasing, and it was good and acceptable that he gave to God. And God accepted Abel and his offering,",output_proprietary-1
but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"le ki yii Kainn ni waapiin. Le Kainn gee liŋuul pam, le unimbil wɔb bii.","and he went to Cain with a message. And Cain received the message well, and the people were happy.",output_proprietary-1
“This punishment is too hard!” Cain said.,"Le Kainn bui Uwumbɔr ke, “Aa daa ntafal ki ti chaar jer a.","And Cain said to the Lord, ""My punishment is greater than I can bear.""",output_proprietary-1
"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.","Le Enok mu ma Irad, Irad mu ma Mehujael, Mehujael mu ma Metusael, Metusael mu ma Lamek.","And Enoch begat Irad, Irad begat Mehujael, Mehujael begat Metusael, Metusael begat Lamech.",output_proprietary-1
"Lamech and Adah had two sons, Jabal and Jubal. Their son Jabal was the first to live in tents and raise sheep and goats. Jubal was the first to play harps and flutes.","Jabal aanaal le bi nan yin u ke Jubal, uyaabitiib le ye binib bi pii ki gbaa tiwan ki joo gaa ilahn na.","Jabal's brother whom they called Jubal, he was the ancestor of all those who play the harp and flute.",output_proprietary-1
"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Adam ni upuu nan ki ma ubijabo uken. Le upii ngbaan bui ke, “Uwumbɔr ki tii mi ubijabo u leŋ Abel u Kainn nan ku na aaleleŋ.” Nima pu le u yin u ke Sef.","Adam slept with his wife again and she bore another son. When the child was born she said, ""God has given me another son to replace Abel whom Cain killed."" So they named him Seth.",output_proprietary-1
"Lamech said, “I'll name him Noah because he will give us comfort, as we struggle hard to make a living on this land that the Lord has put under a curse.”","le ki bui ke, “Uwumbɔr aah puun lii kitiŋ pu na, ubo umina pu, le ti ga kan lifuur timi aafalaa ni,” le ki yin u ke Nowa.","and they said to him, ""God has shown you all these things, who is like you, and we will put you over all the land,"" and they called him Nowa.",output_proprietary-1
"Then the Lord said, “I won't let my life-giving breath remain in anyone forever. No one will live for more than","Le Uwumbɔr bui ke, “Binib aah tun titunwanbir pu na, maan ki cha bi li bi ki yunn sakpen. N‑yoonn mue ki joo cha, maan ki cha unibɔn yunn ki ti jer ŋibin nkub ni moninko.”","And God said, ""Since people have become like us, knowing good and evil, I will prevent them from also eating from the tree of life and living forever.""",output_proprietary-1
"But I solemnly promise that you, your wife, your sons, and your daughters-in-law will be kept safe in the boat.","Tɔ, m ga puu tipuur tii si. Aa ni aapuu, ni saabim, ni bipuutiib koo buŋɔb ngbaan ni.","So, I will tell you a story now. It is about children, and animals, and all the people in the world.",output_proprietary-1
"Not a bird, animal, reptile, or human was left alive anywhere on earth.","Le binib, ni tiwakor, ni ipeel, ni inyoon, ni tiwan nimɔk fu, kaa nan bi buŋɔb ngbaan ponn ni na, nan kpo a.","If people, and animals, and birds, and fish, and all living things were, that they should all gather together, they cannot.",output_proprietary-1
"After Noah and his family had left the boat,","Le Nowa nan nyan upuu, ni ujapɔtiib, ni ubipuutiib bu ponn ni.","And Noah went into the ark, with his sons, and his wives with him.",output_proprietary-1
"Noah and his sons, Shem, Ham, and Japheth, left the boat. Ham later had a son named Canaan.","Nowa aajapɔtiib bi nan nyan ni buŋɔb ni na le nan ye Sem, ni Ham, ni Jafef. Ham le nan ye Kanaann yaab aate.","Noah's sons who came out of the ark were Shem, Ham, and Japheth. Ham was the father of Canaan.",output_proprietary-1
"Ham entered the tent and saw him naked, then went back outside and told his brothers.","Ujapɔɔn u bi nan yin u ke Ham, u nan ye Kanaann aate na, nan ti kan ute dɔ uŋmeen, le u buen ti tuk una aabitiib bilee na.","The Japanese and the Chinese and the Ham people, and the Canaanites also, and all those who are their descendants, and their children are scattered in many places.",output_proprietary-1
"he said, “I now put a curse on Canaan! He will be the lowest slave of his brothers.","le Nowa puun lii u pu le ki bui ke, “M puun lii Kanaann pu. U ga li ye una aabitiib aanaagbiija la.","And Noah woke up from his drunkenness and said, ""My youngest son Canaan. He will be a servant to his brothers.""",output_proprietary-1
So the king told his men to let Abram and Sarai take their possessions and leave.,"Ubɔr ngbaan nan cha waanib jenn nyan Abram, ni upuu, ni waawan mɔmɔk, waatiŋ ni.","The Lord appeared to Abram and said, ""To your descendants I will give this land.""",output_proprietary-1
"Abram said to Lot, “We are close relatives. We shouldn't argue, and our men shouldn't be fighting one another.","Abram nan bui Lot ke, “Ti ye mmaal mbaa aanib la, naa ŋan ke timi aanib ngbaan li jaa.","Abram said to Lot, ""Let there be no quarrel between us, because you and I are brothers.""",output_proprietary-1
"King Chedorlaomer and his allies had ruled these last five kings for twelve years, but in the thirteenth year the kings rebelled and joined forces in Siddim Valley, which is now covered by the southern part of the Dead Sea.","Kedolaomer aabɔr le nan joo bi, ki ti saa ŋibin kipiik ni ŋilee, le libiln kipiik ni litatar aayoonn, bibɔrb ngbaan nan kpokl ke baan ki li bi utaab.","Kedolaomer and those who were with him turned back and came to En-mishpat, which is Kadesh, and they conquered all the territory of the Amalekites, and also the Amorites who lived in Hazazon-tamar.",output_proprietary-1
"Their enemies took everything of value from Sodom and Gomorrah, including their food supplies.","Bibɔrb binaa ngbaan aah nan nyaŋ Sodom ni Gomora aabɔrb na, bi nan yoor tiwan mɔmɔk, ki kpee baajikaar mu, le ki di buen.","If the people of Sodom and Gomorrah had seen those miracles, they would have repented long ago, put on sackcloth and ashes, and sat in dust.",output_proprietary-1
"that his nephew Lot had been taken away. Three hundred and eighteen of Abram's servants were fighting men, so he took them and followed the enemy as far north as the city of Dan.","N‑yoonn mu Abram nan ŋun ke bi chuu unaal aajapɔɔn Lot na, le u yin waanib bi to butɔb, ki ye binib ikui itaa ni kipiik ni biniin na, le bi mɔmɔk nan san dii bibɔrb binaa ngbaan, ki ti saa Dann aatiŋ ni.","When Abram heard that his nephew Lot had been captured, he gathered his trained men who were born in his household, three hundred and eighteen men, and pursued them as far as Dan.",output_proprietary-1
"and Abram went after them. He brought back his nephew Lot, together with Lot's possessions and the women and everyone else who had been captured. Abram Is Blessed by Melchizedek","le ki gaa baah nan yoor tiwan nimɔk na. U nan gaa ni unaal aajapɔɔn Lot, ni waawan mɔmɔk, ki kpee bipiib, ni binib bi bibɔrb ngbaan nan chuu bi na mɔmɔk. Melkisedek aah nan ŋa tinyoor ŋa Abram pu pu na aabɔr","and they took all the goods and food. They also took his nephew Lot, and his possessions, and captured the people, and the women and children who were with him. Melchizedek then blessed Abram when he returned from the battle",output_proprietary-1
"and said to Abram: “I bless you in the name of God Most High, Creator of heaven and earth.","le ki ŋa tinyoor ŋa u pu, ki bui ke, “Uwumbɔr u kaa kpa ŋeen aatɔ, ki naan paacham ni kitiŋ na, ŋa tinyoor ŋa Abram pu.","and they said to the men who had come, saying, ""The man who came here last night, bring him out so we may know him,"" to the men of Abram's house.",output_proprietary-1
"Let my share be the food that my men have eaten. But Aner, Eshcol, and Mamre went with me, so give them their share of what we brought back.","Maan gaa nibaa ki li joo, see maanib aah jin tijikaar ti nsan ni na. Tɔ, cha Aner, ni Eskol, ni Mamre aanib bi ter mi na kan baah ban pu na.”","I will not go alone, but my people will go with me to fight them. Therefore, Aner, and Eskol, and Mamre, those who are with me, let them also take their share.",output_proprietary-1
"Then the Lord took Abram outside and said, “Look at the sky and see if you can count the stars. That's how many descendants you will have.”","Le Uwumbɔr nan cha Abram nyan sil lipaal, le ki bui u ke, “Yaar lik paacham, ki pɔɔk aabaa ki kahn iŋmabi; saamaal ponn ni aanib ga li wiir kina la.”","And the Lord appeared to Abram and said to him, ""To your descendants I will give this land; from the river of Egypt to the great river.""",output_proprietary-1
"the Hittites, the Perizzites, the Rephaites,","ni Hef yaab aatim, ni Peris yaab aatim, ni Refa yaab aatim,","and the sons of Heth, and the sons of Perez, and the sons of Repha,",output_proprietary-1
"I will give you and them the land in which you are now a foreigner. I will give the whole land of Canaan to your family forever, and I will be their God.","M ga di kitiŋ ki aa ye uwɔwɔnja ki pu na tii si ni aayaabitiib. Kanaann aatiŋ kee mɔmɔk ga li ye aa ni aayaabitiib yaan, le ki cha n‑yoonn mu kaa kpa ndoon na, le m ga li ye Baawumbɔr.”","I will give you a sign so that you will know that I have sent you. When you have brought the people out of Egypt, you will worship me on this mountain, and that will be the sign that I have sent you.",output_proprietary-1
"I'll have some water brought, so you can wash your feet, then you can rest under a tree.","Cha m ban ni nnyun nan tii nimi, aan ni finn nitaa man; kal busub bue taab, ki fuur man.","If I do not do good things, I will not find good people; when bad things happen, do not blame me.",output_proprietary-1
"After saying this, he rushed off to his herd of cattle and picked out one of the best calves, which his servant quickly prepared.","le ki san buen waanaa ponn ni, ki ti chuu unaa u laa diin ki filk na, le ki cha waanaagbiija kɔr u, ki toor u mala.","and if the woman does not agree, you should leave her alone and go your way, and if the girl follows you, you marry her then.",output_proprietary-1
"?” “Because of them, I won't destroy the city,” was the Lord's answer.","Le Uwumbɔr bui Abraham ke, “M ŋun Sodom ni Gomora aatim aanib aah tun titunwanbir sakpen pu na,","And the Lord said to Abraham, ""If I find in Sodom and Gomorrah fifty righteous people,",output_proprietary-1
