ref,text,translated,source_zip_file
And that's what happened. God made the dome,"Bobiri maa ti seesi du saa, ka seesi ba tiŋŋa.”",Two people cannot sit on one chair at the same time.,output_proprietary
"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Ka Naawunni lee n yeli, “Cheli ti maali nisaaladima, ba ŋmaani ti, ka mari daama, a yi koom puu koroto niŋi, niinsi, a ni tiŋgbaŋŋu buŋkobiri zaa niŋi.”","""And Naawunni said, ""Even if we are poor, they despise us, and we suffer, he has given us a good name, children, and all kinds of blessings.""",output_proprietary
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Naawunni nafa ba, ka yeli, “Ya dogira biisi, a paali tiŋgbaŋŋu maa, ka nyaasira u, a mari daama, a yi koom puu koroto niŋi, saazu niinsi, a ni bini zaa n chaŋina tiŋgbaŋŋu maa niŋi.","And he answered and said, ""The sower went out, he took seeds, and sowed them, some fell on the road with hardness, birds came, and ate all that fell on the road with it.",output_proprietary
"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.","Ka Naawunni nyaasi bunso zaa o n maali maa, ka a veela ga. O zaanoori ni boguuniŋi n daa n niŋi daba ayoobu daari.","When God created all things in the world, he rested. His rest and power are still with us today.",output_proprietary
"By the seventh day God had finished his work, and so he rested.","Daba ayapoin daari Naawunni tuma maa baasi, ka o naa dindaari maa vuusi.","When a person goes to Naawuni market and returns, he brings back news.",output_proprietary
"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.","Moga atadaana maa n niŋi Tigirisi, a zo n yiira Asiriya paaligu n ba wuluŋu pusigu. Moga anaasidaana maa n niŋi Yufireeti.","The first river is called Tigris, it flows east of Assyria. The second river is called Euphrates.",output_proprietary
"But the Lord told him, “You may eat fruit from any tree in the garden,","Ka ti u zaaligu yeli, “E ni tee n di pu maa tiisi zaa wala,","If you hear the proverb saying, ""You have never seen me urinate at all,",output_proprietary
"Your food will be plants, but the ground will produce thorns and thistles.","Tiŋgbaŋŋu maa ni buli matimari ni goosi, ka ya dira moo niŋi tiisi wala.","The hyena went to the bush to look for food, but he didn't find anything to eat.",output_proprietary
"One day, Cain gave part of his harvest to the Lord,","A n daa n ti paa jemani yinni, Keen mari o pu bindira, a ti puusi Naawunni.","And when they came to the place which is called Golgotha, they crucified Jesus.",output_proprietary
"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,","Ka Ebel mi ku o pee bipiiligu, ka naa o zimaŋa ziya puusi Naawunni, a peri Naawunni ga, o deeg o puusigu.","And Abel also brought of the firstlings of his flock and of the fat thereof, and the Lord had respect unto Abel and to his offering.",output_proprietary
“This punishment is too hard!” Cain said.,"Keen yeli Duuma, “M tubidarigirisimaa ba toom ga ti ma.","God said, ""I will not destroy them because of the ten.""",output_proprietary
"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","A jemani maa, Adam ni o poga lee n dogi daba. Poga maa yeli, “Naawunni lee n ti ma ni biduwa, o za Ebel noba niŋi, so Keen n daa n ku la.” O digili o yuuri Sefi.","When Adam was 130 years old, he had a son. The son was like him, ""In his image and likeness, he named him Abel's replacement, because Cain had killed him."" He named his son Seth.",output_proprietary
"Later, Seth had a son and named him Enosh. About this time people started worshiping the Lord.","Niŋi n na, Sefi gba naa poga, a dogi daba, ka digili o yuuri Inosi. A jemani maa n na niriba piili n naa Duuma yuuri kpeesira u.","After that, Seth also grew up, he married a wife, and gave birth to Enosh. He began to call on the name of the Lord at that time.",output_proprietary
When Kenan was,Keenan yuma pisiyapoin ka dogi Mahalali.,Keenan went to visit his friend Mahalali.,output_proprietary
and God took him away at the age of,"Inoki ni Naawunni n daa chaŋina, o naag u du saa, ka o bi kpi.","If God does not help a person, he will work in vain, and he will not succeed.",output_proprietary
and died at the age of,"Matuusala daa niŋini yuma kobsiwai ni pisiyoobu ni awai, ka kpi.","Methuselah lived nine hundred and sixty-nine years, and then he died.",output_proprietary
God knew that everyone was terribly cruel and violent.,"Niŋi n na, Naawunni nyaasi durinye niriba maa, ka ba zaa niŋini yabeniŋiniba.","And now, God has sent us to the world, so that we may become his children.",output_proprietary
"On that day Noah and his wife went into the boat with their three sons, Shem, Ham, and Japheth, and their wives.","Dindaso saa maa n piili n chena n na, Nuhu ni o poga, a ni o biduusi ba boona Sem, Ham ni Jafeti ni ba pogiba kpe ŋariŋu maa.","When the flood waters dried up and receded, Noah and his wife, and his three sons Shem, Ham and Japheth and their wives.",output_proprietary
"By the twenty-seventh day of the second month, the earth was completely dry.",O ŋmerisi ayi daana dapisiyi ni ayapoin n na tiŋŋa daa kuu nyem.,The woman who went to the farm yesterday has not yet returned home.,output_proprietary
The rainbow that I have put in the sky will be my sign to you and to every living creature on earth. It will remind you that I will keep this promise forever.,"M naani m sasuwa niŋi sagbana niŋi, wune n ya n niŋi m naŋgbandigiligu maa teesa ti durinye.",I am the light of the world; whoever follows me will not walk in darkness.,output_proprietary
The rainbow will be the sign of that solemn promise. Noah and His Family,N ŋa naŋgbandigiligu teesa ŋa n na ma naa n tira bunvuusira zaa.” Nuhu ni o biisi yela,"I will build a large boat so that I and my family will not all die."" Noah did what God said",output_proprietary
Noah farmed the land and was the first to plant a vineyard.,"Nuhu daa n niŋini kokpaara, wune n daa n piili n buri binseesi wala ba naa n maana daam.","Noah was a righteous man, he was blameless among the people of his time.",output_proprietary
So the king told his men to let Abram and Sarai take their possessions and leave.,"Naaba maa ti o nivusi mari Abram yi paaligu maa niŋi, a ni o poga ni binseesi zaa ba n mari.",God had told Abram that his descendants would be as numerous as the stars.,output_proprietary
"Abram said to Lot, “We are close relatives. We shouldn't argue, and our men shouldn't be fighting one another.","Niŋi n na, Abram yeli Loti, “Ti niŋini dogim luŋko, a bi daga e buŋkokpagiriba ni m buŋkokpagiriba ba zabira,","Then Abram said to Lot, ""Let there be no strife between us, and between my herdsmen and your herdsmen,",output_proprietary
"was full of tar pits, and when the troops from Sodom and Gomorrah started running away, some of them fell into the pits. Others escaped to the hill country.","Sidim falimini maa zaa daa niŋini kootaali boga, jemanso Sodom ni Gomora nadima n zora maa, niriba maa seesi li kootaali boga maa puusi, ka ba seesi zo n du zoori zu.","Just as fire came down from heaven and destroyed the cities of Sodom and Gomorrah, so also the Son of Man will be revealed in the same way.",output_proprietary
"and Abram went after them. He brought back his nephew Lot, together with Lot's possessions and the women and everyone else who had been captured. Abram Is Blessed by Melchizedek","ba va binseesi zaa ba n naa maa. Ka mari Loti ni o bunso zaa, a ni pogiba ni nivuseesi zaa ba n ma n gaari la pori n ta. Seema Mekizade n nafa Abram n ŋa","They were relatives and they lived together. When Lot and his livestock also increased, there was not enough land for them to live together in that place. Then Melchizedek met Abram and said",output_proprietary
"and said to Abram: “I bless you in the name of God Most High, Creator of heaven and earth.","a nafa u yeli, “Naawunni nakarigu la, so n maali saazu ni tiŋŋa la, o nafa Abram.","And he said to him, ""I am the LORD who brought you out of Ur of the Chaldeans to give you this land to possess, O Abram.""",output_proprietary
"The king of Sodom said to Abram, “All I want are my people. You can keep everything else.”","Sodom naaba yeli Abram, “Mari binseesi zaa e n ma n ta la, ka naa niriba la wune ti ma.”","The king of Sodom said to Abram, ""Give me the people and take the goods for yourself.""",output_proprietary
"Let my share be the food that my men have eaten. But Aner, Eshcol, and Mamre went with me, so give them their share of what we brought back.","M ki naa sen zaa, ama binseesi m toozabiriba n di la ko. Ama, tori n ti seesi n paasi n niŋi la Aneri, Esikol, a ni Mamiri.","I will not tell a lie, but I will tell you the truth about what happened. But, because I did not pass through Aneri, Esikol, and Mamiri.",output_proprietary
"Then the Lord took Abram outside and said, “Look at the sky and see if you can count the stars. That's how many descendants you will have.”","Duuma mari u yi yaŋŋa, ka yeli u, “Nyaasi sagbana zu, ka niŋi aniya kaali ŋmeribiisi a, lala n na e yaŋsi ya n sagi.”","The man went to him and said to him, ""Friend, come out and give me four hundred coins, so that I may go and buy what I need.""",output_proprietary
Abram obeyed the Lord. Then he cut the animals in half and laid the two halves of each animal opposite each other on the ground. But he did not cut the doves and pigeons in half.,"Abram mari lala buŋkobiri maa ti ti Naawunni, ka kasigi a, ayaayi, a digili a bobaayi a tooli taaba, ama niinsi la wune, o bi kasigi a.","Abram went and brought the animals to the Lord, and cut them, that is, he divided their bodies into two parts, but the birds he did not cut them.",output_proprietary
"Hagar stopped to rest at a spring in the desert on the road to Shur. While she was there, the angel of the Lord came to her","Duuma malaaka wa ti paa Heega, a yi bulugu n ba Sora soori, tambisigu tiŋgbaŋŋu niŋi.","The angel of the Lord found her beside a spring in the desert, the spring that is beside the road to Shur.",output_proprietary
God finished speaking to Abraham and then left.,"Jemanso Naawunni n togsi Ibrahim saani baasi, o gaari.","Jemanso Naawunni is better than Ibrahim's child, he is good.",output_proprietary
"Abraham and Sarah were very old, and Sarah was well past the age for having children.","Ibrahim ni Saara zaa daa n kurigini, haali, Saara daa n bi lee n pegira.","Ibrahim and Sarah were already old, and Sarah had stopped menstruating.",output_proprietary
"I am the Lord! There is nothing too difficult for me. I'll come back next year at the time I promised, and Sarah will already have a son.”","Ya bo n ba toom ti Duuma? A maa seema ni yeli la, yumini jemani a zu, m ni lee n pori n ta, ka Saara dogi biduwa.”","Have they not told you about Duuma? If you see him with a woman, or if you hear that he has married, then you can come and spit in my face, and Sarah will give birth to a boy.",output_proprietary
"Finally, Abraham said, “Please don't get angry, Lord, if I speak just once more. Suppose you find only","Ibrahim yeli u, “Jaande, da ti e suuri nyisigi, Duuma, m kpabira n togsi bunluŋko paasi. Ka nivusi pii ko ba niŋi?” O yeli u, “M ki muri ba, ka niriba pii ko ba niŋi.”","Ibrahim said, ""Lord, if I have found favor in your sight, O Lord, I ask that you do not pass by your servant. Let water be brought so they may wash their feet."" He said, ""I will not leave until the people wash their feet.""",output_proprietary
"But Lot kept insisting, until they finally agreed and went home with him. He quickly baked some bread, cooked a meal, and they ate.","O suusi ba ga, ba sagi, ka we o laanta, o niŋi bindira ti ba, ba di.","The horse that they bought, they sold, and you the goat, you gave money to them, they ate.",output_proprietary
and told Abraham he could settle anywhere in his country.,"Ka yeli Ibrahim, “M tiŋgbaŋŋu n na la, seela zaa n peri i, e zima.”","Ibrahim said, ""My Lord, if I have found favor with you, do not pass by.""",output_proprietary
"Abraham named his son Isaac,",Ibrahim digili o yuuri Yisaaka.,Ibrahim begot Isaac.,output_proprietary
"The time came when Sarah no longer had to nurse Isaac, and on that day Abraham gave a big feast. Hagar and Ishmael Are Sent Away","Niŋi n na, bii maa n karigi, dindaso ba n ŋma u bisiri, Ibrahim daa n ti ba di sufupeelim bindirigbaliŋu. Ba kari Heega ni Isimeel","At that time, when he was old, before he died, Abraham called his two sons together. They were called Isaac and Ishmael",output_proprietary
"Now I want you to promise in the name of God that you will always be loyal to me and my descendants, just as I have always been loyal to you in this land where you have lived as a foreigner.”","A zu, pe Naawunni maa, e ki yomsi m ni m biisi ni m yaŋsi zaa. Jemandamta zaa, m paasira e niŋi, a zu, pe n ti ma maa, e ni paasi m ni m paaligu so niŋi e n niŋi saanaa.”","And then, when Naawunni came, he said he would give me my children and my wives all. Every day, I would wait for him to come, and then, when he didn't come, he would send me my friend or something like that to come and see me.",output_proprietary
"Abraham gave Abimelech some sheep and cattle, then the two men made a peace treaty.","Niŋi n na, Ibrahim naa peeri ni naagi ti Abimeliki, ba bayi maa zaa niŋi naŋgbanluŋko.","After this, Abraham stayed in the land of Abimelech, and they lived there for many days.",output_proprietary
"Abraham replied, “I want you to accept these seven lambs as proof that I dug this well.”","Ibrahim yeli u, “Dee pesaasi ayapoin ŋa. Ka e niŋi lala, e sagini maa mani n gbi bulugu a.”","Ibrahim said, ""Give me the money now. If you don't give it, you will see what I will do to you.""",output_proprietary
Abraham planted a tamarisk tree in Beersheba and worshiped the eternal Lord God.,"Niŋi n na, Ibrahim buri tiya, a yi Beesiiba, ka puusi Duuma, Naawunni so n ba niŋi wara saŋa ni saŋa zaa la.","After that, Abraham got up, left Beersheba, and went to the land of Moriah, where God had told him to go.",output_proprietary
"He told his servants, “Stay here with the donkey, while my son and I go over there to worship. We will come back.”","Niŋi n na, Ibrahim yeli o gurunsi maa, “Ya ni buŋaa, ya ba kpe, ka m ni biyaa ti gaa sunsuwaa niŋi, a wa ti puusi Naawunni, ka ta.”","When this happened, Abraham said to his servants, ""You stay here with the donkey, and I and the boy will go to that place to worship God, and we will return.""",output_proprietary
"Abraham named that place “The Lord Will Provide.” And even now people say, “On the mountain of the Lord it will be provided.”","Niŋi n na, Ibrahim digili nisaaniŋi yuuri “Duuma ni ti.” Halli zinni, niriba na yetirini, ni Naawunni zoo zu, o ni ti.","When the time came, Abraham named his son ""Laughter."" Because of that, people still call him Isaac, which means laughter.",output_proprietary
"You were willing to offer your only son to the Lord, and so he makes you this solemn promise,","Duuma yeli, “A kpali, e n bi zagsi e n di naa e biluŋko nyisi sariga ti ma la zu, m pe m maŋŋa yuuri niŋi maa,","The man said, ""My friend, if you don't show me where you got this beautiful thing from, I will cut off your head,""",output_proprietary
"Then Laban said, “The Lord has brought you safely here. Come home with me. There's no need for you to keep on standing outside. I have a room ready for you in our house, and there's also a place for your camels.”","O yeli u, “Chena, nyini so Duuma n nafa, bo n na e za yaŋŋa? M maali dii zaali i, e nyogimasi ŋa gba zii ba niŋi.”","He said, ""But if God loves me, why did this happen to me? I have no children, and my husband's other wives have many children.""",output_proprietary
The servant explained: I am Abraham's servant.,"Niŋi o yeli, “Ibrahim guruŋu n niŋi ma.","He said, ""I am Abraham's servant.""",output_proprietary
At that time Isaac was living in the southern part of Canaan near a place called “The Well of the Living One Who Sees Me.”,"Yisaaka daa n yini buluguso ba n boona nyevuri daana bulugu so n nyaara ma, tambisigu tiirigu, a wa ti ba Keenan kiŋkagili sazu Negef.","Isaac was still living in the wells that they had dug during his father's time, the Philistines having filled them, and he went to the Canaanite town called Negev.",output_proprietary
