ref,text,translated,source_zip_file,similarity_score,chrf_sentence,corpus_bleu,corpus_chrf
"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Ka Naawunni lee n yeli, “Cheli ti maali nisaaladima, ba ŋmaani ti, ka mari daama, a yi koom puu koroto niŋi, niinsi, a ni tiŋgbaŋŋu buŋkobiri zaa niŋi.”","Then Naawunni said to me, ""Child, listen well, don't sleep yet, come quickly; we will beat loud drums for me, and bring me plenty of food.""",Dec 08 output,,21.49704129801115,7.103702656973528,5.005666792595392
God knew that everyone was terribly cruel and violent.,"Niŋi n na, Naawunni nyaasi durinye niriba maa, ka ba zaa niŋini yabeniŋiniba.","I and mine, I see the people from the village here today, and they will go to my family's home",Dec 08 output,,15.20491424213884,7.103702656973528,5.005666792595392
"Abraham and Sarah were very old, and Sarah was well past the age for having children.","Ibrahim ni Saara zaa daa n kurigini, haali, Saara daa n bi lee n pegira.","Ibrahim says Sarah is my wife; but Sarah, I love you very much.",Dec 08 output,,18.375141301739767,7.103702656973528,5.005666792595392
"Jacob sent for Rachel and Leah to meet him in the pasture where he kept his sheep,","Yakubu ni wumi n ŋa, o tolimi n yeli Rachel ni Liya, ni ba ta o saani, seela o ni buŋkobiri n be la.","Yakubu is singing with joy, he is loudly shouting Rachel in Liya; if she gives him satisfaction, he is always proud.",Dec 08 output,,18.228825954718435,7.103702656973528,5.005666792595392
"Jacob sent messengers on ahead to Esau, who lived in the land of Seir, also known as Edom.","Niŋi n na, Yakubu tumi o tumusi, ba pa yii we o beeri Isawu saani, a yi Seya n ba Idom paaligu.","Listen, I say, Yakubu says that they say, do not do this that you need small Isawu, we do Seya and give Idom protection.",Dec 08 output,,18.930241482073324,7.103702656973528,5.005666792595392
"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Ka Naawunni lee n yeli, “Cheli ti maali nisaaladima, ba ŋmaani ti, ka mari daama, a yi koom puu koroto niŋi, niinsi, a ni tiŋgbaŋŋu buŋkobiri zaa niŋi.”","Then Naawunni said to him, ""These are the numerous cows, but the small ones—take them, and we will store in the storehouse here and there; our abundant food supplies will be here.""",onesimus_31223989_Dec 12 output,,29.195654329003606,7.103702656973528,5.005666792595392
God knew that everyone was terribly cruel and violent.,"Niŋi n na, Naawunni nyaasi durinye niriba maa, ka ba zaa niŋini yabeniŋiniba.","I and you, Naawunni sleeps under the house at night, and will come to my beloved",onesimus_31223989_Dec 12 output,,16.47468392728343,7.103702656973528,5.005666792595392
"Abraham and Sarah were very old, and Sarah was well past the age for having children.","Ibrahim ni Saara zaa daa n kurigini, haali, Saara daa n bi lee n pegira.","Ibrahim is in Sarah's situation, condition; Sarah and I always pray.",onesimus_31223989_Dec 12 output,,19.47231293697702,7.103702656973528,5.005666792595392
"Jacob sent for Rachel and Leah to meet him in the pasture where he kept his sheep,","Yakubu ni wumi n ŋa, o tolimi n yeli Rachel ni Liya, ni ba ta o saani, seela o ni buŋkobiri n be la.","Yakubu and Wumi are coming, he is shouting Rachel in Liya, when she gives him peace, then he is in trouble.",onesimus_31223989_Dec 12 output,,24.726455165042857,7.103702656973528,5.005666792595392
"Jacob sent messengers on ahead to Esau, who lived in the land of Seir, also known as Edom.","Niŋi n na, Yakubu tumi o tumusi, ba pa yii we o beeri Isawu saani, a yi Seya n ba Idom paaligu.","Listen now, Yakubu says they say, but this matter that he needs help from the people—we do the work and then finish it together.",onesimus_31223989_Dec 12 output,,17.704827888597155,7.103702656973528,5.005666792595392
"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Ka Naawunni lee n yeli, “Cheli ti maali nisaaladima, ba ŋmaani ti, ka mari daama, a yi koom puu koroto niŋi, niinsi, a ni tiŋgbaŋŋu buŋkobiri zaa niŋi.”","Then Naawunni said, ""O child who bears sickness from the afflicted, but you are a wise one, so let us act—we will make a small pot house for you, for us, and we will take care of the sickness from you.""",john_AC86BE0F_output (5),,27.17680934070752,7.103702656973528,5.005666792595392
God knew that everyone was terribly cruel and violent.,"Niŋi n na, Naawunni nyaasi durinye niriba maa, ka ba zaa niŋini yabeniŋiniba.","I and my people have seen the people of the village here now, and they will return to my house",john_AC86BE0F_output (5),,17.476441755120685,7.103702656973528,5.005666792595392
"Abraham and Sarah were very old, and Sarah was well past the age for having children.","Ibrahim ni Saara zaa daa n kurigini, haali, Saara daa n bi lee n pegira.","Ibrahim says Sarah is going to my home, and Sarah and I will follow her.",john_AC86BE0F_output (5),,27.37285097029931,7.103702656973528,5.005666792595392
"Jacob sent for Rachel and Leah to meet him in the pasture where he kept his sheep,","Yakubu ni wumi n ŋa, o tolimi n yeli Rachel ni Liya, ni ba ta o saani, seela o ni buŋkobiri n be la.","Yakubu is singing with joy, he is shouting loudly for Rachel in Liya; if she gives him satisfaction, he always wears pride.",john_AC86BE0F_output (5),,23.10308600554068,7.103702656973528,5.005666792595392
"Jacob sent messengers on ahead to Esau, who lived in the land of Seir, also known as Edom.","Niŋi n na, Yakubu tumi o tumusi, ba pa yii we o beeri Isawu saani, a yi Seya n ba Idom paaligu.","I say, Yakubu speaks, they say, but concerning this matter that they seek from the people's elders, we establish Seya and associate with the Idoma council",john_AC86BE0F_output (5),,18.692479859804248,7.103702656973528,5.005666792595392
