text,ref,Unnamed: 2,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Then, let’s try to eat foods that help the liver healthy, some like onion, ginger, lime and varieties of vegetables.","Afei, yɛmmɔ mmɔden sɛ yɛbɛdi nnuane a ɛboa brɛboɔ no apɔmuden, bi te sɛ gyeene, anwoo, akekaduro, akutoɔ ne atosodeɛ ahodoɔ.",,"{""result"":""Afei, momma yɛnhwɛ sɛ yɛbɛdidi nnuan a ɛboa ma akɔm ho tɔ no yiye, ebi te sɛ nam, nkyenkyen, nkekye ne afifide ahorow.""}",run1,30.344892732037003,5.584506799191252,5.572755417956656
"Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.",,"{""result"":""Ebi fa nneyɛe a ɛsɛ sɛ yɛyɛ de nya apɔwmuden ho, ebi nso fa aduan a ɛsɛsɛ yedi, nnuru a ɛsɛs sɛ yɛtumi nom ne dodow a ɛsɛse sɛ yɛfa mu ho.""}",run1,44.411673674684096,5.584506799191252,5.572755417956656
Some have expressed respect for him for the steps he has taken to make his family a priority.,Ebinom akyerɛ obuo a wɔanya ama no ɛnam anammɔn a watu na wama n'abusua ayɛ ade titire ama no no nti.,,"{""result"":""Ebinom akyerɛ obu ama no wɔ anammɔn a watwa de ama n'abusua aba kan no ho.""}",run1,49.86592554115159,5.584506799191252,5.572755417956656
It can cure chickenpox.,Ɛtumi sa borɔmpete,,"{""result"":""Ebetumi asa yare a wɔfrɛ no pox.""}",run1,18.323180652865762,5.584506799191252,5.572755417956656
Doctors say women tend to develop this problem more quickly than men because their ducts that carry urine from the bladder to the street are shorter than men's.,"Adɔkotafoɔ kyerɛ sɛ mmaa taa nya saa ɔhaw yi ntɛntɛm so sene mmarima ɛfiri sɛ, wɔn drobɛn a ɛgye dwonsɔ firi dwonsɔtwaa no hɔ de ba abɔntene no yɛ tia sene mmarima deɛ.",,"{""result"":""Aduruyɛfo ka sɛ mmea taa nya ɔhaw yi ntɛm sen mmarima efisɛ wɔn ntini a wɔde ntini fi ntini mu kɔ mmɔnten so no yɛ tiaa sen mmarima de no.""}",run1,35.4311314229531,5.584506799191252,5.572755417956656
It is said that the extortion used by Nana Agradaa to extort money from the people has now reached his temple.,"Wɔkyerɛ mu a, apoobɔ a na Nana Agradaa de di dwuma gye ɔmamfoɔ sika firi wɔn ho no, wasane de aduru n'asɔrefie seesei nso.",,"{""result"":""Wɔka sɛ Nana Agradaa a ɔde sika sisi nkurɔfo no de agye wɔn no adu n'asɔredan mu.""}",run1,30.31856370797889,5.584506799191252,5.572755417956656
A study of lentils from 1996 - 2020 found that eating two large lentils a day can protect against cancer.,"Nhwehwɛmu bi a animdefoɔ binom yɛ faa mmire ho firi 1996 - 2020 daa no adi sɛ, sɛ onipa tumi di mmire akɛseɛ mmienu da koro a, ɛtumi bɔ ne ho ban firi kokoram yareɛ no ho.",,"{""result"":""Nhwehwɛmu bi a wɔyɛe wɔ kɔbere ho fi afe 1996 - 2020 mu no daa no adi sɛ sɛ wodi kɔbere akɛse abien da biara a ebetumi abɔ wo ho ban afi kokoram ho.""}",run1,38.90441108381805,5.584506799191252,5.572755417956656
"In most cases, what happens is that the person ends up not caring about their appearance anymore.","Mpɛn pii no, deɛ ɛtaa si ne sɛ, saa nipa no mfa n'ahonidie ho koraa.",,"{""result"":""Mpɛn pii no, nea ɛba ne sɛ onipa no ani mpa ne ho bio.""}",run1,33.32935559860669,5.584506799191252,5.572755417956656
"Apart from Vitamin E which helps cleanse the body, Vitamins B1, B3, B6 and B12 all help the body fight against asthma","Vaetamɛn E a ɛboa hohoro nipadua no mu no da nkyɛn a, Vaetamɛn  B1, B3, B6 ne B12 nyinaa boa ma nipadua no ko tia asikyire yareɛ.",,"{""result"":""Ɛmfa ho Vitamin E a ɛboa ma nipadua no ho tew no, Vitamin B1, B3, B6 ne B12 nyinaa boa nipadua no ma ɛko tia ɔhyew ""}",run1,52.671799142802534,5.584506799191252,5.572755417956656
"Then, he was released from prison and became a leader in charge of various government agencies.","Afei, wɔyii no firii afiase maa no bɛyɛɛ ɔkannifoɔ a na ɔda aban nnwuma ahodoɔ ano.",,"{""result"":""Afei, woyii no fii afiase ma ɔbɛyɛɛ aban dwumadibea ahorow bi panyin.""}",run1,37.54602172890462,5.584506799191252,5.572755417956656
This help the brain to have enough rest and energy to perform its task correctly.,Wei bɛboa ama adwene no anya ahoɔden a ɛhia de adi ne dwuma nyinaa.,,"{""result"":""Eyi boa ma amemene no nya ahomegye ne ahoɔden a ɛfata de yɛ n'adwuma yiye.""}",run1,36.97945132436273,5.584506799191252,5.572755417956656
