ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
"A year later King Chedorlaomer and his allies attacked and defeated the Rephaites in Ashteroth-Karnaim, the Zuzites in Ham, and the Emites in Shaveh-Kiriathaim.","Na afoɛ bɔ ɔtɔ so buru ne nna ne anu, Kedolaoma ne ahemvo mɔ bɔ bɛwɔ ye bue nu ne, bɛɛbole Refaimfoɛ wɔ Asterote Kanaim, Susimfoɛ wɔ Ham, Emimfoɛ wɔ Sawe Kiriatim,","And he divided the land and gave it to the tribes of Israel, to Reuben, to Simeon, and to Levi, to Judah, to Issachar, to Zebulun, to Naphtali, to Dan, to Asher, to Joseph, to Benjamin, to the tribe of Refaim in Asterote Kanaim, to the tribe of the Zuzim in Ham, to the tribe of the Emim in Sawe Kiriath.",0.38156548,output_mich001,2.7650995236638423,32.110465403670226,17.437782463667034
"Rachel said, “I've struggled hard with my sister, and I've won!” So she named the boy Naphtali.","Na Rahɛl hane kyɛ, “Apereapereɛ yeɛ me ne nniɛma brasua ye yapere ɔ, na mali ye so ngonim.” Yiti ɔtole ye dumaa Nafetali.","Rachel said to him, “Give me children, or I will die.” She said to him, “If you do not give me children, I will die.”",0.4841321,output_mich001,2.9561645124389617,22.69481200662779,12.825488259533376
and the muscle on his hip joint had been injured. That's why even today the people of Israel don't eat the hip muscle of any animal.,"Yiti ɔbaadwu ɛnɛ ye, Yisraelfoɛ nni ndii bɔ ɔsɔ adwonguɛ so ne, ofikyɛ abɔfo ne bɔle Yakob taku so ndii so.","The Lord your God is one, the Lord is one. You shall have no other gods before him.",0.117777675,output_mich001,1.712583059535944,13.548908354909047,7.630745707222496
"Laban said to Jacob, “Leah and Rachel are my daughters, and their children belong to me. All these sheep you are taking are really mine too. In fact, everything you have belongs to me. But there is nothing I can do to keep my daughters and their children.","Na Laban buale Yakob kyɛ, “Ndaluwa ye mɔ, me bɔbɔ me mma ɔ, ngwadaa ye mɔ koso, me bɔbɔ me nnomaa ɔ, na ngaka kure ne ɔne bɔ wɔ nye tua ye amu, me deɛ ɔ. Nakoso me mma mmrasua anaakyɛ bɛ mma bɔ bawo bɛ ye, nzikyɛ yeɛ ngɔhora ngɔyɔ ngɔfa bɛ nwo ɛnɛ ɔ?","Jacob said to Laban, ""I have served you for many years. I have been faithful to you, and I have been a good servant to you. Now it is time for me to go back to my own land. I have served you long enough. I have no children, and I have no wife. I want to go back to my own people and start a family. What do you say?""",0.7467539,output_mich001,1.9779222026498005,26.229084450656003,14.103503326652902
Jacob became very angry and said to Laban: What have I done wrong? Have I committed some crime? Is that why you hunted me down?,"Yiti Yakob fɛle ɛyaa, na ɔbɔle Laban kwaadu kyɛ, “Me mvomsoɛ ole sɛɛ? Ɛtɛɛ beni yeɛ mayɔ bɔ yeɛ egu me so anyeborolɛ so sɔa ye?","Yiti Yakob saw the man and said to Laban, ""What is your name? Is it not true that I have been told that you have a daughter? Please tell me about her.""",0.49513996,output_mich001,8.75325072403355,29.64801180125377,19.20063126264366
"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Na Nyameɛ hane kyɛ, “Nzue ɔlɔ abɔdeɛ ahoroɔ pee bɔ bele ngoa ɔ, ná nnomaa koso bétu bɛ́fa aseɛ so wɔ ewienu!”","The Lord said, ""Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after its kind, whose seed is in itself, on the earth!""",0.5383548,output-onesimus_003,3.4889388722622328,23.505542493441983,13.497240682852107
"During their time there, Jacob's oldest son Reuben slept with Bilhah, who was one of Jacob's other wives. And Jacob found out about it. Jacob's Twelve Sons","Mmerɛ bɔ né Yisrael te sɔ aseɛ ne aso nen, Ruben ne ye baba sómaa Bilha bɛlale, na Yisrael tele sɔ dwirɛ ne. Né Yakob mma mmienzua nemɔ bɛte buru ne nyɔ:","The sons of Israel were born in Egypt, Reuben, the firstborn, was the son of Leah, Bilha, the maidservant of Leah, and Israel had many sons.",0.690909,output-onesimus_003,1.82680755836395,20.9812883494916,11.404047953927774
The king told Joseph: I dreamed I was standing on the bank of the Nile River.,"Yeɛ Faro ha hyirele Yosef kyɛ, “Tie, laleɛ ne anu, né ngyi asue Naele noa.","Then Pharaoh said to Joseph, ""Look, I have set you over all the land of Egypt.""",0.5906303,output-onesimus_003,2.7156804039319287,19.467097829927084,11.091389116929506
"When Jacob got up early the next morning, he took the rock that he had used for a pillow and stood it up as a place of worship. Then he poured olive oil on the rock to dedicate it to God,","Yiti Yakob dwɔsole ngyerɛmɔ tutututu, na ɔfale nyɔboɛ bɔ ɔfa suane ne, na ɔfa penane berɛ kyɛ ngayeɛ nyɔboɛ, na ohwiele ngoo guale so.","Yiti Yakob wrote a very small letter, and he put it in a small bag, and he put the bag in his pocket, and he put his pocket in his clothes, and he went out.",0.36122197,output-onesimus_003,1.5138967262833856,18.353217783393468,9.933557254838426
"So they called the place Beersheba, because they made a treaty there.","Yiti bɛfrɛle berɛ Beɛ Hyeba, ofikyɛ berɛ yeɛ bɛ munyɔ bɛtale ndaen ɔ.","When they called him Beɛ Hyeba, he went to the office and they gave him money.",0.32183653,output-onesimus_003,5.653041175801492,29.49966273867078,17.576351957236135
"Now I am going down to see for myself if those people really are that bad. If they aren't, I would like to know.”","ngodwu ngɔɔnea sɛ bɔ bayɔ ne, ye nwo abubue yeɛ waadwu me nyunu ne anaa. Na sɛ nna sɔ yeɛ ɔte hɔ a, ngonwu ye.”","If you see someone being wronged, and you do not help them, then it is as if you have wronged them yourself. And if you see someone being wronged and you do not speak out against it, then you are also guilty.",0.19873857,output_datgerhardt,1.2642975505530563,18.73375899985768,9.999028275205369
"She kept begging Joseph day after day, but he refused to do what she wanted or even to go near her.","Ɔwɔ nu kyɛ daa biala né ɔka sɔ dwirɛ ne kyire Yosef de, nakoso Yosef ambene so ɔne ye banna anaakyɛ wanga wangɔ ye nwo.","And it came to pass in those days that Joseph went out to see the land, and he came to Shechem, and he saw a woman there, and he took her, and she became pregnant.",0.5362495,output_datgerhardt,1.5450766293655125,24.188197629075113,12.866637129220312
"Rachel said, “Father, please don't be angry with me for not getting up; I'm having my period.” Laban kept on searching, but still did not find the idols.","Na Rahɛl sele ɔse kyɛ, “Nnɛma me mene fɛ ɛyaa kyɛ mengɔhora dwɔso wɔ wɔ nyunu ɔ, ofikyɛ mabu me sa.” Yiti Laban hɔle so penane, nakoso wannwu ye awuro mmosoen nemɔ.","Rachel said to her father, “Please give me the younger one, for the older one is not good enough for me. I will serve you.” Laban agreed to her request and said to her, “It is better for you to serve me for seven years than to marry the older one.”",0.579131,output_datgerhardt,3.9278746074589157,29.55745940450764,16.74266700598328
Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"Nyameɛ yirale bɛ, na ɔhane kyɛ, “Ɛ́mɔwo ná ɛmɔlɔ pee, ná ɛ́mɔyi ɛpo nu tɛkyɛ; nnomaa koso ɛ́mɔta pee wɔ aseɛ so!”","God is great, and his power is mighty, “He who has the power to create, also has the power to destroy; the earth trembles before his power!",0.37223133,output_datgerhardt,1.9508315563589544,19.15182196467332,10.551326760516137
"Jacob was so frightened that he divided his people, sheep, cattle, and camels into two groups.","Edwirɛ ne mane ɛserɛ piri hane Yakob; ɔhyɛle mmenia bɔ né bɛboka ye so ne anu nyɔ, ɔne mmoaen ne nandwie ne mbɔngɔ mɔ koso nu kure nyɔ.",Edwriɛ and his men were very angry with Jacob; they took his wives and children and put them on the ground and beat them and took their goods and put them in a pile.,0.6104214,output_datgerhardt,1.4500372328365223,21.537879249379753,11.493958241108137
"Ezer's sons were Bilhan, Zaavan, and Akan.","Esere mma mmienzua mɔ ɛhe: Bilhan, Saawan na Akan.","Good morning to you all: Bilhan, Saawan and Akan.",0.3109129,output_mich002,15.851165692617148,33.09440924972215,24.472787471169646
"The sun was coming up as Lot reached the town of Zoar,","Lɔto dwuli Soa nen, né eyia apukye aseɛ so.","Let us go to Soa, and we will eat on the ground.",0.21745469,output_mich002,3.377156414337854,15.648465406979792,9.512810910658823
"Lot, who was traveling with him, also had sheep, goats, and cattle, as well as his own family and slaves.",Né Lɔto bɔ ɔne Abram bɛnate ne koso ole mmoaen ne nandwie ne ɛtena sua mɔ.,"Then Lot chose for himself all the land of the Jordan Valley and set out eastward. So they separated from each other. Abram lived in the land of Canaan, and Lot lived in the cities of the Jordan Valley.",0.5556736,output_mich002,2.1432834272474053,20.121594690248628,11.132439058748016
"I asked her who her father was, and she answered, “My father is Bethuel the son of Nahor and Milcah.” At once I put the ring in her nose and the bracelets on her arms.","Na mmisale ye kyɛ, ‘Nwa awa ole wɔ?’ Obuale kyɛ, ‘Nahɔ ne ɔye Milka awa bienzua Betuel ɔwa ole me.’ Na mvale bonyi kaa ne nwurale ye, yeɛ bɛ sa kɔm ngaa ne koso mva nwurale ye.","And the woman said to him, 'Where are you from?' He said to her, 'I am from Haran, the land of Nahor, my father's father.' Then she took some of the fruit and gave it to her companion, and they both went to the city.",0.4604131,output_mich002,2.6016501843847575,28.375506973930403,15.48857857915758
"Jacob told them to say to Esau, “Master, I am your servant! I have lived with Laban all this time,","na ɔhyɛle bɛ kyɛ, “Ɛmɔɔse me mene Yisɔ kyɛ, “W’akoaa Yakob nwa: ‘Ngɔndenane Laban berɛ, na matena berɛ maa waadwu sɔ mmerɛ ye.","And it came to pass, that when the time was come, that he said, ""I will go up to Jerusalem,"" he said unto his disciples, ""Behold, we go up to Jerusalem, and the Son of man shall be betrayed unto the chief priests and scribes, and they shall condemn him to death, and deliver him to the Gentiles to mock, and to scourge, and to crucify him.""",0.3313459,output_mich002,0.7056880753836703,19.033742155568707,9.869715115476188
the Lord helped him and was good to him. He even made the jailer like Joseph so much that,"Nakoso AWURADE gyinane Yosef si, na ɔlole ye; onwuni ye anwumvoin maa kuku nu neafoɛ ne hurole ye dwirɛ.","Joseph, the son of Jacob, was sold into slavery; his brothers plotted against him and sold him to Egypt.",0.5168381,nsanku_output_kcn,4.657469807170696,24.41143028934263,14.534450048256662
"Jacob then gave Esau some bread and some of the bean stew, and when Esau had finished eating and drinking, he just got up and left, showing how little he thought of his rights as the first-born.","Afei Yakob mane Yisɔ paanoo ne ngongo abomu ne bie. Odidili, ɔnone, na odwɔsole hɔle. Yiti Yisɔ ammu ye bamuɛbaa dibea ne huu.","Then Jacob said, ""I have seen God face to face, and my life has been preserved. This is why I said, 'I will surely return to my father's house.'""",0.40652078,nsanku_output_kcn,2.3539745572285757,16.969292840793422,9.661633699010999
"When the man saw that he could not win, he struck Jacob on the hip and threw it out of joint.","Na biaa ne nwuni ye kyɛ ɔngora nni Yakob so ngonim ne, ɔbɔle Yakob taku so, na Yakob dwongu fandili wɔ ngɔtɔfaen ne anu.","And it came to pass that the Lord appeared to Jacob in a dream, and he dreamed that he was ascending a ladder, and behold, the angels of God were ascending and descending on it.",0.32123166,nsanku_output_kcn,2.952464657861394,23.383715150595812,13.168089904228603
"When your father said the speckled sheep would be my wages, all of them were speckled. And when he said the spotted ones would be mine, all of them were spotted.","Sɛ ɔka kyɛ, ‘W’akatuaa kɔyɛ ngaka bɔ bɛ nwo te ndetaa ndetaa ne’ a, né ngaka ne amu bawo anwo ndetaa ndetaa. Yeɛ sɛ ɔka kyɛ w’akatuaa kɔyɛ ngaka bɛ nwo te kyerekyerɛɛ ne a, né ngaka ne amu bawo anwo kyerekyerɛɛ.","If he says, 'I have not done anything wrong,' then the doctor will say nothing to him. If he says, 'I have not done anything wrong,' then the doctor will say nothing to him.",0.21037139,nsanku_output_kcn,1.4204962126567007,16.24715507609747,8.833825644377086
"Rachel named him Dan, because she said, “God has answered my prayers. He judged in my favor and has given me a son.”","Na Rahɛl hane kyɛ, “Nyameɛ ali me dwirɛ ama me. Watie me dwirɛ na wama me baa bienzua,” yiti ɔtole ye dumaa Dan.","Rachel said to him, “God give me children, or else I die!” She said this to her husband Dan.",0.71432734,nsanku_output_kcn,3.9829038858363512,23.968318878593873,13.975611382215112
