ref,text,translated,source_zip_file,bleu_score,chrf_score,avg_score
"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","Abalofo osuɔtɔbi, faatika nwɔ leyooto falɛ Yesu, diekye nnwɔɔ nimadiki batii nɔɔ ankyeko sikpile lɛma kamɛ nɛ.”","Beloved brethren, always keep your faith in Jesus, for only then will you find true peace and strength in your life.",output_proprietary_batch1,3.9566236357113054,20.16618315561006,12.061403395660683
"“In Ramah a voice was heard crying and weeping loudly. Rachel was mourning for her children, and she refused to be comforted, because they were dead.” The Return from Egypt","“Batii lanu sɛlɔ sewo di Rama alɛ boowi kaku osie kanya ku sɛnyaami. Rahel nikowi anta babi nɔɔ. Eesĩ kafɔɔ alɛ batanlo sɔɔ, diekye babi nɔɔ nwu nkpo lekpi.” Yosef, Maria Ku Yesu Lakple Di Egipte Kasɔ Suoto.","“A voice was heard in Ramah, weeping and great mourning. Rachel was crying for her children. She refused to be comforted, because they are no more.”",output_proprietary_batch1,29.860928266156105,62.969108702749935,46.41501848445302
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","Ni aatɔkɔ nwɔ alɛ, “Taka, faakpaa obisɔ nwu nkpo ku ɔya biekple bisifi Israel kasɔ suoto. Diekye batii ba nikomiɛ alɛ balo ni obisɔ nwu nkpo ntookpi.”","And the Lord said, “Take, for yourself, a heifer from the herd and go to the house of Jesse in Israel. I have chosen one of his sons to be king.”",output_proprietary_batch1,4.016457646237016,25.219633443756933,14.618045544996974
"and they went to live there in the town of Nazareth. So the Lord's promise came true, just as the prophet had said, “He will be called a Nazarene.”","Obe wɔ aalaabuo ni nfa, aasifi aalaasiɛ di okpoo wɔ bɔɔlɛɛ ni Nasaret. Nfa lɛma ɔlaasiɛ lata alɛ, ɔlaa wɔ di Yaa ɔlaa babuɛtɛtɛ labuɛ baatɛ ni alɛ, “Batii malɛɛ nwɔ ni Nasaret otii yi,” diawa kaanya ninkpo.","There was a gathering in the synagogue, as was the custom on the Sabbath in the town of Nazareth. He stood up to read, and the scroll of the prophet Isaiah was handed to him. He unrolled it and found the place where it is written, “The Spirit of the Lord is upon me, because he has anointed me,” and everyone’s eyes were fixed on him.",output_proprietary_batch1,8.048376226014224,37.98634046252687,23.017358344270548
"He said, “Turn back to God! The kingdom of heaven will soon be here.”","aatoobuɛ alɛ, “Bidiɛ sikpile ɔbla, diekye Yaa sɛka kalekɔ ntɔɔtɛɛtɛɛ.”","""In the morning, he said, 'Take the silver coin, go and give it to Yaa to buy bread.'""",output_proprietary_batch1,3.5823421191287177,21.300075660465616,12.441208889797167
"When Jesus heard that John had been put in prison, he went to Galilee.","Di obe wɔ di Yesu lanu alɛ batoomufũ Yohane bɛɛtɛ ni di leyo katenkɔ yi, ni aasifi Galilea nɛ.","After Jesus was baptized by John and came up out of the water, he went to Galilee.",output_proprietary_batch1,26.801651563557776,41.17277511465415,33.98721333910596
"Then the devil came to him and said, “If you are God's Son, tell these stones to turn into bread.”","Ninfɛ di Abonsam lakyɛ ɔkyɛ nɔɔ aalaatɔkɔ nwɔ alɛ, “Nse Yaa obi fale, ni tɔkɔ afuɔ ya mmle falɛ akple alesaa.”","The devil’s tongue is long and sharp, it says, “If Yaa is not there, then the soup will not taste good.”",output_proprietary_batch1,4.699443186217678,29.968184810573263,17.33381399839547
"You are the salt for everyone on earth. But if salt no longer tastes like salt, how can it make food salty? All it is good for is to be thrown out and walked on.","“Ote bite fɛ mba biɛta batii bamuu. Kafɔɔ nse mba nwu nkpo ɔmɛnɛfɛ nɔɔ ntooloo, lɛsalɛsaa kuninwii nsinnaa babayɔ mankpee mi ni ɔmɛnɛfɛ. Disinnaa nfasũ kunnwii, nioso ɔyɔ man-yɔ manwii batii nnanafu mi manfe.","They say that some people went to the forest. They did not know what they would find there, but they were determined, hoping to discover something new that would help their community. Although the journey was difficult, they worked together and finally brought back good news for everyone.",output_proprietary_batch1,1.9621280362601403,25.033003671984506,13.497565854122323
"You know our ancestors were told, “Don't use the Lord's name to make a promise unless you are going to keep it.”","“Bitoonu kafɔɔ alɛ, baatɔkɔ bakofo alɛ, ‘Tansĩ ntam be fɛɛka ni ɔbla. Kafɔɔ bibla di lɛsaa le suooto biɛka ntam biɛta ni Saate nwu.’","""The elder said, the chief said, 'Let the truth be spoken and heard. The elder's words are strong like the roots that bind the earth until the morning comes.'""",output_proprietary_batch1,1.4500372328365223,19.616604429460473,10.533320831148497
"When you make a promise, say only “Yes” or “No.” Anything else comes from the devil. Revenge (Luke","Bita yii lee dibla yii, biɛta oowo lee dibla oowo. Nle mmle kamaa, lɛsaa lele biekple biebuɛ kyiditɛ nwu nfũ diekye. Yesu Latuo Asaa Alɛ Butambla Okpile Buakyisa.","This is the good news, the message of hope. For all people, God has given salvation through his Son. Jesus Christ is the Savior of the world.",output_proprietary_batch1,1.6404472625060698,15.432879359282644,8.536663310894356
