ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People","A zu, Keen yi Naawunni saani, a we paaliguso ba n boona Nodi, o gbinni n niŋi, gaa n chaŋina, a yi Idin wuluŋpusigu.","The Zu, Keen of the Naawunni nation, has returned to Nodi, the land of our ancestors, to lead the people, to unite us, and to restore the Idin's sacred fire.",0.25917402,output_jonathan,1.675771139737561,21.990134283533163,11.832952711635361
"Jacob said, “I have seen God face to face, and I am still alive.” So he named the place Peniel.","Niŋi n na, Yakubu yeli, “M nye Naawunni nufu niŋi, ka ma na mari nyevuri.” A zu, Yakubu digili niŋi yuuri Peniyel.","Yakubu said, ""I will not go to Naawunni anymore, for I have found Peniyel.""",0.32885292,output_jonathan,4.038384207396791,17.95843807137732,10.998411139387056
"He destroyed those cities and everyone who lived in them, as well as their land and the trees and grass that grew there.","a di tiŋsi ayi maa ni a tiŋgbana, a ni a niriba ni bumbula zaa nyem,","The small bird is flying towards the big mountain, and it is carrying a small bag of seeds.",0.06979391,output_jonathan,2.1087258800064044,15.08189388741199,8.595309883709197
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Naawunni nafa ba, ka yeli, “Ya dogira biisi, a paali tiŋgbaŋŋu maa, ka nyaasira u, a mari daama, a yi koom puu koroto niŋi, saazu niinsi, a ni bini zaa n chaŋina tiŋgbaŋŋu maa niŋi.","""I have heard that you are digging a well, but it is not deep enough, and the water level is still low, and the rainy season is approaching, and the river is drying up, and the water from the well is not enough for us, and we will not have enough water for the crops in the rainy season.""",0.10204829,output_jonathan,2.0928956004098502,25.723390252983148,13.908142926696499
"but he refused and said, “My master isn't worried about anything in his house, because he has placed me in charge of everything he owns.","O zagsi, ka yeli u, “Nyaasi, m yidaana bi lee n niŋina bunso zaa yiri a puwa, a kpali bunso zaag o n mari, o naani a zaa pobi m nuusi.","""You, who said, 'Nyaasi, I have a secret that only the elders know, the secret of the sacred drum, if I play it, the spirits will come and possess me.'",0.23239109,output_jonathan,2.5802625919834825,20.25221623646544,11.416239414224462
"The second baby grabbed on to his brother's heel, so they named him Jacob. Isaac was","O n yiira la, o sunzo gbaa o nosiŋkpaari mari. Lala zu ba digili o yuuri Yakubu. Jemanso Rabeeka ni dogi biisaa, ka Yisaaka niŋini yuma pisiyoobu. Isawu koosi o wurikoŋtiri","""In the village, they gathered for the funeral of Nosinkpaari. The next day, they buried Yakubu. Jemanso Rabeeka was the one who dug the grave, while Issaak was the one who carried the coffin.""",0.26347107,output_onesimus007,1.3058944351862714,19.805024583944046,10.555459509565159
he told everyone that his wife Sarah was his sister. So King Abimelech of Gerar had Sarah brought to him.,"ka wusi maa Saara niŋini o sunzopoga. Gera naaba, Abimeliki ti ba naa Saara ti ti u.","The witch Saara is casting a spell. However, Abimeliki has already countered Saara's spell.",0.21513218,output_onesimus007,2.0266641468446673,21.509603870226933,11.7681340085358
You didn't even give me a chance to kiss my own grandchildren and daughters goodbye. That was really foolish.,"E mi bi lee n ti ma mugisi m yaŋsi, ka kali ba ni ba madima, e wusi zolim ga.","I am the one who reads your thoughts, knows your secrets, and watches over you.",0.21579237,output_onesimus007,2.1619563671311695,15.218346365100267,8.690151366115717
"The man said, “From now on, your name will no longer be Jacob. You will be called Israel, because you have wrestled with God and with men, and you have won.”","Niŋi n na, daba maa yeli u, “Za zinaa wara, e yuuri bi lee n niŋi Yakubu, e yuuri n niŋi Izireel, a kpali bo? E ni Naawunni ni niriba n mo, e nyaŋŋi ba la zu.”","""You and I, what is this matter that troubles you, about Jacob and Esau, and their meeting? Is it not Naaman who returned alive from the river, and his leprosy was healed?""",0.552613,output_onesimus007,2.676151223648335,21.142204037968945,11.90917763080864
"Rachel was at the point of death, and right before dying, she said, “I'll name him Benoni.” But Jacob called him Benjamin.","O n digili bii maa yuuri Benoni, o vuusini o baasigu vuusim, ka kpi. Ama bii maa ba digili o yuuri Benjamin.","""In the digital world, Benoni is known as Basigu, but in the physical world, he is known as Benjamin.""",0.52245665,output_onesimus007,3.654359201287616,23.825331170572515,13.739845185930065
